CHARGE_CODE,CHARGE_DESCRIPTION,CHARGE,REVENUE_CODE,CPT_CODE,PHARMACY_NDC
3001021,ROOM & BOARD 4.5NCH,1259.5,128,,
3001023,ROOM & BOARD 8NCH,1642.03,128,,
3001024,ROOM & BOARD 10NCH,3449.38,128,,
3001025,ROOM & BOARD 6NCH,1459.89,128,,
3001026,ROOM & BOARD 5.5NCH,1358.97,128,,
3001027,ROOM & BOARD 6.5NCH,1642.03,128,,
3001028,ROOM & BOARD 6.5NCH,1642.03,128,,
3002023,,1642.03,123,,
3002028,,1642.03,133,,
3011021,COMP HEARING TST,335.36,470,92557,
3031021,X-RAY CHEST 1 VIEW,147.78,324,71010,
3031021,X-RAY CHEST 1 VIEW,147.78,324,,
3031023,X-RAY SHOULDER LEFT,125.76,922,73030,
3031028,X-RAY HIP LEFT,181.06,320,73510,
3031028,X-RAY HIP LEFT,181.06,320,,
3031030,X-RAY KNEE 2 VIEWS L,177.05,320,73560,
3031044,X-RAY CHEST 2 VIEWS,166.41,320,71020,
3031044,X-RAY CHEST 2 VIEWS,166.41,320,,
3031046,X-RAY ELBOW LEFT,181.06,320,73080,
3031052,X-RAY HUMERUS LEFT,165.08,320,73060,
3031053,X-RAY LUM SPINE A&L,186.38,320,72100,
3032051,DUPLEX ULTRASOUND RT,366.1,922,93971,
3032053,DUPLEX ULTRASOUND BT,599.08,922,93970,
3033023,ECHOGRAPHY ABD COMP,399.38,402,76700,
3079711,AQUATIC TX PER 15MIN,158.9,420,97113,
3091010,IP PHYS THER EVALUAT,350.13,424,,
3091010,IP PHYS THER EVALUAT,350.13,424,97001,
3091012,IP PT INDIVID 15MIN,117.68,420,97110,
3091015,IP PT CONCURRENT,117.68,420,97150,
3091100,IP PT GROUP,117.68,423,97150,
3092940,PT SHORT LEG CAST,307.33,420,29405,
3096455,PT TENS,62.36,420,64550,
3097111,MOBILITY STATUS G8978,.01,420,G8978,
3097121,MOBILITY LTG G8979,.01,420,G8979,
3097211,MOBILITY DIS G8980,.01,420,G8981,
3097221,POSITION LTG G8982,.01,420,G8982,
3097231,POSITION DIS G8983,.01,420,G8983,
3097311,SELF CARE STATUS G8987,.01,420,G8987,
3097321,SELF CARE LTG G8988,.01,420,G8988,
3097331,SELF CARE DIS G8989,.01,420,G8989,
3097411,OTHER PRIM STATUS G8990,.01,430,G8990,
3097421,OTHER PRIM LTG G8991,.01,420,G8991,
3097511,OTHER SEC STATUS G8993,.01,420,G8993,
3097521,OTHER SEC LTG G8994,.01,420,G8994,
3097531,OTEER SEC DIS G8995,.01,420,G8995,
3097611,CARRY/MOVING STATUS G8984,.01,420,G8984,
3097621,CARRY/MOVING LTG G8985,.01,420,G8985,
3097631,CARRY/MOVING DIS G8986,.01,420,G8986,
3097700,PT EVAL LOW COMPLEX 20 MIN,325.25,424,97161,
3097701,PT EVAL MOD COMPLEX 30 MIN,325.25,424,97162,
3097702,PT EVAL HIGH COMPLEX 45 MIN,325.25,424,97163,
3099001,ROM MEASURE BODY,95.12,420,95851,
3099002,MAN MM TEST HAND,95.12,420,95832,
3099003,MAN MM TST BOD/NO HD,160.69,977,95833,
3099004,MAN MM TEST TOTL BOD,237.16,420,95834,
3099005,ROM MEASURE HAND,132.6,420,95852,
3099008,SENSORY INTEGRATE 15,117.68,420,97533,
3099011,MAN MM TEST EXT/TRNK,70.17,420,95831,
3099013,PT AQUA THERAPY 15,158.9,420,97113,
3099014,PT RE-EVALUATION,109.17,424,,
3099014,PT RE-EVALUATION,109.17,424,97002,
3099015,MECH TRACTION THERAP,70.17,420,97012,
3099016,VASOPNEUMATIC DEV TH,70.17,420,97016,
3099017,PARAFFIN BATH THERAP,70.17,420,97018,
3099018,IONTOPHERESIS PER 15,70.17,420,97033,
