"Description","Price"
"(1,3) BETA-D-GLUCAN","144"
"12 HOUR CREATININE CLEARANCE","35"
"18-HYDROXYCORTICOSTERONE","167"
"21-HYDROXYLASE AB","328"
"25-HYDROXYVITAMIN D2 AND D3","204"
"A1 AT STOOL","145"
"AAA SCREENING","358"
"ABACAVIR 300MG TB","104"
"ABCIXIMAB 10MG 5ML IJ","3614"
"ABD FLAT UPRT ONLY","354"
"ABD KUB PORTABLE","236"
"ABD LAT DECUB ONLY LT","236"
"ABD LAT DECUB ONLY RT","236"
"ABD SERIES FLAT UPRT CHEST","450"
"ABD W LAT DECUB LT","354"
"ABD W LAT DECUB RT","354"
"ABDOMEN PELVIS W CONT","2992"
"ABDOMEN PELVIS WO CONT","2569"
"ABDOMEN PELVIS WWO CONT","3490"
"ABDOMEN WWO PELVIS W CONT","3490"
"ABD-PEL-RETRO DUP AV FLOW COMP","1079"
"ABG W EXERCISE","221"
"ABO TYPE","65"
"ABO TYPE UNIT","65"
"ABSORPTION","227"
"AC JOINTS BILAT","376"
"AC RECEPTOR BIND AUTOAB","140"
"ACAMPROSATE CA 333MG TB","12"
"ACARBOSE 100MG TB","15"
"ACARBOSE 25MG TB","9"
"ACARBOSE 50MG TB","5"
"ACCUCHECK","42"
"ACEBUTOLOL 200MG CP","3"
"ACETAMINOPHEN","221"
"ACETAZOLAM 125MG TAB","17"
"ACETAZOLAMIDE 250MG TB","3"
"ACETAZOLAMIDE 500MG CPLA","54"
"ACETAZOLAMIDE 500MG IV","300"
"ACETIC ACID 0.25% 1L IRR SOLN","35"
"ACETIC ACID 2% 15ML OTS","233"
"ACETIC ACID/HC 2-1% 10ML OTS","773"
"ACETYLCHOLINE 20MG 2ML IJ","277"
"ACETYLCHOLINE RECEP","140"
"ACETYLCYSTEINE 10%10ML INH","68"
"ACETYLCYSTEINE 10%30ML INH","66"
"ACETYLCYSTEINE 10%4ML INH","57"
"ACETYLCYSTEINE 20% 30ML IJ","929"
"ACETYLCYSTEINE 20% 4ML INH","47"
"ACETYLCYSTEINE 20%10ML INH","64"
"ACETYLCYSTEINE 20%30ML INH","48"
"ACETYLCYSTEINE 2500MG EFF TB","65"
"ACETYLCYSTEINE 500MG EFF TB","52"
"ACHR MODULATING AB","328"
"ACID PHOS TOTAL","56"
"ACTH","172"
"ACYCLOVIR 200MG CP","1"
"ACYCLOVIR 5% 15GM ONT","743"
"ACYCLOVIR 5% 30GM ONT","1581"
"ACYCLOVIR 500MG 10ML IJ","41"
"ACYCLOVIR 50MG 10ML DIL","54"
"ACYCLOVIR 800MG TB","2"
"ACYLCARNITINE PROFILE QUANT","147"
"ADENOSINE 12MG 4ML IJ","77"
"ADENOSINE 60MG 20ML IJ","1017"
"ADENOSINE 6MG 2ML IJ","52"
"ADENOSINE 90MG 30ML IJ","1526"
"ADENOVIRUS ANTIBODY, SERUM","82"
"ADENOVIRUS ANTIGEN","59"
"ADENOVIRUS PCR","226"
"ADENOVIRUS TITER","47"
"ADL 15MIN OT","89"
"ADL 15MIN OT","91"
"ADMIN OF PNEUMOC VACCINE MCR","23"
"ADMINISTRATION FEE","81"
"AEROSOL COMPLEX PENTAM","140"
"AEROSOL TRTMNT INIT","104"
"AEROSOL TRTMNT SUBSEQ","104"
"AFB CULTURE (REFERRED)","80"
"AFB SMEAR","156"
"AFB STAIN ONLY (REFERRED)","71"
"AFP TUMOR MARKER, SERUM","64"
"AIRWAY RESISTANCE","124"
"ALBENDAZOLE 200MG TB","885"
"ALBUMIN","59"
"ALBUMIN 25% 50ML IJ","438"
"ALBUMIN 5% 250ML IJ","438"
"ALBUMIN BODY FLUID","35"
"ALBUMIN BY NEPHELOMETRY","60"
"ALBUMIN URINE","35"
"ALBUTEROL 0.042% 1.25MG 3ML IS","15"
"ALBUTEROL 0.083% 3ML IS","2"
"ALBUTEROL 0.5% 0.5ML IS","5"
"ALBUTEROL 0.5% 20ML IS","123"
"ALBUTEROL 2MG 5ML LQ","4"
