"Hospital","Phone Number"
"Dickenson Community Hospital","423-431-1776"
"Franklin Woods Community Hospital","423-431-1776"
"Indian Path Community Hospital","423-431-1776"
"Johnson City Medical Center","423-431-1776"
"Johnson County Community Hospital","423-431-1776"
"Johnston Memorial Hospital","423-431-1776"
"Laughlin Memorial Hospital","423-431-1776"
"Niswonger Children's Hospital","423-431-1776"
"Norton Community Hospital","423-431-1776"
"Russell County Hospital","423-431-1776"
"Smyth County Community Hospital","423-431-1776"
"Sycamore Shoals Hospital","423-431-1776"
"Woodridge Hospital","423-431-1776"
"Bristol Regional Medical Center","423-408-7397"
"Holston Valley Medical Center","423-408-7397"
"Hawkins County Memorial Hospital","423-408-7397"
"Hancock County Hospital","423-408-7397"
"Lonesome Pine Hospital","423-408-7397"
"Mountain View Regional Hospital","423-408-7397"
"Takoma Regional Hospital","423-408-7397"
"Unicoi County Hospital","423-408-7397"
