"Description","Price"
"(1,3) BETA-D-GLUCAN","258"
"12 HOUR CREATININE CLEARANCE","64"
"18-HYDROXYCORTICOSTERONE","300"
"21-HYDROXYLASE AB","590"
"25-HYDROXYVITAMIN D2 AND D3","366"
"A1 AT STOOL","261"
"AAA SCREENING","643"
"ABATACEPT 10MG IJ (250MG)","199.11"
"ABCIXIMAB 10MG 5ML IJ","6580"
"ABD AORTO ANGIO","4842"
"ABD AORTO ANGIO W RUNOFF","5764"
"ABD FLAT UPRT ONLY","636"
"ABD KUB PORTABLE","423"
"ABD LAT DECUB ONLY LT","423"
"ABD LAT DECUB ONLY RT","423"
"ABD PARACENTESIS WO IMAG GUID","2774"
"ABD SERIES FLAT UPRT CHEST","808"
"ABD W LAT DECUB LT","636"
"ABD W LAT DECUB RT","636"
"ABDOMEN PELVIS ANGIO","9200"
"ABDOMEN PELVIS W CONT","5370"
"ABDOMEN PELVIS WO CONT","4612"
"ABDOMEN PELVIS WWO CONT","6265"
"ABDOMEN WWO MRCP WO CONT","5490"
"ABDOMEN WWO PELVIS W CONT","6265"
"ABD-PEL-RETRO DUP AV FLOW COMP","1937"
"ABO TYPE","116"
"ABO TYPE UNIT","116"
"ABSORPTION","407"
"AC JOINTS BILAT","675"
"AC RECEPTOR BIND AUTOAB","250"
"ACAMPROSATE CA 333MG TB","22"
"ACARBOSE 100MG TB","26"
"ACARBOSE 25MG TB","18"
"ACARBOSE 50MG TB","7"
"ACCUCHECK","74"
"ACEBUTOLOL 200MG CP","4"
"ACETAMINOPHEN","397"
"ACETAZOLAM 125MG TAB","29"
"ACETAZOLAMIDE 250MG TB","4"
"ACETAZOLAMIDE 500MG CPLA","98"
"ACETAZOLAMIDE 500MG IV","546"
"ACETIC ACID/HC 2-1% 10ML OTS","1409"
"ACETYLCHOLINE 20MG 2ML IJ","504"
"ACETYLCHOLINE RECEP","250"
"ACETYLCYSTEINE 10%10ML INH","123"
"ACETYLCYSTEINE 20% 30ML IJ","1693"
"ACETYLCYSTEINE 20% 4ML INH","85"
"ACETYLCYSTEINE 20%10ML INH","116"
"ACETYLCYSTEINE 20%30ML INH","88"
"ACETYLCYSTEINE 2500MG EFF TB","114"
"ACETYLCYSTEINE 500MG EFF TB","91"
"ACHR MODULATING AB","590"
"ACID PHOS TOTAL","101"
"ACTH","308"
"ACYCLOVIR 1000MG 20ML IJ","130"
"ACYCLOVIR 200MG CP","1"
"ACYCLOVIR 5% 15GM ONT","1351"
"ACYCLOVIR 5% 30GM ONT","2878"
"ACYCLOVIR 500MG 10ML IJ","74"
"ACYCLOVIR 800MG TB","3"
"ACYLCARNITINE PROFILE QUANT","265"
"ADAPTER LINE 100037","87"
"ADAPTER SWIVEL 66971788018","201"
"ADAPTER SWIVEL BRONCH 625191","86"
"ADAPTER UNIV RT","72"
"ADAPTER, LEAD","560"
"ADAPTER, LEAD","839"
"ADAPTER, LEAD","1055"
"ADAPTER, LEAD","1859"
"ADAPTER, LEAD","2237"
"ADAPTER, LEAD","2517"
"ADAPTER, LEAD","3103"
"ADAPTER, LEAD","3776"
"ADAPTER, LEAD","4201"
"ADAPTER, LEAD","4420"
"ADAPTER, LEAD","5000"
"ADAPTER, LEAD","5439"
"ADAPTER, LEAD","5952"
"ADAPTER, LEAD","6946"
"ADAPTER, LEAD","7338"
"ADAPTER, LEAD","9996"
"ADAPTER, LEAD","11400"
"ADAPTER, LEAD","13995"
"ADAPTER, LEAD","15894"
