"Facility","Description","Price"
"WYTHE COUNTY COMMUNITY HOSP","CLSD TRT DIST FIBULAR FX",619
"WYTHE COUNTY COMMUNITY HOSP","REDUCTION ELBOW",539
"WYTHE COUNTY COMMUNITY HOSP","IPG PROGRAM",183
"WYTHE COUNTY COMMUNITY HOSP","IPG PROG 1ST HR COMP",295
"WYTHE COUNTY COMMUNITY HOSP","FILL/MAINTAIN IMPNT PUMP",224
"WYTHE COUNTY COMMUNITY HOSP","WC INCISION & DRAIN-SIMP",136
"WYTHE COUNTY COMMUNITY HOSP","IPG PROGRAM SIMPLE/COMPX",90
"WYTHE COUNTY COMMUNITY HOSP","CHEMOTHERAPY INFUSION",199
"WYTHE COUNTY COMMUNITY HOSP","IV HYDRATION 1ST HR",458
"WYTHE COUNTY COMMUNITY HOSP","OP SURG RECOVERY 1ST 30",456
"WYTHE COUNTY COMMUNITY HOSP","GASTROSTMY TUBE CONT",262
"WYTHE COUNTY COMMUNITY HOSP","INFUSION THERAP\DIAG ADD",186
"WYTHE COUNTY COMMUNITY HOSP","OP SURG REC ADDL 15 MIN",91
"WYTHE COUNTY COMMUNITY HOSP","IM/SQ INJECTION",264
"WYTHE COUNTY COMMUNITY HOSP","INFLUENZA VACCINATION",58
"WYTHE COUNTY COMMUNITY HOSP","INFUSION THERAP\DIAG 1ST",533
"WYTHE COUNTY COMMUNITY HOSP","IV PUSH INITIAL DRUG",443
"WYTHE COUNTY COMMUNITY HOSP","PORT FLUSH ONLY",134
"WYTHE COUNTY COMMUNITY HOSP","CAPSULE ENDOSCOPY",5419
"WYTHE COUNTY COMMUNITY HOSP","REP WND F\E\N\L 20.1-30",474
"WYTHE COUNTY COMMUNITY HOSP","INSERT RECTAL TUBE",498
"WYTHE COUNTY COMMUNITY HOSP","CAT REMOVE\REPR FULL ARM",211
"WYTHE COUNTY COMMUNITY HOSP","CAST APPLY LONG ARM",514
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX TRNSSCPHPERILUNR",413
"WYTHE COUNTY COMMUNITY HOSP","DEBRIDEMENT BONE",1152
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING THORAX",371
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX STERNUM FRACTURE",292
"WYTHE COUNTY COMMUNITY HOSP","TRACH TUBE CHANGE",503
"WYTHE COUNTY COMMUNITY HOSP","FACIAL COMPLEX 1.1-2.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX WRIST CARP FX W",413
"WYTHE COUNTY COMMUNITY HOSP","TRUNK COMPLEX EA ADDL <5",792
"WYTHE COUNTY COMMUNITY HOSP","REP VERMILION <1/2 HT",2545
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 2.6 TO 7.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","ANOSCOPY W/FB REMOVAL",477
"WYTHE COUNTY COMMUNITY HOSP","INJ ANES TRIGEM NERVE",703
"WYTHE COUNTY COMMUNITY HOSP","WOUND EXPLORE TRUNK",456
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX KNEECAP",440
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX METATARSAL FX",462
"WYTHE COUNTY COMMUNITY HOSP","URINARY CATH SIMPLE",295
"WYTHE COUNTY COMMUNITY HOSP","INTERMED <2.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","I&D\ASPIRATION SIMPLE",650
"WYTHE COUNTY COMMUNITY HOSP","BLOOD PATCH",1007
"WYTHE COUNTY COMMUNITY HOSP","SUTURE FLEX TENDON HAND",661
"WYTHE COUNTY COMMUNITY HOSP","COMPLEX REPAIR 1.1-2.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX SHL BL FX W\MAN",413
"WYTHE COUNTY COMMUNITY HOSP","EPISIOTOMY",3309
"WYTHE COUNTY COMMUNITY HOSP","REDUCTION DIGIT W/O ANES",349
"WYTHE COUNTY COMMUNITY HOSP","IV THROMBOLYSIS CORONARY",1595
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX DIST PHAL FX EA",462
"WYTHE COUNTY COMMUNITY HOSP","TEMP TRANSCUTAN PACING",787
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX HUM CON FX W\O",413
"WYTHE COUNTY COMMUNITY HOSP","INTRA-ARTERIAL INJECTION",214
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX PATEL DISL W/O",424
"WYTHE COUNTY COMMUNITY HOSP","CL TX SUPR\TRANSCONDR WO",413
"WYTHE COUNTY COMMUNITY HOSP","CNTRL NASAL BLD POST INT",482
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE 2.6 TO 5CM",518
"WYTHE COUNTY COMMUNITY HOSP","EKG RHYTHM STRIP",901
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX CLAV FX W\M MAN",413
"WYTHE COUNTY COMMUNITY HOSP","FB REM CORNEA W/SLIT",560
"WYTHE COUNTY COMMUNITY HOSP","CLOSED TX TIBIA FRACTURE",462
"WYTHE COUNTY COMMUNITY HOSP","ER VISIT LEVEL V",2108
"WYTHE COUNTY COMMUNITY HOSP","DEBR SKIN TISSUE\MUSCLE",688
"WYTHE COUNTY COMMUNITY HOSP","INCISION SKIN LACERATION",437
"WYTHE COUNTY COMMUNITY HOSP","INTERMEDIATE <2.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","LAY CLOS N\H\F 12.6-20CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX SHFT DIS\FX NECK",462
"WYTHE COUNTY COMMUNITY HOSP","REP HC MOUTH >2.6",1010
"WYTHE COUNTY COMMUNITY HOSP","IV PUSH INITIAL DRUG",443
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX DISTL FIBULA FX",462
"WYTHE COUNTY COMMUNITY HOSP","SPLNT APPLY FOREARM",345
"WYTHE COUNTY COMMUNITY HOSP","GASTRIC LAVAGE TRAY",115
"WYTHE COUNTY COMMUNITY HOSP","CLSD RED DISTAL TIBIA",577
"WYTHE COUNTY COMMUNITY HOSP","I&D SKIN COMPLEX",424
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING ELBOW\WRIST",86
"WYTHE COUNTY COMMUNITY HOSP","BLADDER IRRIGATION SIMPL",463
"WYTHE COUNTY COMMUNITY HOSP","CAST APPLY LONG LEG",743
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX HUM CON FX W\MAN",413
"WYTHE COUNTY COMMUNITY HOSP","I&D ABSCESS MOUTH SIMPLE",432
"WYTHE COUNTY COMMUNITY HOSP","REP WOUND F\E\N\L >39",505
"WYTHE COUNTY COMMUNITY HOSP","REPR WOND 7.6-12.5CM SMP",496
"WYTHE COUNTY COMMUNITY HOSP","INSERT FOLEY CATHETER",145
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX RADIUS SHAFT FX",577
"WYTHE COUNTY COMMUNITY HOSP","COMPLEX SCALP EA ADDL <5",792
"WYTHE COUNTY COMMUNITY HOSP","INTERMED 2.6 TO 7.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","FACIAL INTER 2.6 TO 5CM",518
"WYTHE COUNTY COMMUNITY HOSP","TX ULNA SHAFT FX",462
"WYTHE COUNTY COMMUNITY HOSP","COMPLEX SCALP 1.1-2.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE <2.5 CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX PHALANGL SHAFT",462
"WYTHE COUNTY COMMUNITY HOSP","CATH IN\OUT",391
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE > 30CM",518
"WYTHE COUNTY COMMUNITY HOSP","REPAIR TRUNK 2.6-7.5CM",792
"WYTHE COUNTY COMMUNITY HOSP","NAIL PLATE AVULSION SNGL",436
"WYTHE COUNTY COMMUNITY HOSP","CLOSED TX TOE FRACTURE",330
"WYTHE COUNTY COMMUNITY HOSP","CL TX SUPRATRANSCONDL FX",462
"WYTHE COUNTY COMMUNITY HOSP","LARYNGOSCOPY",268
"WYTHE COUNTY COMMUNITY HOSP","NG TUBE PLACE W FLUORO",504
"WYTHE COUNTY COMMUNITY HOSP","STRAPPING HAND/FINGER",235
"WYTHE COUNTY COMMUNITY HOSP","CERUMEN REMOVAL",223
"WYTHE COUNTY COMMUNITY HOSP","SIMPLE < 2.5CM",518
"WYTHE COUNTY COMMUNITY HOSP","CLOSD TX PROX FIBIA FX",577
"WYTHE COUNTY COMMUNITY HOSP","CL TX FX PHAL WO MANP EA",462
"WYTHE COUNTY COMMUNITY HOSP","IV THROMBOLYSIS CEREBRAL",2821
"WYTHE COUNTY COMMUNITY HOSP","REDUCTION TOE W/O ANESTH",349
"WYTHE COUNTY COMMUNITY HOSP","DISLOCATE TX W\ANESTHES",2361
"WYTHE COUNTY COMMUNITY HOSP","CAUTERY CHEMICAL",429
"WYTHE COUNTY COMMUNITY HOSP","INFUSION THERAP\DIAG 1ST",461
"WYTHE COUNTY COMMUNITY HOSP","CLSD TX DIST PHAL FX EA",462
"WYTHE COUNTY COMMUNITY HOSP","LAY CLOS N\H\F >30CM",1266
"WYTHE COUNTY COMMUNITY HOSP","CRICHOTHYROIDTMY EMRG",2788
