"MS DRG","MS DRG - Description","Average Total Charges"
"003","003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.",378292.5
"054","054 - NERVOUS SYSTEM NEOPLASMS W MCC",19342.7
"056","056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC",13245.22
"057","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",18512.795
"059","059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC",55239.22
"060","060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC",11477.77
"062","062 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W TH",40623.41
"063","063 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W TH",29782.53
"064","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",41810.2988888889
"065","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24",23008.01
"065","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 ",30658.756
"066","066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC",23091.62125
"069","069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC",20542.7792857143
"074","074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",22174.2975
"078","078 - HYPERTENSIVE ENCEPHALOPATHY W CC",10712.7
"091","091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC",24252.8675
"092","092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC",28888.3125
"100","100 - SEIZURES W MCC",25704.8366666667
"101","101 - SEIZURES W/O MCC",23490.14875
"103","103 - HEADACHES W/O MCC",16949.4
"149","149 - DYSEQUILIBRIUM",29013.93
"166","166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC",39319.32
"175","175 - PULMONARY EMBOLISM W MCC",25807.205
"176","176 - PULMONARY EMBOLISM W/O MCC",20536.428
"177","177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",37386.5193333333
"178","178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC",20939.0533333333
"180","180 - RESPIRATORY NEOPLASMS W MCC",29523.05
"181","181 - RESPIRATORY NEOPLASMS W CC",10606.95
"182","182 - RESPIRATORY NEOPLASMS W/O CC/MCC",22253.87
"189","189 - PULMONARY EDEMA & RESPIRATORY FAILURE",24789.0069230769
"190","190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC",19231.9681481481
