MS DRG,MS DRG - Description,Average Total Charges
3,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.",378292.50
54,054 - NERVOUS SYSTEM NEOPLASMS W MCC,19342.70
56,056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,13245.22
57,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,18512.80
59,059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,55239.22
60,060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,11477.77
62,"062 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W TH",40623.41
63,"063 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W TH",29782.53
64,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,41810.30
65,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24,23008.01
65,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 ,30658.76
66,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,23091.62
69,069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,20542.78
74,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,22174.30
78,078 - HYPERTENSIVE ENCEPHALOPATHY W CC,10712.70
91,091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,24252.87
92,092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,28888.31
100,100 - SEIZURES W MCC,25704.84
101,101 - SEIZURES W/O MCC,23490.15
103,103 - HEADACHES W/O MCC,16949.40
149,149 - DYSEQUILIBRIUM,29013.93
166,166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,39319.32
175,175 - PULMONARY EMBOLISM W MCC,25807.21
176,176 - PULMONARY EMBOLISM W/O MCC,20536.43
177,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,37386.52
178,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,20939.05
180,180 - RESPIRATORY NEOPLASMS W MCC,29523.05
181,181 - RESPIRATORY NEOPLASMS W CC,10606.95
182,182 - RESPIRATORY NEOPLASMS W/O CC/MCC,22253.87
189,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,24789.01
190,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,19231.97
191,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,19669.42
192,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,14212.79
193,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,28663.74
194,194 - SIMPLE PNEUMONIA & PLEURISY W CC,24399.39
195,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,34233.57
196,196 - INTERSTITIAL LUNG DISEASE W MCC,26573.82
199,199 - PNEUMOTHORAX W MCC,7580.55
200,200 - PNEUMOTHORAX W CC,24117.51
