"Charge Code",,"Charge Description","Fee Schedule"
"ANC00001",,"ANESTHESIA SERVICES INITIAL 30 MIN EPIDURAL",312
"ANC00002",,"ANESTHESIA SERVICES EA ADDITIONAL 15 MIN EPIDURAL",312
"ANC00003",,"ANESTHESIA SERVICES INITIAL 30 MIN  REGIONAL",312
"ANC00004",,"ANESTHESIA SERVICES EA ADDITIONAL 15 MIN REGIONAL",106
"ANC00005",,"ANESTHESIA SERVICES INITIAL 30 MIN MAC",106
"ANC00006",,"ANESTHESIA SERVICES EA ADDITIONAL 15 MIN MAC",106
"ANC00007",,"ANESTHESIA SERVICES INITIAL 30 MIN CSE",312
"ANC00008",,"ANESTHESIA SERVICES EA ADDITIONAL 15 MIN CSE",312
"ANC00009",,"ANESTHESIA SERVICES INITIAL 30 MIN  SPINAL",312
"ANC00010",,"ANESTHESIA SERVICES EA ADDITIONAL 15 MIN SPINAL",312
"ANC00011",,"ANESTHESIA SERVICES INITIAL 30 MIN GENERAL",312
"ANC00012",,"ANESTHESIA SERVICES EA ADDITIONAL 15 MIN GENERAL",312
"AU000082",,"AUD EVOKED POTENTIAL AUD LTD",265.75
"BL009035",,"PLATELET PHERES PAS LEU RED",1192.5
"BL009037",,"PLATELET PHERES PAS LEURED IRR",1561.75
"BL072103",,"FRESH FROZEN PLASMA(FFP)",368.75
"BL072251",,"CRYOPRECIPITATE",119
"BL073001",,"COMPATIBILITY-37",237.75
"BL073003",,"COMPATIBILITY-AHG",322.75
"BL073055",,"POOLED COMPONENT FEE",129.75
"BL073100",,"THERAPEUTIC PHLEBOTOMY                                    01",345.75
"BL078102",,"DAT-ANTI-IGG",161.5
"BL078103",,"DAT-ANTI COMPLEMENT",155.25
"BL086030",,"IMMUNE AB TITER-AHG PREVIOUS",236.25
"BL086032",,"IMMUNE AB TITER-AHG",227.25
"BL086252",,"IRRADIATION EA UNIT",348
"BL087140",,"LEUKO REDUCED IRRADIATED RBC",692.5
"BL087210",,"HPC ABO TYPE",98.25
"BL087220",,"ABO CONFIRMATION",98.25
