"Procedure Record Name","Unit Charge"
"2.4MM VA LCP VLR RM DISTAL RADIUS 7H/HD 5HSHAFT 02.115.850","2026.00"
"5.5 HEALIX ADVANCE W/PERMAOCORD 2233130","1026.00"
"8TA15   MIDAS REX  (OLD AF-1)","348.00"
"9BA50 MIDAS REX    (OLD M-35)","645.00"
"9CY50 MIDAS REX (G6-450)  9CM","411.00"
"A SOLUTION","302.00"
"Abacavir Sulfate Tab 300 MG (Base Equiv)","10.29"
"Abacavir Sulfate Tab 300 MG (Base Equiv)","9.54"
"Abacavir-Dolutegravir-Lamivudine Tab 600-50-300 MG","103.33"
"Abatacept For IV Soln 250 MG","4341.94"
"Abciximab IV Soln 2 MG/ML","6502.46"
"ABLATOR 3MM 90DEG ASPIRATING","477.00"
"ABLATOR 4MM 90DEG ASPIRATING","477.00"
"ABLATOR NON ASPIRATING OPES AR-9603-30","392.00"
"ABLATOR OPES ASPIRATING 4M 60D","597.00"
"ABLATOR OPES ASPIRATING L P90D","631.00"
"Acamprosate Calcium Tab Delayed Release 333 MG","1.62"
"Acarbose Tab 50 MG","1.30"
"ACCESS REAMER BLADE 2236-00-012","1055.00"
"ACCESS SYSTEM OVERTUBE ENDOSCOPIC OVT-027-160","676.00"
"ACCUMETER DISCOGRAM KIT","383.00"
"ACCUTRAK STANDARD 2 X16 AT2-516","1179.00"
"Acebutolol HCl Cap 200 MG","1.30"
"ACETABULAR CUP POLY OD 50MM  ID 32MM 65C-3250","2357.00"
"ACETABULAR SHELL 52MM LEFT 2082-0052L","6706.00"
"ACETABULAR SHELL W/CLUSTER HOLES 56MM 8757-056-01","4452.00"
"Acetaminophen Chew Tab 80 MG","1.30"
"Acetaminophen Disintegrating Tab 160 MG","1.30"
"Acetaminophen IV Soln 10 MG/ML","293.33"
"Acetaminophen Liquid 160 MG/5ML","1.30"
"Acetaminophen Soln 160 MG/5ML","1.79"
"Acetaminophen Soln 160 MG/5ML","1.78"
"Acetaminophen Soln 160 MG/5ML","1.32"
"Acetaminophen Soln 160 MG/5ML","1.48"
"Acetaminophen Soln 160 MG/5ML","1.47"
"Acetaminophen Soln 160 MG/5ML","5.75"
"Acetaminophen Soln 160 MG/5ML","2.01"
"Acetaminophen Soln 160 MG/5ML","2.24"
"Acetaminophen Suppos 120 MG","1.30"
"Acetaminophen Suppos 325 MG","1.30"
