"PROC
#",Procedure Description,"IP
Price","OP
Price",
1,AB HEP A IGM,83,83,
2,AB HERPES SIMPLEX TYPE 2 Q,142,142,
3,AB ID RBC ABS EACH PANEL,"1,120","1,120",
4,AB INTRINSIC FACTOR,111,111,
5,ABD PARACENTESIS WO IMG,715,715,
6,ABG ANALYSIS ISTAT,183,183,
7,ACCESS SYSTEM KII 5X150,138,138,
8,ACUTE HEPATITIS PANEL,434,434,
9,ADAPTIC TOUCH 3X4,50,50,
10,ADENOVIRUS ANTIBODY,106,106,
11,AEROSOL INITIAL CONT BRONCH,240,240,
12,AEROSOL SUB CONT BRONCH HR,126,126,
13,AEROSOL SUB SM VOL NEB,176,176,
14,AFP-L3 FRACTION ISO & TOTAL AFP,470,470,
15,AGGLUTINATION GRP EA ANTISE,118,118,
16,ALBUMIN,87,87,
17,ALBUMIN FLUID,51,51,
18,ALDOLASE,77,77,
19,ALDOSTERONE,298,298,
20,ALKALINE PHOSPHATASE,82,82,
21,ALPHA 1 ANTITRYPSIN TOTAL,99,99,
22,AMMONIA,135,135,
23,AMYLASE,219,219,
24,ANA TITER,82,82,
25,Anesthesia - General - 1st 30 Min,"1,350","1,350",
26,Anesthesia - General - Add Min,36,36,
27,Anesthesia - MAC - 1st 15 Min,426,426,
28,Anesthesia - MAC - Add Min,23,23,
29,Anesthesia - Regional - 1st 15 Min,394,394,
30,Anesthesia - Regional - Add Min,23,23,
31,Anesthesia - Spinal - 1st 15 Min,394,394,
32,Anesthesia - Spinal - Add Min,23,23,
33,Anesthesia - TIVA - 1st 30 Min,"1,350","1,350",
34,Anesthesia - TIVA - Add Min,36,36,
35,ANORECTAL EXAM WITH ANES,"2,980","2,980",
36,ANOSCOPY DIAGNOSTIC,198,198,
37,ANOSCOPY W/ABLATION,"2,164","2,164",
38,ANTI RNP ANTIBODY,132,132,
39,ANTIADRENAL ABS QUAN,89,89,
40,ANTIBODY BORDETELLA 1,98,98,
41,ANTIBODY ENTEROVIRUS 2,97,97,
42,ANTIBODY INFLUENZA VIRUS SO,100,100,
43,ANTIBODY RICKETTSIA,178,178,
44,ANTIBODY SCREEN RBC,256,256,
45,ANTIBODY VARICELLA ZOSTER Q16,112,112,
46,ANTIGEN TESTING OF DONOR EA AG,551,551,
47,ANTIHUMAN GLOBULIN COOMBS D,300,300,
48,ANTINUCLEAR ANTIBODY,143,143,
49,ANTITHROMBIN III FUNCTIONAL,220,220,
50,APLIGRAF PER 1 SQ CM_44,207,207,
51,APPL RIGID TOTAL CONT LEG CAST,539,539,
52,APPL SKIN SUB T/A/L 1ST 25 SQ,"1,470","1,470",
53,APPLICATOR FLEXITIP,182,182,
54,APPLY MULTLAY COMPRS BELOW KNEE,218,218,
55,ARTERIAL PUNCTURE,100,100,
56,AST,62,62,
57,B TYPE NATRIURETIC PEPTIDE,248,248,
58,BAG URINARY W/URINEMETER,145,145,
59,BASIC METABOLIC PANEL,234,234,
60,BETA 2 GLYCOPROTEIN 1 AB EACH,169,169,
61,BETA HCG QUALITATIVE SERUM,166,166,
62,BILIRUBIN DIRECT,158,158,
63,BILIRUBIN FLUID TOTAL,173,173,
64,BINDER ABDOMINAL ALL SIZES,83,83,
65,BLADDER SCAN,147,147,
66,BLADE 100,370,370,
67,BLADE 125,314,314,
68,BLADE 150,610,610,
69,BLADE 175,356,356,
70,BLADE 80,147,147,
71,BLADE 90,227,227,
72,BLADE AGGRESSIVE PLUS 4.0,153,153,
73,BLADE DERMATOME,294,294,
74,BLADE DERMATOME BRAUN,52,52,
75,BLOOD PUMP SET INTERLINK 2C6757,54,54,
76,BLOOD TYPING ABO,300,300,
77,BLOOD TYPING RH D,164,164,
78,BONE CEMENT SIMPLEX GENTAMICIN,959,959,
79,BOOT AIR WALKER TALL OTS,377,377,
80,BOOT EX TRACKER WALKER,122,122,
81,BOOT PNEUMATIC OTS,163,163,
82,BOOT PREVALON,328,328,
83,BOOT WALKER,307,307,
84,BOWL VACUUM MIX ORTHO 175,350,350,
85,BRACE ANKLE STIRRUP OTS,84,84,
86,BRAF,957,957,
87,BUR BARREL 5.5MM STRYKER,682,682,
88,BUR PRECISION ENT,"1,274","1,274",
89,BUR ROUND,"1,274","1,274",
