PROC #,Procedure Description,IP Price,OP Price,Note (*)
1,AB HEP A IGM,83,83,
2,AB HERPES SIMPLEX TYPE 2 Q,142,142,
3,AB ID RBC ABS EACH PANEL,1119.5,1119.5,
4,AB INTRINSIC FACTOR,110.5,110.5,
5,ABD PARACENTESIS WO IMG,715,715,
6,ABG ANALYSIS ISTAT,182.5,182.5,
7,ACCESS SYSTEM KII 5X150,138,138,
8,ACUTE HEPATITIS PANEL,433.5,433.5,
9,ADAPTIC TOUCH 3X4,50,50,
10,ADENOVIRUS ANTIBODY,106,106,
11,AEROSOL INITIAL CONT BRONCH,239.5,239.5,
12,AEROSOL SUB CONT BRONCH HR,126,126,
13,AEROSOL SUB SM VOL NEB,175.5,175.5,
14,AFP-L3 FRACTION ISO & TOTAL AFP,469.5,469.5,
15,AGGLUTINATION GRP EA ANTISE,117.5,117.5,
16,ALBUMIN,86.5,86.5,
17,ALBUMIN FLUID,50.5,50.5,
18,ALDOLASE,76.5,76.5,
19,ALDOSTERONE,297.5,297.5,
20,ALKALINE PHOSPHATASE,82,82,
21,ALPHA 1 ANTITRYPSIN TOTAL,98.5,98.5,
22,AMMONIA,134.5,134.5,
23,AMYLASE,219,219,
24,ANA TITER,82,82,
25,Anesthesia - General - 1st 30 Min,1349.5,1349.5,
26,Anesthesia - General - Add Min,35.5,35.5,
27,Anesthesia - MAC - 1st 15 Min,426,426,
28,Anesthesia - MAC - Add Min,23,23,
29,Anesthesia - Regional - 1st 15 Min,393.5,393.5,
30,Anesthesia - Regional - Add Min,23,23,
31,Anesthesia - Spinal - 1st 15 Min,393.5,393.5,
32,Anesthesia - Spinal - Add Min,23,23,
33,Anesthesia - TIVA - 1st 30 Min,1349.5,1349.5,
34,Anesthesia - TIVA - Add Min,35.5,35.5,
35,ANORECTAL EXAM WITH ANES,2980,2980,
36,ANOSCOPY DIAGNOSTIC,198,198,
37,ANOSCOPY W/ABLATION,2163.5,2163.5,
38,ANTI RNP ANTIBODY,131.5,131.5,
39,ANTIADRENAL ABS QUAN,88.5,88.5,
40,ANTIBODY BORDETELLA 1,97.5,97.5,
41,ANTIBODY ENTEROVIRUS 2,97,97,
42,ANTIBODY INFLUENZA VIRUS SO,99.5,99.5,
43,ANTIBODY RICKETTSIA,177.5,177.5,
44,ANTIBODY SCREEN RBC,256,256,
45,ANTIBODY VARICELLA ZOSTER Q16,111.5,111.5,
46,ANTIGEN TESTING OF DONOR EA AG,551,551,
47,ANTIHUMAN GLOBULIN COOMBS D,299.5,299.5,
48,ANTINUCLEAR ANTIBODY,143,143,
49,ANTITHROMBIN III FUNCTIONAL,219.5,219.5,
50,APLIGRAF PER 1 SQ CM_44,206.5,206.5,
51,APPL RIGID TOTAL CONT LEG CAST,539,539,
52,APPL SKIN SUB T/A/L 1ST 25 SQ,1469.5,1469.5,
53,APPLICATOR FLEXITIP,182,182,
54,APPLY MULTLAY COMPRS BELOW KNEE,217.5,217.5,
55,ARTERIAL PUNCTURE,99.5,99.5,
56,AST,62,62,
57,B TYPE NATRIURETIC PEPTIDE,248,248,
58,BAG URINARY W/URINEMETER,144.5,144.5,
59,BASIC METABOLIC PANEL,233.5,233.5,
60,BETA 2 GLYCOPROTEIN 1 AB EACH,169,169,
61,BETA HCG QUALITATIVE SERUM,165.5,165.5,
62,BILIRUBIN DIRECT,157.5,157.5,
63,BILIRUBIN FLUID TOTAL,172.5,172.5,
64,BINDER ABDOMINAL ALL SIZES,83,83,
65,BLADDER SCAN,146.5,146.5,
66,BLADE 100,369.5,369.5,
67,BLADE 125,314,314,
68,BLADE 150,609.5,609.5,
69,BLADE 175,356,356,
70,BLADE 80,147,147,
71,BLADE 90,226.5,226.5,
72,BLADE AGGRESSIVE PLUS 4.0,152.5,152.5,
73,BLADE DERMATOME,293.5,293.5,
74,BLADE DERMATOME BRAUN,52,52,
75,BLOOD PUMP SET INTERLINK 2C6757,53.5,53.5,
76,BLOOD TYPING ABO,299.5,299.5,
77,BLOOD TYPING RH D,164,164,
78,BONE CEMENT SIMPLEX GENTAMICIN,959,959,
79,BOOT AIR WALKER TALL OTS,377,377,
80,BOOT EX TRACKER WALKER,122,122,
81,BOOT PNEUMATIC OTS,163,163,
