"SVCCD","Description","PRICE1","As of Date"
"1010014","NI-EKG, 12 LEADS    ",1063.50,"12/20/2018"
"1010015","NI-STRESS TEST      ",3057.50,"12/20/2018"
"1010017","NI-EKG, 1-3 LEADS   ",224.75,"12/20/2018"
"1010029","P-PM PHON R-STRP EVL",429.25,"12/20/2018"
"1010045","NI-HOLTER RECRD TO48",2765.50,"12/20/2018"
"1010046","NI-HOLTER W-SCAN 48 ",7394.25,"12/20/2018"
"1020030","EEG 41-60 MIN       ",2768.75,"12/20/2018"
"1020032","EEG AWAKE DROWSY    ",2670.50,"12/20/2018"
"1020033","EEG AWAKE ASLEEP    ",2879.50,"12/20/2018"
"1020035","EEG EVAL CEREBR     ",3068.25,"12/20/2018"
"1030009","VISUAL EVOK POTENT  ",2429.50,"12/20/2018"
"1030048","MUSC TST W-NERV TST ",1553.75,"12/20/2018"
"1030049","MUSC TST W-N TST COM",2314.00,"12/20/2018"
"1030061","MTR-SENS 1-2 NRV TST",820.50,"12/20/2018"
"1030062","MTR-SENS 3-4 NRV TST",912.75,"12/20/2018"
"1030063","MTR-SENS 5-6 NRV TST",912.75,"12/20/2018"
"1030064","MTR-SENS 7-8 NRV TST",912.75,"12/20/2018"
"1040021","NI-CARDI REHAB W- MO",595.00,"12/20/2018"
"1050015","NI-ECHO DOP LTD     ",817.25,"12/20/2018"
"1050018","NI-TILT TABLE       ",5283.75,"12/20/2018"
"1050025","US-CAROTID DPLX SCAN",5127.25,"12/20/2018"
"1050026","NI-DUPSCN EXC UN LTD",2168.50,"12/20/2018"
"1050027","NI-DUPSCN TRCRN BIL ",2454.50,"12/20/2018"
"1050028","US-TRNSCRAN DOP LTD ",1606.00,"12/20/2018"
"1050029","NI-EXT ARTERIAL LTD ",1348.75,"12/20/2018"
"1050030","NI-NON INV ARTER EXT",1768.25,"12/20/2018"
"1050031","NI-STD LE STRS REST ",1971.25,"12/20/2018"
"1050032","NI-LW EXT DPX ART BI",2741.00,"12/20/2018"
"1050035","NI-UP EXT DPX ART UN",1930.75,"12/20/2018"
"1050037","NI-EXT VEINS DPLX WC",4139.50,"12/20/2018"
"1050038","US-EXT VEINS DPX LTD",2650.75,"12/20/2018"
"1050039","NI-DPLX SCAN ART CMP",4910.00,"12/20/2018"
"1050040","NI-ABD RETROPER DPLX",4221.00,"12/20/2018"
"1050042","NI-DPLX IMT GFT ARTA",4221.00,"12/20/2018"
