"FACILITY_NAME","DRG","Total"
"SOVAH HEALTH - MARTINSVILLE     ","003",125384
"SOVAH HEALTH - MARTINSVILLE     ","004",310574
"SOVAH HEALTH - MARTINSVILLE     ","011",96121
"SOVAH HEALTH - MARTINSVILLE     ","037",75201
"SOVAH HEALTH - MARTINSVILLE     ","038",63900.8
"SOVAH HEALTH - MARTINSVILLE     ","039",36353.3
"SOVAH HEALTH - MARTINSVILLE     ","055",22183
"SOVAH HEALTH - MARTINSVILLE     ","056",55166.5
"SOVAH HEALTH - MARTINSVILLE     ","057",20937.5
"SOVAH HEALTH - MARTINSVILLE     ","059",33110
"SOVAH HEALTH - MARTINSVILLE     ","061",88156.3333333333
"SOVAH HEALTH - MARTINSVILLE     ","062",59270.4166666667
"SOVAH HEALTH - MARTINSVILLE     ","063",48261
"SOVAH HEALTH - MARTINSVILLE     ","064",40226.2972972973
"SOVAH HEALTH - MARTINSVILLE     ","065",34324.45
"SOVAH HEALTH - MARTINSVILLE     ","066",26149.0833333333
"SOVAH HEALTH - MARTINSVILLE     ","068",31145.5
"SOVAH HEALTH - MARTINSVILLE     ","069",30726.1818181818
"SOVAH HEALTH - MARTINSVILLE     ","070",40746.4
"SOVAH HEALTH - MARTINSVILLE     ","071",29461.8333333333
"SOVAH HEALTH - MARTINSVILLE     ","072",24698.6666666667
"SOVAH HEALTH - MARTINSVILLE     ","073",23134
"SOVAH HEALTH - MARTINSVILLE     ","074",34194.2222222222
"SOVAH HEALTH - MARTINSVILLE     ","077",38319.3333333333
"SOVAH HEALTH - MARTINSVILLE     ","081",19515
"SOVAH HEALTH - MARTINSVILLE     ","084",15205
"SOVAH HEALTH - MARTINSVILLE     ","088",26244
"SOVAH HEALTH - MARTINSVILLE     ","091",39122.7142857143
"SOVAH HEALTH - MARTINSVILLE     ","092",23846.125
"SOVAH HEALTH - MARTINSVILLE     ","093",26735.2857142857
"SOVAH HEALTH - MARTINSVILLE     ","100",52019.9666666667
"SOVAH HEALTH - MARTINSVILLE     ","101",26601.7391304348
"SOVAH HEALTH - MARTINSVILLE     ","103",37468.25
"SOVAH HEALTH - MARTINSVILLE     ","121",13262
"SOVAH HEALTH - MARTINSVILLE     ","123",9282
"SOVAH HEALTH - MARTINSVILLE     ","125",34968
"SOVAH HEALTH - MARTINSVILLE     ","134",25852
"SOVAH HEALTH - MARTINSVILLE     ","149",24598.5
"SOVAH HEALTH - MARTINSVILLE     ","153",14374.5
"SOVAH HEALTH - MARTINSVILLE     ","154",37833
"SOVAH HEALTH - MARTINSVILLE     ","155",27779.25
"SOVAH HEALTH - MARTINSVILLE     ","158",28867.5
"SOVAH HEALTH - MARTINSVILLE     ","159",43081
"SOVAH HEALTH - MARTINSVILLE     ","163",123792.666666667
"SOVAH HEALTH - MARTINSVILLE     ","164",73227.6666666667
"SOVAH HEALTH - MARTINSVILLE     ","166",112911.666666667
"SOVAH HEALTH - MARTINSVILLE     ","168",14070
"SOVAH HEALTH - MARTINSVILLE     ","175",35536.2272727273
"SOVAH HEALTH - MARTINSVILLE     ","176",25826
"SOVAH HEALTH - MARTINSVILLE     ","177",47754.5666666667
"SOVAH HEALTH - MARTINSVILLE     ","178",28807.5
"SOVAH HEALTH - MARTINSVILLE     ","179",16784.5
"SOVAH HEALTH - MARTINSVILLE     ","180",49692.25
"SOVAH HEALTH - MARTINSVILLE     ","181",35493.5
"SOVAH HEALTH - MARTINSVILLE     ","183",35030
"SOVAH HEALTH - MARTINSVILLE     ","186",29534.1428571429
"SOVAH HEALTH - MARTINSVILLE     ","187",37503.5
"SOVAH HEALTH - MARTINSVILLE     ","189",33349.275
