"Facility","Description","Price"
"Martinsville","MED NUTRITON THERPY SUB",63
"Martinsville","GRP MNT 2 OR MORE 30 MIN",47
"Martinsville","MED NUTRITON THERAPY INI",63
"Martinsville","MED NUTRITON THER GROUP",47
"Martinsville","MNT SUBS TX CHG DX 15 MN",47
"Martinsville","OP SURG REC ADDL 15 MIN",40
"Martinsville","CHEMOTHERAPY INFUSION",2329
"Martinsville","COLLECT BLOOD VAD",261
"Martinsville","INFUSION SEQUENTIAL",394
"Martinsville","INFUSION THERAP\DIAG ADD",240
"Martinsville","LIGATION HEMORRHOID SNGL",3712
"Martinsville","LIGATION HEMORRHOID MULT",3712
"Martinsville","IV PUSH INITIAL DRUG",528
"Martinsville","CHEMOTHERAPY IV PUSH",1648
"Martinsville","CHEMO INFUSE ADDL DRUG",1137
"Martinsville","IM/SQ INJECTION",152
"Martinsville","ENDOV ABLATN 1 VEIN",8416
"Martinsville","ADDL IV PUSH SAME DRUG",235
"Martinsville","OP SURG RECOVERY 1ST 30",77
"Martinsville","GLUCOSE BLD STRIP",46
"Martinsville","IV HYDRATION 1ST HR",628
"Martinsville","INFUSION THERAP\DIAG 1ST",720
"Martinsville","CHEMO PUSH ADDL DRUG",957
"Martinsville","IMMUNIZATION ADMIN",129
"Martinsville","ENDOV ABLATN 2ND VEIN",1451
"Martinsville","YAG LASER SURGERY",3770
"Martinsville","CHEMO EA ADD HOUR 1-8",528
"Martinsville","IV HYDRATION ADDL HR",189
"Martinsville","IV PUSH NEW DRUG",249
"Martinsville","PORT FLUSH ONLY",144
"Martinsville","BLOOD PATCH",2077
"Martinsville","I&D SKIN COMPLEX",4561
"Martinsville","FLEX FIBER LARYNGOSCOPY",3736
"Martinsville","INTROS NDLE PLCMNT",3025
"Martinsville","DEBR SKIN TISSUE\MUSCLE",2230
"Martinsville","EXPLORE PENETRATE WOUND",3025
"Martinsville","LAY CLOS N\H\F 20.1-30CM",2786
"Martinsville","CLOSED TX TOE FRACTURE",2744
"Martinsville","TRACHEOSTOMY",3230
"Martinsville","REP COMP ENEL ADDITIONAL",1019
"Martinsville","REP WOUND F\E\N\L >39",2786
"Martinsville","REP WND F\E\N\L 20.1-30",2786
"Martinsville","MOD SED SAM QHP=>5Y",67
"Martinsville","PIN KNUCKLE DISLOCATN",2786
"Martinsville","ER VISIT LVL I",374
"Martinsville","CRITICAL CARE",3192
"Martinsville","CLSD TX INTTROCH FX",3026
"Martinsville","CLSD TX METACARPL FX MAN",2786
"Martinsville","COMPLEX SCALP 2.6-7.5CM",4803
"Martinsville","FACIAL INTER 2.6 TO 5CM",2929
"Martinsville","SIMPLE > 30CM",2698
"Martinsville","WOUND EXPLORE TRUNK",2744
"Martinsville","CLSD TX DIST PHAL FX EA",3025
"Martinsville","LAY CLOS F\E\E\N\ 20.1CM",2786
"Martinsville","CAST APPLY LONG LEG",2744
"Martinsville","CLSD TX DIST PHAL FX EA",3725
"Martinsville","I&D ABSCESS RECTUM",2698
"Martinsville","CLOSED TX CLAVICLE W/MAN",2010
"Martinsville","THERAPEUTIC PHLEBOTOMY",128
"Martinsville","NASOPHARYNGOSCOPY",654
"Martinsville","DESTRUCT LESION >=15",1329
"Martinsville","I&D RECTAL ABSCESS",3185
"Martinsville","CLSD TX KNEE FX W/WO MAN",2213
"Martinsville","CL TX DIS RADL FX WO MAN",3025
"Martinsville","SUTURE FLEX TENDON HAND",2077
