Description	Price
   RTA00077	37.00
   RTA00078	153.00
   RTA00087	108.00
  ANL SPINE INFUS PMP W/MDREPROG & FILL	1253.00
 18-30 Compression RTW Knee Hi	111.00
 18-30 Compression RTW Thigh Hi	151.00
 18-30 Compression RTW Waist Hi	181.00
 30-40 Compression RTW Knee Hi	111.00
 30-40 Compression RTW Thigh Hi	151.00
 30-40 Compression RTW Waist Hi	192.00
 3D Rendering w Post Proc W WKST Charge	1893.00
 3D Rendering W Post Proc wo WKST CHARGE	1620.00
 40-50 Compression RTW Knee Hi	142.00
 40-50 Compression RTW Thigh Hi	181.00
 9 Drug-Bund-LC Add On	180.00
 Anchors used in EVAR procedure	5096.00
 anticoagulation management	26.00
 Aph ARBC ACDA AS1 LR 1	840.00
 Aph ARBC ACDA AS3 1	840.00
 Aph ARBC ACDA AS3 LR	840.00
 Aph ARBC ACDA AS3 LR 1	840.00
 Aph ARBC CP2D AS3	840.00
 Aph ARBC CP2D AS3 LR	840.00
 Aph ARBC CP2D AS3 LR 1	840.00
 Aph DRBC ACDA AS3	840.00
 Aph DRBC ACDA AS3 1	840.00
 Aph DRBC ACDA AS3 Irr	840.00
 Aph DRBC ACDA AS3 Irr 1	840.00
 Aph DRBC ACDA AS3 LR	1025.00
 Aph DRBC ACDA AS3 LR 1	1025.00
 Aph DRBC ACDA AS3 LR Irr	840.00
 Aph DRBC ACDA AS3 LR Irr 1	840.00
 Aph DRBC CP2D AS3	840.00
 Aph DRBC CP2D AS3 LR	1025.00
 Aph DRBC CP2D AS3 LR 1	1025.00
 Aph DRBC CP2D AS3 LR Irr	840.00
 Aph DRBC CP2D AS3 LR Irr 1	840.00
 Aph Dv RBC ACDA AS1 LR	643.00
 Aph Dv RBC ACDA AS3 LR	643.00
 Aph Dv RBC ACDA AS3 LR 2	643.00
 Aph Dv RBC ACDA AS3 LR Irr 1	840.00
 Aph Dv RBC ACDA AS3 LR Irr 2	840.00
 Aph Dv RBC CP2D AS3 LR	643.00
 Aph Dv RBC CP2D AS3 LR 1	643.00
 Aph Dv RBC CP2D AS3 LR Irr	840.00
 Aph Dv RBC CP2D AS3 LR Irr 1	840.00
 Aph Dv RBC CP2D AS3 LR Irr 2	840.00
 Aph Dv RBC Washed LR 1	1136.00
 Aph Dv RBC Washed LR 2	1136.00
 Aph FFP ACDA	281.00
 Aph FFP ACDA <200 mL	281.00
 Aph FFP ACDA >600 mL	281.00
 Aph FFP ACDA 1	281.00
 Aph FFP ACDA 2	281.00
 Aph FFP ACDA 200-400 mL	281.00
 Aph FFP ACDA 3	281.00
 Aph FFP ACDA 400-600 mL	281.00
 Aph FFP CP2D	281.00
 Aph Plasma ACDA <24h	281.00
 Aph Plt ACDA	1913.00
 Aph PLT ACD-A  Irr 3	2209.00
 Aph Plt ACDA <3 X log 11	1913.00
 Aph Plt ACDA 1	1913.00
 Aph Plt ACDA 2	1913.00
 Aph Plt ACDA 3	1913.00
 Aph PLT ACD-A Irr ResLeu:<5E6 1 Ba	2209.00
 Aph PLT ACD-A Irr ResLeu:<5E6 2 Ba	2209.00
 Aph PLT ACD-A Irr ResLeu:<5E6 3 Ba	2209.00
 Aph Plt ACDA LR	1913.00
 Aph Plt ACDA LR <3 X log 11	1913.00
 Aph Plt ACDA LR 2	1913.00
 Aph Plt ACDA LR 3	1913.00
 Aph Plt ACDA LR Irr	2209.00
 Aph Plt ACDA LR Irr <3 X log 11	2209.00
 Aph Plt ACDA LR Irr 1	2209.00
 Aph Plt ACDA LR Irr 2	2209.00
 Aph PLT ACD-A Open Irr PlasRed 1	2209.00
 Aph PLT ACD-A Open Irr PlasRed 2	2209.00
 Aph PLT ACD-A Open Irr PlasRed 3	2209.00
 Aph PLT ACD-A Open Irr PlasRed 3	2209.00
 Aph PLT ACD-A Open PlasRed	1913.00
 Aph PLT ACD-A Open PlasRed	1913.00
 Aph PLT ACD-A Open PlasRed	1913.00
 Aph PLT ACD-A Open PlasRed 1	1913.00
 Aph PLT ACD-A Open PlasRed 1	1913.00
 Aph PLT ACD-A Open PlasRed 2	1913.00
 Aph PLT ACD-A Open PlasRed 3	1913.00
 Aph PLT ACD-A Open PlasRed2	1913.00
 Aph PLT ACD-A Open PlasRed3	1913.00
 Aph PLT ACD-A ResLeu:<5E6 1	1913.00
 Aph Plt Washed	1913.00
 Aph Plt Washed 1	1913.00
 Aph Plt Washed 2	1913.00
 Aph Plt Washed 3	1913.00
 Aph Plt Washed Irr	2209.00
 Aph Plt Washed Irr 1	2209.00
 Aph Plt Washed Irr 2	2209.00
 Aph Plt Washed Irr 3	2209.00
 Aph Plt Washed LR 1	1913.00
 Aph Plt Washed LR 3	1913.00
