"PROC
#",Procedure Description,"IP
Price","OP
Price",
1,AB HEP A IGM,182,182,
2,AB HERPES SIMPLEX TYPE 2 Q,153,153,
3,AB ID RBC ABS EACH PANEL,923,923,
4,ABG ANALYSIS ISTAT,210,210,
5,ACUTE HEPATITIS PANEL,501,501,
6,AEROSOL INITIAL CONT BRONCH,253,253,
7,AEROSOL SUB CONT BRONCH HR,118,118,
8,AEROSOL SUB SM VOL NEB,179,179,
9,AFP-L3 FRACTION ISO & TOTAL AFP,387,387,
10,AGGLUTINATION GRP EA ANTISE,43,43,
11,AIRWAY KING LTSD,311,311,
12,ALDOLASE,132,132,
13,ALT,129,129,
14,AMMONIA,148,148,
15,AMYLASE,199,199,
16,ANA TITER,111,111,
17,ANTIBODY RICKETTSIA,207,207,
18,ANTIBODY SCREEN RBC,211,211,
19,ANTIGEN SCREENING 1,455,455,
20,ANTINUCLEAR ANTIBODY,354,354,
21,APOLIPOPROTEIN A-1 AND B,143,143,
22,ARTERIAL PUNCTURE,100,100,
23,ASPERGILLUS ANTIGEN,78,78,
24,AST,137,137,
25,B TYPE NATRIURETIC PEPTIDE,205,205,
26,BASIC METABOLIC PANEL,161,161,
27,BETA HCG QUALITATIVE SERUM,176,176,
28,BILIRUBIN TOTAL,158,158,
29,BLADDER SCAN,350,350,
30,BLOOD OCCULT FECAL IMMUNOASSAY,97,97,
31,BLOOD TYPING ABO,247,247,
32,BLOOD TYPING RH D,135,135,
33,BRACE ANKLE STIRRUP OTS,84,84,
34,C DIFFICILE TOXIN A AND B EIA,241,241,
35,C02 EXPIRED GAS DETERM DAILY,453,453,
36,CALCIUM,97,97,
37,CALCIUM IONIZED,183,183,
38,CALCULUS INFRARED SPECTROS Q38,70,70,
39,CALPROTECTIN,203,203,
40,CALPROTECTIN FECAL,144,144,
41,CANCER ANTIGEN 125,217,217,
42,CARBAMAZEPINE TOTAL,191,191,
43,CATH NEXIVA,37,37,
44,CATH STRAIGHT,107,107,
45,CBC W/AUTO DIFF OTHER,198,198,
46,CBC WITHOUT DIFFERENTIAL,64,64,
47,CELL COUNT MISC FLUID,52,52,
48,CELL COUNT MISC FLUID W/DIF,108,108,
49,CHLAMYDIA TRACH AMP PROBE T,227,227,
50,CHLORIDE RANDOM URINE,68,68,
51,CKMB,133,133,
52,CLIA OCCULT BLOOD GAS FLUID,72,72,
53,CLOSTRIDIUM DIFFICILE TOXINGENES,198,198,
54,COLLECT BLOOD PORT/ACCESS DVC,142,142,
55,COMPATIBILITY TEST-ELECTRONIC,455,455,
56,COMPREHENSIVE METABOLIC PAN,165,165,
57,CONCENTRATION FOR INF AGENT,52,52,
58,CORTISOL TOTAL,203,203,
59,CPAP/BIPAP SUBSEQUENT DAILY,308,308,
60,CPR,983,983,
61,C-REACTIVE PROTEIN,145,145,
62,CREATINE KINASE (CPK) TOTAL,98,98,
63,CREATININE ISTAT,117,117,
64,CRITICAL CARE >74 PER 30 MIN,"1,204","1,204",
65,CRITICAL CARE 30-74 ADDL SVC,"3,259","3,259",
66,CROSSMATCH,455,455,
67,CRYSTAL ID LIGHT MICRO,94,94,
68,CT ABDOMEN AND PELVIS W AND W/O CONT,"5,597","5,597",
69,CT ABDOMEN AND PELVIS W CONT,"3,797","3,797",
70,CT ABDOMEN AND PELVIS W/O CONT,"3,293","3,293",
71,CT ABDOMEN W AND W/O CONTRAST,"3,026","3,026",
72,CT ABDOMEN W/CONTRAST,"2,325","2,325",
73,CT ABDOMEN W/O CONTRAST,"1,674","1,674",
74,CT CHEST W AND W/O CONTRAST,"3,766","3,766",
75,CT CHEST W/CONTRAST,"3,192","3,192",
76,CT CHEST W/O CONTRAST,"1,966","1,966",
77,CT C-SPINE W/O CONTRAST,"2,699","2,699",
78,CT HEAD/BRAIN W/O CONTRAST,"2,241","2,241",
79,CT HEADBRAIN W AND WO CONTRAST,"3,268","3,268",
80,CT LOW EXT W/CONTRAST LT,"3,838","3,838",
81,CT LOW EXT W/O CONTRAST LT,"2,970","2,970",
82,CT L-SPINE W AND W/O CONTRAST,"2,950","2,950",
83,CT L-SPINE W/O CONTRAST,"2,524","2,524",
84,CT MAXILLOFACIAL W/CONTRAST,"4,032","4,032",
85,CT MAXILLOFACIAL W/O CONTRA,"2,005","2,005",
86,CT NECK W AND W/O CONTRAST,"2,412","2,412",
87,CT NECK W/CONTRAST,"2,270","2,270",
88,CT NECK W/O CONTRAST,"1,966","1,966",
89,CT ORBIT/SELLA/FOSSA/EAR W/O CON,"1,579","1,579",
90,CT PELVIS W AND W/O CONTRAST,"3,059","3,059",
91,CT PELVIS W/CONTRAST,"2,397","2,397",
92,CT PELVIS W/O CONTRAST,"1,740","1,740",
93,CT T-SPINE W/O CONTRAST,"1,973","1,973",
94,CT UP EXT W/CONTRAST LT,"3,228","3,228",
95,CT UP EXT W/O CONTRAST LT,"2,701","2,701",
96,CTA ABDOMEN AND PELVIS W AND W/O CONTRAST,"4,059","4,059",
97,CTA ABDOMEN W AND W/O CONTRAST,"1,868","1,868",
98,CTA CHEST W AND W/O CONT,"2,456","2,456",
99,CTA HEAD W AND W/O CONT,"1,640","1,640",
100,CTA NECK W AND W/O CONT,"1,957","1,957",
101,CULT BACTERIA BLOOD,194,194,
102,CULT FUNGI,212,212,
103,CULT FUNGI BLOOD,135,135,
104,CULT PATHOGENIC ORGAN SCRN,48,48,
105,CULT STOOL ADDITIONAL PATHO,56,56,
106,CULT STOOL SALMONELLA SHIGE,232,232,
107,CULT TYPE ID BY NUCLEIC ACI,144,144,
108,CULTURE AFB,191,191,
109,CULTURE ANAEROBIC,209,209,
110,CULTURE BACTERIA AEROBIC,190,190,
111,D DIMER QUAN ULTRA SEN,158,158,
112,DECLOTTING/THROMBOLYTIC AGT,283,283,
113,DEMO/EVAL SVN/IPPB/MDI,308,308,
114,DEOXYRIBONUCLEIC ACID ANTIB,210,210,
115,DERMABOND,130,130,
116,DIFFERENTIAL MANUAL,31,31,
117,DIGOXIN,162,162,
118,DISK METHOD SENSITIVITY,73,73,
119,DRESSING HEMOSTAT SURGICEL 2X3,355,355,
120,DRUG SCREEN SINGLE,123,123,
121,DUPLEX EXTRACRANIAL/CAROTID BI,"1,375","1,375",
122,ECHO 2D COMPL SPEC AND COLOR DOP,"1,773","1,773",
123,ECHO 2D W/ OR W/O M-MODE LIMIT,654,654,
124,EGFR GENE ANALYSIS,"1,451","1,451",
125,EKG ROUTINE TRACING ONLY,175,175,
126,ENZYME DETECTION BETA LACTA,78,78,
127,EPSTEIN BARR EARLY AG IGG,138,138,
128,EPSTEIN BARR NUCLEAR AG IGG,110,110,
129,EPSTEIN BARR VIRAL CAP AB IGG,154,154,
130,ER VISIT LEVEL 1,395,395,
131,ER VISIT LEVEL 2,624,624,
132,ER VISIT LEVEL 3,963,963,
133,EVAL FLUENCY 31-60 MIN,523,523,
134,EVAL SPEECH ONLY 0-30 MIN,426,426,
135,EVAL SPEECH/LANG 31-60 MIN,892,892,
136,EVAL VOICE 31-60 MIN,412,412,
137,EXTRACTABLE NUCLEAR AG,278,278,
138,FERRITIN,165,165,
139,FIBRINOGEN,156,156,
140,FINGER/HEEL/EAR STICK,18,18,
141,FLUTTER VALVE INITIAL,188,188,
142,FLUTTER VALVE RX SUBSEQUENT,117,117,
143,FOLATES SERUM,177,177,
144,FRESH FROZEN PLASMA PROC,116,116,
145,GENTAMICIN PEAK,232,232,
146,GGT,126,126,
147,GIARDIA SPECIFIC ANTIGEN EI,136,136,
148,GLUCOSE BLOOD,67,67,
149,GLUCOSE FLUID,65,65,
150,GLUCOSE METER BLOOD,31,31,
151,GONADOTROPIN CHORIONIC QUAN,178,178,
152,H PYLORI ANTIGEN STOOL EIA,243,243,
153,HAEMOPHILUS INFLUENZA 3520,110,110,
154,HAPTOGLOBIN,118,118,
155,HEMATOCRIT (H/H),60,60,
156,HEMOGLOBIN (H/H),44,44,
157,HEMOGLOBIN A1C,89,89,
158,HEPATIC FUNCTION PANEL,376,376,
159,HEPATITIS B CORE AB IGM,289,289,
160,HEPATITIS B SURF AB,150,150,
161,HEPATITIS B SURF AG,179,179,
162,HEPATITIS C AB,743,743,
163,HEPATITIS C QUANTIFICATION,704,704,
164,HERPES SIMPLEX AB TYPE 1,124,124,
165,HERPES SIMPLEX VIRUS AMP PROBE,314,314,
166,HIV 1 ANTIGENS W/HIV 1 & 2 AB,183,183,
167,HIV1 AG W HIV1 AND 2 AB,198,198,
168,HOLTER SCAN ANALYSIS UP TO 48 HRS,754,754,
169,HOLTER SCAN/REC/HKUP/DISC 48 HR,481,481,
170,IA ANALYTE QUAL SEMI QUAN,154,154,
171,IDENTIFICATION AEROBIC,67,67,
172,IDENTIFICATION ANAEROBIC,122,122,
173,IDENTIFICATION MOLD,63,63,
174,IDENTIFICATION YEAST,67,67,
175,IMMOBILIZER KNEE OTS,116,116,
176,IMPLANT PORT ACCESS 200,614,614,
177,INFECT AGENT ANTIGEN DET,77,77,
178,INFLUENZA ANTIGEN RAPID,91,91,
179,INFLUENZA DNA AMP PROBE,419,419,
180,INJECT VACCINE/TOXOID EA ADDL,57,57,
181,INJECT VACCINE/TOXOID FIRST,114,114,
182,INJECTION IM/SUBQ/ANTIBIOTICS,251,251,
