"Facility","Description","Price"
"Danville Regional","MED NUTRITON THER GROUP",63
"Danville Regional","MNT SUBS TX CHG DX 15 MN",63
"Danville Regional","GRP MNT 2 OR MORE 30 MIN",63
"Danville Regional","MED NUTRITON THERAPY INI",63
"Danville Regional","DIABETES EDUCATION SELF",45
"Danville Regional","MED NUTRITON THERPY SUB",63
"Danville Regional","OP SURG RECOVERY 1ST 30",1073
"Danville Regional","OP SURG REC ADDL 15 MIN",434
"Danville Regional","EKG",166
"Danville Regional","CLD TX FX PHAL W/MANI EA",3863
"Danville Regional","CANTHOTOMY",1165
"Danville Regional","REPAIR EXTENSOR TENDON",4972
"Danville Regional","UNNA BOOT BIL",4561
"Danville Regional","STRAPPING ELBOW\WRIST",548
"Danville Regional","REDUCTN ELBOW W ANES",3228
"Danville Regional","CLOSD TX ELBOW DISLOC WO",2967
"Danville Regional","CLOSD TX MED MALLEOUS FX",2215
"Danville Regional","DRN FINGER ABSCESS SIMPL",2672
"Danville Regional","REPAIR EXTNSR TENDN HAND",4803
"Danville Regional","I & D AXILLA",1815
"Danville Regional","INTRA-ARTERIAL INJECTION",69
"Danville Regional","CAUTERY CHEMICAL",422
"Danville Regional","WOUND PACKING",2787
"Danville Regional","CRITICAL CARE ADD 30 MIN",785
"Danville Regional","CRICHOTHYROIDTMY EMRG",2642
"Danville Regional","DRAINAGE GUM LESION",2455
"Danville Regional","ART CATH FOR SAMPLE PERC",3003
"Danville Regional","CLS TX HIP  SOCKET FX W",2213
"Danville Regional","NAIL AND MATRIX EXCISE",1143
"Danville Regional","ER VISIT LVL III",846
"Danville Regional","IRRIG CORPORA CAVERNOSA",2401
"Danville Regional","EKG RHYTHM STRIP",49
"Danville Regional","I&D UPPER ARM/ELBOW",1815
"Danville Regional","CLSD TX FEM FX DIS W\MAN",2333
"Danville Regional","STRAPPING CHEST",548
"Danville Regional","CLSD TX SHFT DIST\FX W\M",4000
"Danville Regional","CLSD TRT DST FIBLAR MANI",2655
"Danville Regional","TX SESAMOID BONE FX",4472
"Danville Regional","I&D\ASPIRATION SIMPLE",3465
"Danville Regional","VENIPUNCTURE",41
"Danville Regional","FORESKIN MANIPULATION",1224
"Danville Regional","BLADDER IRRIGATION SIMPL",3753
"Danville Regional","REMOVE FB MOUTH SIMPLE",3863
"Danville Regional","REP BLOOD VESSEL LES",4832
"Danville Regional","WOUND EXPLORE EXTREMITY",1432
"Danville Regional","HEP B ADMIN VACC",41
"Danville Regional","CARDIOVERSION ELECTRICAL",1499
"Danville Regional","TX FOOT DISLOCAT TARSAL",4472
"Danville Regional","IV HYDRATION 1ST HR",585
"Danville Regional","CONTROL NASAL\ORAL BLEED",3577
"Danville Regional","OBS CARE INITIAL HOUR",2805
"Danville Regional","LAY CLOS F\E\E\N 12.6CM",3071
"Danville Regional","INJ NERVE BLOCK",620
"Danville Regional","CLSD TX INTTROCH FX",4028
"Danville Regional","MANUAL REMOVAL PLACENTA",2211
"Danville Regional","CLSD TX HUM FX W\MANIP",3713
"Danville Regional","INSERT STR CATH COLLECT",16
"Danville Regional","CAST APPLY FOREARM",548
"Danville Regional","REP COMP ENEL ADDITIONAL",1505
"Danville Regional","FB REMOVAL VAGINA",418
"Danville Regional","AS/INJ GANGLION CYST",2006
"Danville Regional","CLSD TX SHL BL FX W\MAN",2765
"Danville Regional","I&D SKIN COMPLEX",4561
"Danville Regional","TRIM NONDYSTROP NAIL",118
"Danville Regional","UA DIPSTICK",94
"Danville Regional","CLOSD TX ULNAR FX W\MANP",2765
"Danville Regional","LAY CLOS F\E\E\N\ 20.1CM",4126
"Danville Regional","LAY CLOS N\H\F 12.6-20CM",4126
"Danville Regional","CLSD TX LUNATE DISLOC W\",2765
"Danville Regional","CLSD TX THUMB FX W\MANIP",2765
"Danville Regional","CAST APPLY SHORT LEG",548
"Danville Regional","CLSD TX KNEECAP",1165
"Danville Regional","CLSD TX RAD FX W MAN",1377
"Danville Regional","REDUCTION NURSEMAID ELBO",3753
"Danville Regional","VAGINAL PACKING",2655
"Danville Regional","REP VERMILION <1/2 HT",2784
"Danville Regional","LAY CLOS N\H\F 7.6-12CM",4126
"Danville Regional","URINE PREGNANCY TEST",317
"Danville Regional","FLEX FIBER LARYNGOSCOPY",1696
"Danville Regional","CLSD TX HUM CON FX W\O",2765
"Danville Regional","ASP PLEURA W IMAGE",2548
"Danville Regional","CLSD TX CALCAN FX WO MAN",2215
"Danville Regional","CLS TX TIB FX WO MAN",2655
"Danville Regional","INJ ANES TRIGEM NERVE",3863
"Danville Regional","CLOSD TX PATELLAR FX",2507
"Danville Regional","ER VISIT LEVEL V",2555
"Danville Regional","REMOVE IMPACT CERUMEN",284
"Danville Regional","ABD PARACENTESIS W IMAG",2699
"Danville Regional","INFUSION THERAP\DIAG 1ST",716
"Danville Regional","CLOSD TX RAD HEAD SUBLUX",3651
"Danville Regional","TX EPICONDYLR HUM FX W\O",4203
"Danville Regional","FB REM BODY FOOT COMP",4872
"Danville Regional","DRAIN EXT EAR ABSCS SIMP",4561
"Danville Regional","CL TX RAD DIS FX W MANIP",3493
"Danville Regional","PNEUMONIA VACCINE ADMIN",44
"Danville Regional","CL TX SUPR\TRANSCONDR WO",2308
"Danville Regional","DISLOCATE TX W\ANESTHES",2677
"Danville Regional","COMPLEX EA ADDL <5CM",1269
"Danville Regional","I&D PERITONSILLAR ABSCES",2655
"Danville Regional","INTERMEDIATE <2.5CM",4027
"Danville Regional","CLSD TX ACRCLAV DIS W\MN",2765
"Danville Regional","REPAIR LAC TONGUE <2.5CM",4127
"Danville Regional","DEBR SKIN TISSUE\MUSCLE",586
"Danville Regional","I&D VULVA PERINEUM",3713
"Danville Regional","CLOSED TX DISLOCATED JAW",3306
"Danville Regional","CLSD RED DISTAL TIBIA",3713
"Danville Regional","ABD PARACENTESIS WO IMAG",2467
"Danville Regional","CNTRL NASAL BLD POST INT",2455
"Danville Regional","REM HEMORRHOID CLOT",3586
"Danville Regional","COMPLEX REPAIR 1.1-2.5CM",2784
"Danville Regional","FACIAL INTERMED <2.5CM",4472
"Danville Regional","DESTRUCT LESION <= 14",4472
"Danville Regional","INCISE FORESKIN",2984
"Danville Regional","CLSD TRT PHALANG MANIP",4561
"Danville Regional","PROCTOPEXY",2411
"Danville Regional","THORACOTOMY",5764
"Danville Regional","ABSCESS DRAIN DEEP",2801
"Danville Regional","STRAPPING THORAX",2642
"Danville Regional","CLSD TX W/WO MANIP",2215
"Danville Regional","I&D PILOND CYST COMPLEX",3576
"Danville Regional","ER VISIT LVL II",567
"Danville Regional","INTERMED 2.6 TO 7.5CM",4561
"Danville Regional","CLS TX TIB FX W MANI",2655
"Danville Regional","FB REMOVAL SUBCUT SIMPLE",4472
"Danville Regional","IV THROMBOLYSIS CEREBRAL",3793
"Danville Regional","CLOSD TX FRACTURE NOSE",2967
"Danville Regional","IV PUSH INITIAL DRUG",596
"Danville Regional","FACIAL COMPLEX 1.1-2.5CM",2784
"Danville Regional","TRMT NOSE FRACTURE",3147
"Danville Regional","ER VISIT LVL IV",1457
"Danville Regional","ER VISIT LVL I",374
"Danville Regional","CLSD TX HUM FX W\O MANIP",2765
"Danville Regional","I & D PERIRECTAL ABSCESS",4803
"Danville Regional","STRAP ANKLE/FOOT",2077
"Danville Regional","CLSD TX ARTICULAR FX WO",4027
