"Charge Code",,"Charge Description","Fee Schedule"
"AM000007",,"TRANSPORT INFANT PER 30MIN",366
"AM000008",,"TRANSPORT REVERSE PER 30MIN",121
"AN000001",,"ANES LOCAL PUDENDAL",516
"AN000004",,"MISC NITRIC OXIDE PER HR",786
"AN000007",,"PRE-OP SERVICES AND SUPPLIES",1226
"AN000021",,"ANESTHESIA TIME 1/2 HR LVL 1",1086
"AN000022",,"ANESTHESIA TIME 1/2 HR LVL 2",1335
"AN000023",,"ANESTHESIA TIME 1/2 HR LVL 3",1578
"AN000024",,"ANESTHESIA TIME 1/2 HR LVL 4",1872
"AN000025",,"ANESTHESIA TIME 1/2 HR LVL 5",1973
"AN000026",,"ANESTHESIA TIME 1/2 HR LVL 6",1086
"AN000027",,"MOD SED SAME PHYS/QHP GREATER 5 YRS",231
"AN000028",,"MOD SED SAME PHYS/QHP 5 OR LESS YRS",231
"AN000029",,"MOD SED SAME PHYS/QHP EA",231
"AN000030",,"MOD SED OTH PHYS/QHP GREATER 5 YRS",231
"AN000031",,"MOD SED OTH PHYS/QHP 5 OR LESS YRS",231
"AN000032",,"MOD SED OTHER PHYS/QHP EA",231
"AN000033",,"MOD SEDAT ENDO SERVICE GREARTER THN 5YRS",186
"AU000003",,"AUD ACOUSTIC REFLEX TEST",190
"AU000005",,"AUD CONDITIONING PLAY",369
"AU000008",,"AUD EARMOLD - CSS-MCD",232
"AU000010",,"AUD EVAL COMPSV THRESHOLD",498
"AU000011",,"AUD EVAL E-ACOUSTIC BINAURAL",230
"AU000012",,"AUD EVAL E-ACOUSTIC MONAURAL",115
"AU000015",,"AUD EVOKED OTOACOUS EMISS COMP",258
"AU000016",,"AUD EVOKED OTOACOUS EMISS LTD",226
"AU000017",,"AUD EVOKED POTENTIAL AUD COMP",1302
"AU000019",,"AUD HEARING AID CHECK BIN",253
"AU000020",,"AUD HEARING AID CHECK MON",149
"AU000021",,"AUD HEARING AID EXAM BIN",1468
"AU000022",,"AUD HEARING AID EXAM MON",979
"AU000024",,"AUD OSCILLATING TRACKING W REC",301
"AU000025",,"AUD PURE TONE AIR ONLY",190
"AU000026",,"AUD PURE TONE AIR/BONE",306
"AU000030",,"AUD SCREEN PURE TONE AIR ONLY",122
"AU000031",,"AUD SELECT PICTURE",190
"AU000032",,"AUD SINUSOIDAL ROTATION",210
"AU000033",,"AUD SPEECH THRESHOLD",164
"AU000034",,"AUD SPEECH THRESHOLD W RECOG",232
"AU000035",,"AUD STENGER TEST PURE TONE",157
"AU000036",,"AUD STENGER TEST SPEECH",203
"AU000038",,"AUD TYMPANOMETRY IMPEDANCE",111
"AU000041",,"CI F/U PROG UP TO 7 YRS",814
"AU000042",,"CI F/U PROG  7YRS & UP",814
"AU000043",,"CI INT PROG UP TO 7 YRS",1010
"AU000044",,"CI INT PROG  7 YRS & UP",1010
"AU000046",,"EAR MOLD  HI PERFORM",232
"AU000047",,"EAR MOLD/INSERT  ANY TYPE",137
"AU000048",,"EVOKED POTEN AUDITORY COMPR",1626
"AU000058",,"NYSTAGMUS TEST & RCD OPTOKIN",376
"AU000059",,"NYSTAGMUS TEST & RCD POSIT 4 OR MORE",409
"AU000060",,"NYSTAGMUS TEST & RCD SPONTAN",376
"AU000061",,"SCREENING TEST PURE TONE AIR ONLY",105
"AU000062",,"TYMPANOMETRY",111
"AU000067",,"CI TELEMETRY",606
"AU000072",,"AUD CNTRL FUNCTION TEST 1 HR",633
"AU000073",,"AUD CNTRL FNCTN TST + 15 MIN",183
"AU000074",,"VISUAL REINFORCE AUDIOMET(VRA)",389
"AU000077",,"EVAL AUDITORY REHAB 1ST HR",1137
"AU000081",,"ASSESSMENT OF TINNITUS",776
"AU000082",,"AUD EVOKED POTENTIAL AUD LTD",579
"AU000084",,"FILTERED SPEECH TEST",150
"AU000087",,"ACOUSTIC IMMITTANCE TESTING",382
"AU000088",,"BASIC VESTIBULAR EVALUATION",1463
"AU000089",,"TYMPANOMETRY/REFLEX THRESHOLD MEASUREMENTS",287
"AU000090",,"HA REPAIR/MODIFICATION - IN OFFICE",41
"AU000094",,"PONTO PLUS L SOUND PROCESSOR W/ HEAD BAND 24136150",7364
"AU000095",,"PONTO STREAMER BL 0934395",928
"AU000096",,"PONTO CONNECTLINE CLIP ON MIC 000708",411
"AU092537",,"CALORIC VSTBLR TEST W/REC  BITHERMAL",281
"AU092538",,"CALORIC VSTBLR TEST W/REC MONOTHRMAL",281
"BL009035",,"PLATELET PHERES PAS LEU RED",1541
"BL009036",,"LIQUID PLASMA",298
"BL009037",,"PLATELET PHERES PAS LEURED IRR",1580
"BL009055",,"PLATELET PHERESIS, LR, CMV NEG",1555
"BL009072",,"PLATELETS PHERES PASC LEURED PATHRED IRR",1810
"BL019072",,"PLATELETS PHERES PASC LEURED PATHRED",1769
"BL072103",,"FRESH FROZEN PLASMA(FFP)",239
"BL072154",,"CRYO POOR PLASMA",298
"BL072251",,"CRYOPRECIPITATE",184
"BL072262",,"PLATELETS IRRADIATED - VOL REDUCED",420
"BL072460",,"PLATELET RANDOM-LEUKO REDUCED",381
"BL073001",,"COMPATIBILITY-37",64
"BL073003",,"COMPATIBILITY-AHG",113
"BL073053",,"BLOOD (WHOLE) TRANSFUSION",474
"BL073055",,"POOLED COMPONENT FEE",437
"BL073100",,"THERAPEUTIC PHLEBOTOMY                                    01",231
"BL073401",,"WASHED RBC'S",727
"BL078102",,"DAT-ANTI-IGG",97
"BL078103",,"DAT-ANTI COMPLEMENT",97
"BL079019",,"PLASMA EXCHANGE",5631
"BL086003",,"IGE PEANUT CONPONENT PROFILE",14
"BL086030",,"IMMUNE AB TITER-AHG PREVIOUS",199
"BL086032",,"IMMUNE AB TITER-AHG",199
"BL086252",,"IRRADIATION EA UNIT",168
"BL086317",,"HBIG (HBS AB MONITOR, POST-TRANSPLANT SERUM)",189
"BL086341",,"ZNT8 ANTIBODIES",439
"BL087140",,"LEUKO REDUCED IRRADIATED RBC",687
"BL087210",,"HPC ABO TYPE",25
"BL087220",,"ABO CONFIRMATION",25
"BL087221",,"RH CONFIRMATION",24
"BL087222",,"CROSSMATCHED PRODUCT",280
"BL087223",,"RBC'S LEUKOREDUCED",650
"BL087224",,"PLATELET PHERESIS LEUKOREDUCED",1516
"BL087225",,"PLATELET PHERESIS IRRADIATED",1427
"BL087226",,"PLATELET PHERESIS LUEKO REDUCED",1555
"BL087228",,"WB/RBC'S LR FROZED/DEGLYC/WASHED",1003
"BL087229",,"WHOLE BLOOD LEUKORED IRRADIATED",457
"BL087231",,"FFP 8-24 HRS COLLECTION",247
"BL087232",,"BLOOD SPLIT UNIT",544
"BL087234",,"RBC LEUKOREDUCED CMV NEG",696
"BL087235",,"RBC LEUKORED IRRAD CMV NEG",735
"BL087236",,"PLATELET PHERESIS LEUKORED IRRAD CMV NEG",1601
"BL186003",,"GALACTOSE ALPHA-1.3 GALACTOSE (ALPHA-GAL) IGE",96
"BL186341",,"IA2 AUTOANTIBODIES",151
"BL286003",,"MUSSEL - IGE",10
"CD000001",,"ABLATION AV NODE BY IC CAT",5813
"CD000008",,"ARRHYTHMIA INDUCT BY PACING",3471
"CD000011",,"ATRIAL REVSN TRANSVEN BLLN",6716
"CD000012",,"BIOPSY ENDOMYOCARDIAL",5793
"CD000014",,"CARD STRESS TEST",1741
"CD000016",,"CARDIOVERSION EXTERNAL",1993
"CD000017",,"CARDIOVERSION INTERNAL",2248
"CD000023",,"CATH PROC RT HEART",6604
"CD000024",,"CATH W INJ AORTOGRAM",1176
"CD000028",,"CATH W INJ LV/LA ANGIOGRAM",1426
"CD000029",,"CATH W INJ PULM ANGIOGRAM",1897
"CD000030",,"CATH W INJ RV/RA ANGIOGRAM",1579
"CD000031",,"CPR",923
"CD000033",,"DOPPLER ECHO PED COMP",969
"CD000034",,"DOPPLER ECHO COLOR FLW MAPPING",969
"CD000035",,"DOPPLER ECHO COMPLETE",969
"CD000036",,"ECHO 2D W WO M-MODE COMP",3237
"CD000037",,"ECHO 2D W WO M-MODE LTD",1942
"CD000038",,"ECHO COLOR FLOW (ADD-ON)",969
"CD000039",,"ECHO CONGENITAL ANOMALY COMP",3233
"CD000040",,"ECHO CONGENITAL ANOMALY LTD",1939
"CD000041",,"ECHO DOPPLER - COMPLETE",923
"CD000042",,"ECHO DOPPLER LTD",649
"CD000043",,"ECHO INTRACARD-RAD S&I ADD-ON",5055
"CD000044",,"ECHO REST STRESS",3552
"CD000045",,"ECHO TRNSES-PLC I&R-CONG ANOM",2556
"CD000049",,"ECHO TRANSESHOPHAGEAL",5176
"CD000051",,"EP EVAL COMP RT-W/O INDUCTION",12124
"CD000052",,"EP EVAL COMP RT-W/ INDUCTION",18557
"CD000053",,"EP EVAL COMP W LT VENT RCRDG",12610
"CD000054",,"EP EVAL COMP W/ LA/CS RCRDG",22691
"CD000055",,"EVAL ICD LEADS W GEN TSTNG",9430
"CD000056",,"EP FOLLOW-UP W PACING/RCRDG",5431
"CD000058",,"EVAL ICD LEADS W PRGM/REPRGM",3187
"CD000060",,"EVAL PPM ANTITACHYCARDIA",547
"CD000067",,"PACING INTRA-ATRIAL",10616
"CD000068",,"PACING INTRAVENTRICULAR",10616
"CD000070",,"PACING/STIM AFTER IV--ADD-ON",5969
"CD000072",,"RCRDG BUNDLE OF HIS",4693
"CD000073",,"RCRDG INTRA-ATRIAL",10616
"CD000076",,"RCRDG RT VENT",5384
"CD000078",,"RCRDG W I/VENT I/ATR MAPPING",6360
"CD000085",,"TILT TABLE EVAL",2190
"CD000087",,"US INTRAVAS/COR 1ST VESSEL",3819
"CD000088",,"VALVULOPLASTY BALLN-AORTIC",10264
"CD000089",,"VALVULOPLASTY BALLN-MITRAL",26797
"CD000090",,"VALVULOPLASTY PULMONARY",26797
"CD000092",,"ECHO COLOR FETAL",969
"CD000093",,"MAPPING 3-D INTRA-CARDIAC",17946
"CD000099",,"CATH PROC RT HEART CONGENITAL",10940
"CD000100",,"CATH PROC RT/LT HEART CONGENI",10940
"CD000101",,"CATH PROC RT/LT HEART TRANS C",10940
"CD000102",,"CATH PROC RT/LT HEART ASD RET",10940
"CD000103",,"OCCLUSN SEPTAL DEFECT ATRIAL",22463
"CD000104",,"OCCLUSN SEPTAL DEFECT VENT",21569
"CD000105",,"PTA PULMONARY ARTERY",23896
"CD000107",,"ECG/MONITORING/ANALYSIS 30 DAY",172
"CD000108",,"INTRAVAS BLD FLOW VELOCITY",3646
"CD000109",,"INTRAVAS BLD FLOW VELOCITY ADD",3675
"CD000110",,"THROMBECTOMY CORONORY ADD-ON",4551
"CD000113",,"ECHO TRANSTHOR 2D W/M-MODE COMPLETE",4594
"CD000114",,"INTERROGATION VAD IN PERSON",310
"CD000115",,"CATH PROC COR ANGIO GRAFTS",18952
"CD000116",,"CATH PROC RHC CORS",13281
"CD000117",,"CATH PROC RHC CORS GRAFTS",14618
"CD000118",,"CATH PROC LHC CORS LV",22545
"CD000119",,"CATH PROC LHC CORS LV GRAFT",23879
"CD000120",,"CATH PROC RHC LHC CORS LV",25249
"CD000121",,"CATH PROC RHC LHC COR LV GRAFT",26583
"CD000122",,"CATH PROC LHC TRANSSEPTAL PUNC",10396
"CD000123",,"DRUG ADMIN W/HEMO EVAL",1132
"CD000124",,"EXERCISE STUDY DURING CATH PROC",1700
"CD000125",,"CATH PROC COMB RT & LFT HRT W/LV",18571
"CD000126",,"CATH PROC LEFT HEART W/LV",15866
"CD000127",,"CATH W INJ COR ANGIOGRAM CONG",2247
"CD000129",,"CATH PROC COR ANGIO W/INJ",17615
"CD000130",,"PROGRAMMING SINGLE LEAD PACEMAKER",85
"CD000131",,"PROGRAMMING DUAL LEAD PACEMAKER",111
"CD000133",,"PROGRAMMING SINGLE LEAD DEFIBRILLATOR",113
"CD000135",,"PROGRAMMING MULTIPLE LEAD DEFIBRILLATOR",130
"CD000136",,"PROGRAMMING IMPLANTABLE LOOP RECORDER",85
"CD000137",,"PACEMAKER EVALUATION",81
"CD000138",,"DEFIBRILLATOR EVALUATION",102
"CD000139",,"IMPLANTABLE CARDIOVASCULAR MONITOR SYSTEM",48
"CD000140",,"IMPLANTABLE LOOP RECORDER EVALUATION",67
"CD000142",,"EVALUATION PACEMAKER/ICD",258
"CD000143",,"EVALUATION ICM/ILR",239
"CD000145",,"PRQ TRLUML CORONARY ANGIO/ATHERECT ONE ART/BRNCH",15071
"CD000146",,"PRQ TRLUML CORONARY ANGIO/ATHEREC ADDL ART/BRNCH",7276
"CD000147",,"PRQ TRLUML CORONARY STENT W/ANGIO ONE ART/BRNCH",18552
"CD000148",,"PRQ TRLUML CORONARY STENT W/ANGIO ADDL ART/BRNCH",13739
"CD000149",,"PRQ TRNSCTH CORONARY STENT W/ANGIO ONE ART/BRNCH",20954
"CD000150",,"PRQ TRNSCTH CORONARY STENT W/ANGIO ADDL ART/BRNCH",20954
"CD000151",,"PRQ TRLUML CORONRY STENT/ATH/ANGIO ONE ART/BRNCH",20954
"CD000152",,"PRQ TRLUML CORONARY STENT/ATH/ANGIO ADDL BRANCH",12925
"CD000153",,"PRQ TRLUML CORONARY BYP GRFT REVASC ONE VESSEL",20954
"CD000154",,"PRQ TRLUML CORONARY BYP GRFT REVASC ADDL VESSEL",13988
"CD000155",,"PRQ TRLUML CORONRY TOT OCCLUS REVASC MI ONE VSL",20954
"CD000156",,"PRQ TRLUML CORONRY CHRONIC OCCLUS REVASC ONE VSL",13988
"CD000157",,"PRQ TRLUML CORONRY CHRNIC OCCLUS REVASC ADDL VSL",20954
"CD000158",,"EPHYS EVAL W/ ABLATION SUPRAVENT ARRHYTHMIA",41893
"CD000159",,"EPHYS EVAL W/ ABLATION VENTRICULAR TACHYCARDIA",41893
"CD000160",,"ICAR CATHETER ABLATION ARRHYTHMIA ADD ON",25587
"CD000161",,"EPHYS EVL TRNSPTL TX ATRIAL FIB ISOLAT PULM VEIN",41893
"CD000162",,"ABLATE L/R ATRIAL FIBRIL W/ ISOLATED PULM VEIN",25587
"CD000163",,"PERC DRUG-EL COR STENT SINGLE",31915
"CD000164",,"PERC DRUG-EL COR STENT ADD",31915
"CD000165",,"PERC DRUG-EL COR STENT ATHER SINGLE",31915
"CD000166",,"PERC DRUG-EL COR STENT ATHER ADD",31915
"CD000167",,"PERC DRUG-EL COR REVASC T CABG SINGLE",31915
"CD000168",,"PERC DRUG-EL COR REVASC T CABG ADD",31915
"CD000169",,"PERC DRUG-EL COR REVASC W AMI SINGLE",31915
"CD000170",,"PERC DRUG-EL COR REVASC CHRO SINGLE",31915
"CD000171",,"PERC DRUG-EL COR REVASC CHRO ADD",31915
"CD000174",,"ECHO TTHRC R-T 2D W/WO M-MODE REST&STRS CONT ECG",1296
"CD000185",,"PERCUTAN TRANSCATH CLOSURE PAT DUCT ARTERIOSUS",22463
"CD000186",,"PERCUTANEOUS TRANSCATHETER SEPTAL REDUCTION THER",1453
"CD000187",,"TTE W OR WO FOL WCON DOPPLER",5816
"CD033270",,"INS/REP SUBQ DEFIBRILLATOR",75734
"CD033271",,"INSJ SUBQ IMPLTBL DFB ELCTRD",16083
"CD033272",,"RMVL OF SUBQ DEFIBRILLATOR",6962
"CD033273",,"REPOS PREV IMPLTBL SUBQ DFB",5769
"CD093260",,"PRGRMG DEV EVAL IMPLTBL SYS",75
"CD093261",,"INTERROGATE SUBQ DEFIB",151
"CD093355",,"ECHO TRANSESOPHAGEAL (TEE)",3972
"CD093644",,"ELECTROPHYSIOLOGY EVALUATION",9430
"CL077999",,"HANDLING CHARGE",36
"CT000001",,"CT GUIDANCE SIMPLE",2406
"CT000003",,"CT GUIDANCE STEREOTACTIC",2790
"CT000004",,"CT GUIDANCE NEEDLE PLACEMENT S&I",2254
"CT000014",,"CT HEAD/BRAIN WO/CONTRAST",2268
"CT000015",,"CT HEAD/BRAIN W/CONTRAST",2587
"CT000016",,"CT HEAD/BRAIN WO/W CONTRAST",2818
"CT000017",,"CT ORBIT/EAR WO/CONTRAST",2268
"CT000018",,"CT ORBIT/EAR W/CONTRAST",2587
"CT000019",,"CT ORBIT/EAR WO/W CONTRAST",2818
"CT000020",,"CT MAXILLOFACIAL WO/CONTRAST",2268
"CT000021",,"CT MAXILLOFACIAL W/CONTRAST",2587
"CT000022",,"CT MAXILLOFACIAL WO/W CONRAST",2818
"CT000023",,"CT ST NECK WO/CONTRAST",2268
"CT000024",,"CT ST NECK W/CONTRAST",2587
"CT000025",,"CT ST NECK WO/W CONTRAST",2818
"CT000026",,"CT ANGIO HEAD WO/W CONTRAST",3650
"CT000027",,"CT ANGIO NECK WO/W CONTRAST",3180
"CT000028",,"CT THORAX WO/CONTRAST",2268
"CT000029",,"CT THORAX W/CONTRAST",2587
"CT000030",,"CT THORAX WO/W CONTRAST",2818
"CT000031",,"CT ANGIO CHEST WO/W CONTRAST",3712
"CT000032",,"CT CERVICAL SPINE WO/CONTRAST",2268
"CT000033",,"CT CERVICAL SPINE W/CONTRAST",2587
"CT000034",,"CT CERVICAL SPINE WO/W CONTRST",2818
"CT000035",,"CT THORACIC SPINE WO/CONTRAST",2268
"CT000036",,"CT THORACIC SPINE W/CONTRAST",2587
"CT000037",,"CT THORACIC SPINE WO/W CONTRST",2818
"CT000038",,"CT LUMBAR SPINE WO/CONTRAST",2268
