"Item","Description","2019 PRICE"
3100094,"MPL MUTATION ANALYSIS LABCORP ZB0O2",554.09
11000000,"HC STANDARD ROOM (PRIVATE) DAILY BED CHARGE",985
11200000,"HC MATERNITY (PRIVATE) DAILY BED CHARGE",985
11200001,"HC ANTEPARTUM (PRIVATE) DAILY BED CHARGE",985
12000000,"HC STANDARD ROOM (SEMI-PRIVATE) DAILY BED CHARGE",985
12200000,"HC MATERNITY (SEMI-PRIVATE) DAILY BED CHARGE",985
12200001,"HC ANTEPARTUM (SEMI-PRIVATE) DAILY BED CHARGE",985
12400001,"HC PSYCH ADOLESCENT DAILY BED CHARGE",1449
12400002,"HC PSYCH ADOLESCENT 1:1 DAILY BED CHARGE",1974
12400003,"HC PSYCH ADULT DAILY BED CHARGE",1348
12400004,"HC PSYCH ADULT 1:1 DAILY BED CHARGE",1873
12400005,"HC PSYCH RESIDENTIAL DAILY BED CHARGE",644
12400006,"HC PSYCH RESIDENTIAL 1:1 DAILY BED CHARGE",1170
12400007,"HC PSYCH ITP DAILY BED CHARGE",1417
12400008,"HC PSYCH ITP 1:1 DAILY BED CHARGE",1942
16400000,"HC ISOLATION DAILY BED CHARGE",1025
16400001,"HC NEGATIVE/POSITIVE PRESSURE DAILY BED CHARGE",1432
17100000,"HC NURSERY/LEVEL I DAILY BED CHARGE",795
17200000,"HC NURSERY/LEVEL II DAILY BED CHARGE",1520
17300000,"HC NURSERY/LEVEL III DAILY BED CHARGE",2690
17400000,"HC NURSERY/LEVEL IV DAILY BED CHARGE",4002
20000000,"HC INTENSIVE CARE DAILY",3173
20600000,"HC TELEMETRY DAILY BED CHARGE",1480
20600001,"HC STEP DOWN PRIVATE DAILY BED CHARGE",2373
20800000,"HC TRAUMA CRITICAL CARE DAILY BED CHARGE",3677
21000000,"HC CORONARY CARE DAILY BED CHARGE",2930
21000001,"HC CARDIOVASCULAR TELEMETRY DAILY BED CHARGE",1630
21900000,"HC OPEN HEART ICU DAILY BED CHARGE",3173
26000001,"HC IV THERAPY INITIAL (0-1 HOUR)",523.31
26000002,"HC IV THERAPY EA ADDITIONAL HR",168.4
26000003,"HC IV THERAPY SEQ NEW DRUG<1 HR",230.29
26000004,"HC IV HYDRATION INITIAL 31-60MIN",344.04
26000005,"HC IV HYDRATION EA ADDITIONAL HR",141.89
26000006,"HC IV THERAPY CONCURRENT INFUSION",125.4
26000008,"HC INJECTION IV INITIAL",300.57
26000009,"HC INJECTION IV EACH ADDITIONAL",178.75
26000010,"HC INJECTION IV SAME ADDITIONAL",155.93
27000014,"HC MARKER ENDOSCOPIC SPOT",101.88
27000023,"HC BELT,OSTOMY,SUR-FIT",4.16
27000024,"HC PASTE,STOMAHESIVE",6.033843
27000026,"HC CLIPS, SURFIT",4.71
27000028,"HC SILVASORB SHEET 4.25 X 4.25",21.92453072
27000029,"HC AQUACEL PLAIN ROPE",15
27000030,"HC POUCH,HOLLISTER HIGH OUTPUT DR",8.96
27000031,"HC POUCH,HOLLISTER 1 PIECE POUCH",5.39
27000033,"HC CLIPS, HOLLISTER",6.95
27000035,"HC POUCH, ACTIVE LIFE DRAINABLE",12.59
27000036,"HC PORT,CATHETER ACCESS",13.1
27000038,"HC POUCH, PREMIER FLEXTEND",2.4926357
27000040,"HC POUCH DRAINAGE",10.24
27000046,"HC PREPS, NO-STING FILM",1.00554616666667
27000047,"HC POUCH, SOF FLEX",11.66
27000049,"HC COLLECTOR, WOUND #9776 HOLL",50.77
27000050,"HC COMPRESSION,PRO-FORE",25.36
27000051,"HC SLEEVE IRRIGATOR 2-3/4""",4.27
27000053,"HC Cream Skin Repair Remedy 4 OZ",9.62
27000054,"HC CREAM ANTIFUNGAL REMEDY",17.46
27000057,"HC CUSHION, SOF-CARE",46.89
27000061,"HC BAG URINARY",34.33
27000064,"HC KIT LUMBAR PUNCTURE DISP",47
27000068,"HC BAG DRAINAGE",3.79546582
27000080,"HC EYE PATCH (BLACK)",4.863355
27000091,"HC BAG DRAINAGE URIMETER",60.92
27000094,"HC CAST-LEG-LONG",291.77
27000101,"HC TURN AND POSITION PILLOW, REGULAR",339.03
27000114,"HC KIT TRACH SUCTION 72 HOUR",42.6176775
27000122,"HC GAUZE VASELINE 1x 36",1.24892616666667
27000143,"HC SPANDAGE 8 AND 9 INCH",53.601332
27000149,"HC CATHETER FOLEY BAG SIZE 30 CC",72.86
27000186,"HC SET, CO-SET (ROOM TEMP)",59.43
27000227,"HC BRACE,KNEE POST-OP DON JOY",427.55
27000228,"HC COLLAR MIAMI J",189.76
27000267,"HC CATHETER, CLEAR VENTRICLAR",894.28
27000272,"HC DEVICE SECURACATH 5",54.9
27000334,"HC SPONGE, VAC WOUND",66.75
27000336,"HC SENSOR, BIS MONITOR",54.229592
27000338,"HC PACK, DELIVERY",65.0542005
27000341,"HC STAPLERS, SKIN (PPW-35)",116.77
27000348,"HC CATHETER,INTRAN-INTERNAL UTERINE",58.015
27000362,"HC URINARY DRAINAGE W/METER",17.5743
27000363,"HC BAG RESUSCITATOR",67.4672
27000372,"HC PUDENDAL BLOCK",630.68
27000384,"HC KIT EPIDURAL",118.08
27000387,"HC C-SECTION CUSTOM PACK",236.432916
27000400,"HC BAG URINARY DRAINAGE",17.5743
27000401,"HC URINARY DRAINAGE W/METER",20.444769
27000406,"HC INFLATION DEVICE(PTA PROCEDURE)",93.55
27000407,"HC SNARE LOOP (THROMBECTOMY)",1061.96
27000409,"HC CATHETER,DIAGNOSTIC",70.74
27000410,"HC CATHETER,GASTRO-JEJUNAL",246.05
27000411,"HC US PROBE COVER",42.61
27000421,"HC PTCA KIT",91.12
27000422,"HC PTCA TUOHY",48.13
27000425,"HC CATHETER,CARDIAC",130.94
27000428,"HC STYLETS",127.36
27000429,"HC KIT,SERVICE",267.96
27000430,"HC EPS MULTIFUNCTION PADS",92.36
27000432,"HC POUCH, CRM ABSORB TYRX",2849
27000433,"HC PATCH, CARTO",1137.15
27000435,"HC MEDICAL GAS SUPPLY",140.17
27000436,"HC O2 SUPPLIES FOR VENT TRANSPORT",64.16
27000442,"HC BLOOD ALCOHOL-POLICE",671.36
27000443,"HC DRESSING,ER(QUIKCLOT)4X4",52.61
27000444,"HC DRESSING,COMBAT(QUIKCLOT)3X4",112.89
27000448,"HC CATHETER FOLEY TEMP SENSING",91.98
27000461,"HC BARD TRANSVENOUS PACING ELECTRODE",542.9
27000466,"HC KIT, CRANIAL ACCESS",1188.6
27000469,"HC ENDOTRACH, HG/LW EVAC 7.0",42.2837658
27000470,"HC ENDOTRACH, HG/LW EVAC 7.5",42.2837658
27000471,"HC ENDOTRACH, HG/LW EVAC 8.0",42.2837658
27000479,"HC KIT, MICROSENSOR SKULL BOLT",2204.57
27000492,"HC ELECTRODE, PACING/DEFIB PEDS",84.125146
27000493,"HC KIT SUCTION CLOSED NEO 5FR",36.935462
27000494,"HC KIT SUNCTION CLOSED ADULT 14 FR",40.600595
27000496,"HC CATH, SURFACTANT DEL. MAC 3.5",36.42
27000504,"HC KIT, OXYHOOD O-2 SETUP",62.87
27000510,"HC DRESSING,HYDRASORB 4 X 8",4.1885415
27000518,"HC TRAY, FOLEY CATHETER 16FR",16.109775
27000521,"HC CATHETER,RADIAL ARTERY",24.135372
27000530,"HC BINDER, SURGICAL 30-45 3-PANEL",36.05
27000531,"HC BINDER, SURGICAL 46-62 3-PANEL",36.05
27000532,"HC PUMP, SUMP",262.3127
27000562,"HC CATHETER, FOLEY 3-WAY 18FR 5CC",94.67
27000569,"HC CATH FOLEY 20 FR 5CC 2W HYDRO",33.8891085
27000571,"HC CATHETER,FOLEY 14FR 5CC(BARD)",20.679093
27000579,"HC CATH FOLEY 14FR 30CC 2W HYDRO",21.880145
27000581,"HC CATH FOLEY 20FR 30CC 2W HYDRO",21.8800035
27000583,"HC CATH FOLEY 28FR 30CC 2W HYDRO",21.8800035
27000597,"HC FEMOSTOP",297.15
27000607,"HC CATHETER,SWAN GANZ VIP",367.9
27000615,"HC CATHETER,VIP W/THROMBOSHIELD",198.1
27000616,"HC CATHETER,SNG LUMEN INTERVENO",27.96422616
27000636,"HC CATHETER,VASCULAR ACCESS 195MM",136.8745348
27000638,"HC CATHETER, VASCULAR ACCESS 150MM",136.8745348
27000650,"HC TRANSDUCER PRES MONITOR (TR)",90.56
27000652,"HC TRANSDUCER,PRES.MON.NEONATAL",111.94
27000654,"HC KIT CENTRAL VENOUS CATH",43.27
27000656,"HC BAG RESUSCITATOR W/PEEP",66.8446
27000658,"HC CATH PICC NEONATE 26GA",145.462
27000819,"HC DRESSING KALTOSTAT",6.3618966
27000827,"HC HA MISC SUPPLY HIGH",50
27000830,"HC PESSARY",163.94
27000834,"HC HEARING AID REMOTE LOW",165
27000835,"HC LISTNDEV,BLUTOOTH RCVR E",345
27000836,"HC DISPENSING FEE BINAURAL",525
27000838,"HC HEARINGAID/CROS BHND EAR",900
27000839,"HC DISPENSING FEE CROS",262
27000843,"HC DISPENSING FEE MONAURAL",262
27000844,"HC HEAR AID DIG MONAURAL CCC",2100
27000847,"HC HEAR AID DIG MONAURAL BTE",2100
27000848,"HC HEAR AID DIG BINAURAL CCC",4200
27000849,"HC HEAR AID DIG BINAURAL ITC",4200
27000850,"HC HEAR AID DIG BINAURAL ITE",4200
27000851,"HC HEAR AID DIG BINAURAL BTE",4200
27000857,"HC HEARAID DG MON CIC LOW",1000
27000859,"HC HEARAID DG MON ITC MED",1400
27000860,"HC HEARAID DG MON ITC LOW",1000
