CDM Number,Description,Fee
"99385,PR",1ST PREVENTIVE M,124
"99385,UB",1ST PREVENTIVE M,112
"72082,26,PR",2 OR 3 VIEWS,49
"72082,TC,UB",2 OR 3 VIEWS,136
"77771,26,PR",2-12 CHANNELS,590
"77771,TC,UB",2-12 CHANNELS,1194
"73502,26,PR",2-3 VIEWS,34
"73502,TC,UB",2-3 VIEWS,89
"73522,26,PR",3-4 VIEWS,46
"73522,TC,UB",3-4 VIEWS,99
"72083,26,PR",4 OR 5 VIEWS,53
"72083,TC,UB",4 OR 5 VIEWS,148
"90688,UB","90688 INFLUENZA VIRUS VACCINE, QUADRIVALENT, SPLIT VIRUS, WHEN ADMINISTERED TO INDIVIDUALS 3 YEARS OF AGE AND OLDER, FOR INTRAMUSCULAR USE",50
"10040,PR",ACNE SURGERY,113
"10040,UB",ACNE SURGERY,171
"G0010,59,UB",ADMIN HEPATITIS B VACCINE,38
"G0010,UB",ADMIN HEPATITIS B VACCINE,38
"G0008,PR",ADMIN INFLUENZA VIRUS VACCINE,0
"G0008,UB",ADMIN INFLUENZA VIRUS VACCINE,38
"G0009,PR",ADMIN PNEUMOCOCCAL VACCINE,0
"G0009,UB",ADMIN PNEUMOCOCCAL VACCINE,58
"99497,UB",ADVANCE CARE PLANNING,127
"99497,PR",ADVANCE CARE PLANNING 30 MINUTES,127
"99498,PR",ADVANCE CARE PLANNING INCLUDING THE EXPLANATION AND DISCUSSION OF ADVANCE DIRECTIVES SUCH AS STANDARD FORMS,111
"99498,UB",ADVANCE CARE PLANNING INCLUDING THE EXPLANATION AND DISCUSSION OF ADVANCE DIRECTIVES SUCH AS STANDARD FORMS,111
"94664,UB","AEROSOL/VAPOR INHALATIONS, INITIAL",42
"Q2035,UB","AFLURIA VACC, 3 YRS& >, IM",22
"94640,59,UB",AIRWAY INHALATION TREATMENT,41
"94640,UB",AIRWAY INHALATION TREATMENT,41
"J7620,UB",ALBUTEROL TO 2.5,7
"95117,UB","ALLERGEN IMMUNOTHERAPY, 2+ INJECT",36
"95115,UB","ALLERGEN IMMUNOTHERAPY, ONE INJECT",29
"91122,26,PR",ANAL PRESSURE RECORD,270
"91122,TC,UB",ANAL PRESSURE RECORD,386
"62368,PR",ANALYZE SPINE INFUSION PUMP,62
"62368,UB",ANALYZE SPINE INFUSION PUMP,98
"G0438,25,PR",ANNUAL WELLNESS VISIT INITIAL VISIT,189
"G0438,25,UB",ANNUAL WELLNESS VISIT INITIAL VISIT,192
"G0438,PR",ANNUAL WELLNESS VISIT INITIAL VISIT,189
"G0438,UB",ANNUAL WELLNESS VISIT INITIAL VISIT,192
"G0439,25,PR",ANNUAL WELLNESS VISIT SUBSEQUENT VISIT,126
"G0439,25,UB",ANNUAL WELLNESS VISIT SUBSEQUENT VISIT,129
"G0439,PR",ANNUAL WELLNESS VISIT SUBSEQUENT VISIT,126
"G0439,UB",ANNUAL WELLNESS VISIT SUBSEQUENT VISIT,129
"G0442,59,PR","ANNUAL, ALCOHOL MISUSE SCREENING, 15 MINUTES",11
"G0442,59,UB","ANNUAL, ALCOHOL MISUSE SCREENING, 15 MINUTES",42
"G0442,PR","ANNUAL, ALCOHOL MISUSE SCREENING, 15 MINUTES",11
"G0442,UB","ANNUAL, ALCOHOL MISUSE SCREENING, 15 MINUTES",42
"G0444,59,PR","ANNUAL, DEPRESSION SCREENING, 15 MINUTES",11
"G0444,59,UB","ANNUAL, DEPRESSION SCREENING, 15 MINUTES",40
"G0444,PR","ANNUAL, DEPRESSIONAL SCREENING, 15 MINUTES",11
"G0444,UB","ANNUAL, DEPRESSIONAL SCREENING, 15 MINUTES",40
"46606,PR",ANOSCOPY AND DILATION,251
"46606,UB",ANOSCOPY AND DILATION,324
"46600,PR","ANOSCOPY, DIAGNOSTIC",93
"46600,UB","ANOSCOPY, DIAGNOSTIC",131
"29130,PR",APPLICATION FING,43
"29130,UB",APPLICATION FING,67
"29105,PR",APPLICATION OF LONG ARM SPLINT,97
"29105,UB",APPLICATION OF LONG ARM SPLINT,134
"29580,PR",APPLICATION OF PASTE BOOT,68
"29580,UB",APPLICATION OF PASTE BOOT,74
"29125,PR","APPLY FOREARM SPLINT, STATIC",74
"29125,UB","APPLY FOREARM SPLINT, STATIC",108
"20606,50,PR","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (E.G. TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",184
"20606,50,UB","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (E.G. TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",296
"20606,PR","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (E.G. TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",92
"20606,UB","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (E.G. TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",148
"20611,50,PR","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (E.G. SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITH ULTRASOUND GUIDANCE",212
"20611,50,UB","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (E.G. SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITH ULTRASOUND GUIDANCE",340
"20611,PR","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (E.G. SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",106
"20611,UB","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJOR JOINT OR BURSA (E.G. SHOULDER, HIP, KNEE, SUBACROMIAL BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",170
"20604,50,PR","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, SMALL JOINT OR BURSA (E.G. FINGERS, TOES); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",166
"20604,50,UB","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, SMALL JOINT OR BURSA (E.G. FINGERS, TOES); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",268
"20604,PR","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, SMALL JOINT OR BURSA (E.G. FINGERS, TOES); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",83
"20604,UB","ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, SMALL JOINT OR BURSA (E.G. FINGERS, TOES); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",134
"20612,79,PR",ASPIR &OR INJECT,65
"20612,79,UB",ASPIR &OR INJECT,97
"20612,PR",ASPIR &OR INJECT,65
"20612,UB",ASPIR &OR INJECT,97
"92585,26,PR",AUDITORY EVOKED POTENTIALS FOR EV,77
"92585,TC,UB",AUDITORY EVOKED POTENTIALS FOR EV,218
"G0445,PR","BEHAVIORAL COUNSELING TO PREVENT SEXUALLY TRANSMITTED INFECTION, SEMI-ANNUAL, 30 MIN.",27
"G0445,UB","BEHAVIORAL COUNSELING TO PREVENT SEXUALLY TRANSMITTED INFECTION, SEMI-ANNUAL, 30 MIN.",47
"19101,50,PR",BIOPSY OF BREAST OPEN,752
"19101,50,UB",BIOPSY OF BREAST OPEN,1026
"19101,PR",BIOPSY OF BREAST OPEN,376
"19101,UB",BIOPSY OF BREAST OPEN,513
"57500,PR","BIOPSY OF CERVIX, SINGLE OR MULTIPLE, OR LOCAL EXCISION OF LESION, WITH OR WITHOUT FULGURATION",186
"57500,UB","BIOPSY OF CERVIX, SINGLE OR MULTIPLE, OR LOCAL EXCISION OF LESION, WITH OR WITHOUT FULGURATION",186
"11100,51,PR",BIOPSY OF SKIN LESION,195
"11100,51,UB",BIOPSY OF SKIN LESION,88
"11100,79,51,PR",BIOPSY OF SKIN LESION,195
"11100,79,51,UB",BIOPSY OF SKIN LESION,88
"11100,PR",BIOPSY OF SKIN LESION,195
"11100,UB",BIOPSY OF SKIN LESION,88
