Medication,Package Size,Package Unit,UOM charge
1/2 NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,248
ABACAVIR 300 MG TAB,1,Each,26
ABACAVIR 300 MG TAB,1,Each,28.411
ABACAVIR 300 MG TAB,1,Each,30.335
ABACAVIR 300 MG TAB,1,Each,30.642
ABATACEPT 250 MG IV SOLUTION,1,Each,6381.35
ABCIXIMAB 10 MG/5 ML IV SOLN,5,mL,7550.88
"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",1,Each,26
ACARBOSE 25 MG TAB,1,Each,26
ACARBOSE 50 MG TAB,1,Each,26
ACEBUTOLOL 200 MG CAP,1,Each,26
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,5,mL,3.35
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,10.15,mL,4.78
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,20.3,mL,5.35
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,5,mL,6.46
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,10.15,mL,7.25
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,20.3,mL,8.1
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",100,mL,280.56
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,1,Each,1.23
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,1,Each,1.933
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,1,Each,1.942
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSP,5,mL,3.31
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSP,5,mL,4.63
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSP,5,mL,4.71
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,1,Each,2.089
ACETAMINOPHEN 325 MG TABLET,1,Each,1
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLN,10.15,mL,7.25
ACETAMINOPHEN 500 MG TAB,1,Each,1
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,1.112
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,1.12
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,1.412
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,2.252
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,2.253
ACETAMINOPHEN 80 MG CHEWABLE TAB,1,Each,1
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ELIXIR,10,mL,38
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ELIXIR,5,mL,38
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ORAL SOLUTION,118,mL,38
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ORAL SOLUTION,473,mL,50.34
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB,1,Each,38
ACETAMINOPHEN-ISOMETHEPTENE-DICHLORAL 325 MG-65 MG-100 MG CAP,1,Each,38
ACETAZOLAMIDE 250 MG TAB,1,Each,26
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,1,Each,414.93
ACETAZOLAMIDE SR 500 MG CAP,1,Each,26
ACETAZOLAMIDE SR 500 MG CAP,1,Each,32.703
ACETIC ACID (BULK) 5 % LIQUID,60,mL,30
ACETIC ACID (BULK) 5 % LIQUID,500,mL,120.15
ACETIC ACID 0.25 % IRRIGATION SOLN,1000,mL,26
ACETIC ACID 0.25 % IRRIGATION SOLN,500,mL,26
ACETIC ACID 0.25 % IRRIGATION SOLN,1000,mL,32.38
ACETIC ACID 2 % EAR SOLN,15,mL,164.85
ACETIC ACID-ALUMINUM ACETATE 2 % EAR DROPS,60,mL,305.18
ACETYLCHOLINE CHLORIDE (20 MG/2 ML) INTRAOCULAR KIT,1,Each,849.98
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,4,mL,51.62
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,4,mL,66.25
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,30,mL,108
ACETYLCYSTEINE 20 % (200 MG/ML) IV SOLN,30,mL,1262.55
ACETYLCYSTEINE 20 % (200 MG/ML) IV SOLN,30,mL,1512.22
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,30,mL,64.68
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,30,mL,66.24
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,4,mL,77.7
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,10,mL,78.67
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,10,mL,79.31
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,4,mL,82.82
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,30,mL,134.99
"ACIDOPHILUS 25 MILLION CELL-PECTIN, CITRUS 100 MG TABLET",1,Each,30
ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSP,120,mL,86.24
ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSP,120,mL,142.18
