Medication,Package Size,Package Unit,UOM charge
HYDROXYUREA 500 MG CAPSULE,1,Each,205
PAMIDRONATE 90 MG IV SOLR,1,Each,45
AMPICILLIN-SULBACTAM 1.5 GRAM IV SOLUTION,1,Each,45
MAGNESIUM OXIDE 250 MG TAB,1,Each,14
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IJ SOLN,10,mL,45
CYCLOPHOSPHAMIDE 25 MG CAPSULE,1,Each,205
ETOPOSIDE 50 MG CAP,1,Each,205
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IJ SOLN,30,mL,45
CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN,4,mL,45
CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN,2,mL,45
METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,5,mL,45
ERLOTINIB 25 MG TAB,1,Each,205
TRETINOIN (CHEMOTHERAPY) 10 MG CAP,1,Each,205
METHOTREXATE SODIUM 25 MG/ML IJ SOLN,2,mL,205
DEXTROSE 10% BOLUS IV (NEONATE),250,mL,130
DEXTROSE 5% IN WATER (D5W) IV,250,mL,130
DEXTROSE 5% IN WATER (D5W) IV,50,mL,130
DEXTROSE 5% IN WATER (D5W) IV,100,mL,130
DEXTROSE 5% IN WATER (D5W) IV,150,mL,130
ETOPOSIDE 20 MG/ML IV SOLN,5,mL,205
METHOTREXATE NA (PRESERV FREE) 25 MG/ML INJECTION,2,mL,205
POTASSIUM ACETATE 2 MEQ/ML IV,20,mL,45
CYTARABINE (PF) 100 MG/5 ML (20 MG/ML) INJECTION,5,mL,205
DACARBAZINE 200 MG IV SOLUTION,1,Each,205
BUPIVACAINE-DEXTROSE-WATER(PF) 7.5 MG/ML (0.75 %) IJ SOLN,2,mL,45
DILTIAZEM HCL 5 MG/ML IV SOLN,5,mL,45
ENALAPRILAT 1.25 MG/ML IV INJ,2,mL,45
CLINDAMYCIN 300 MG/2 ML IV,2,mL,45
"WATER FOR INJECTION, STERILE INJECTION",50,mL,45
"WATER FOR INJECTION, STERILE INJECTION",10,mL,45
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) IJ SOLN,30,mL,45
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) IJ SOLN,10,mL,45
VINCRISTINE 2 MG/2 ML IV,2,mL,205
FLUOROURACIL 2.5 GRAM/50 ML INTRAVENOUS SOLUTION,50,mL,205
FLUOROURACIL 500 MG/10 ML INJECTION,10,mL,205
PANCURONIUM 1 MG/ML IV,10,mL,45
CLINDAMYCIN 600 MG/4 ML IV,4,mL,45
BUPIVACAINE 0.25 % (2.5 MG/ML) IJ SOLN,50,mL,45
DOXORUBICIN 10 MG/5 ML IV,5,mL,205
DESENSITIZATION CARBOPLATIN 10 MG/ML IV SOLN,1,mL,205
GEMCITABINE 200 MG/5.26 ML (38 MG/ML) INTRAVENOUS SOLUTION,5.26,mL,205
SODIUM CHLORIDE 0.45 % IV,100,mL,130
SODIUM CHLORIDE 0.45 % IV,500,mL,130
DEXTROSE 50% IN WATER (D50W) IV,50,mL,45
EPHEDRINE (PF) 25 MG/5 ML (5 MG/ML) IN NS IV SYRINGE,5,mL,45
CARBOPLATIN 10 MG/ML IV SOLN,5,mL,205
GEMCITABINE 200 MG IV SOLR,1,Each,205
CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN,6,mL,45
SODIUM CHLORIDE 0.45 % IV,1000,mL,130
SODIUM CHLORIDE 0.45 % IV,50,mL,130
DEXTROSE 5%-1/2 NORMAL SALINE IV,1000,mL,130
FOLIC ACID 5 MG/ML IJ SOLN,0.2,mL,45
IRINOTECAN 40 MG/2 ML IV,2,mL,205
SODIUM BICARBONATE 4.2 % INJ,5,mL,45
BUMETANIDE 0.25 MG/ML IJ SOLN,10,mL,45
BUMETANIDE 0.25 MG/ML IJ SOLN,4,mL,45
DACARBAZINE 100 MG IV SOLUTION,1,Each,205
FLUOROURACIL 1 GRAM/20 ML INTRAVENOUS SOLUTION,20,mL,205
BUMETANIDE 0.25 MG/ML IJ SOLN,2,mL,45
PACLITAXEL 6 MG/ML IV CONC,5,mL,205
METHOTREXATE NA (PRESERV FREE) 25 MG/ML INJECTION,10,mL,205
IRINOTECAN 40 MG/2 ML IV,2,mL,224.59
DEXTROSE 5%-1/2 NORMAL SALINE IV,500,mL,130
DEXTROSE 10% IN WATER (D10W) IV,1000,mL,130
DEXTROSE 10% IN WATER (D10W) IV,250,mL,130
CYTARABINE 20 MG/ML IJ SOLN,25,mL,226.36
IRINOTECAN 40 MG/2 ML IV,2,mL,232.77
DACARBAZINE 200 MG IV SOLUTION,1,Each,236.82
VINORELBINE 10 MG/ML IV,1,mL,252.49
CISPLATIN 1 MG/ML IV SOLN,50,mL,252.99
CYTARABINE 100 MG/ML IJ SOLN,20,mL,256.24
CLINDAMYCIN 900 MG/6 ML IV,6,mL,45
"ANTIHEMOPHILIC FACTOR VIII (PLASMA/ALB FREE) 2,000 (+/-) UNIT IV KIT",1,Each,45
ABACAVIR 300 MG TAB,1,Each,41.958
ABACAVIR 300 MG TAB,1,Each,44.799
SODIUM CHLORIDE 0.9 % IV PIGGY BACK,50,mL,130
SODIUM CHLORIDE 0.9 % IV PIGGY BACK,100,mL,130
ABACAVIR 300 MG TAB,1,Each,45.253
ABACAVIR 300 MG TAB,1,Each,46.073
ETHANOL 70% LOCK SOLUTION,3,mL,45
IRINOTECAN 100 MG/5 ML IV,5,mL,270.93
DOXORUBICIN 20 MG/10 ML IV,10,mL,272.21
MESNA 100 MG/ML IV SOLN,10,mL,272.21
CYTARABINE 100 MG/ML IJ SOLN,20,mL,272.21
CISPLATIN 1 MG/ML IV SOLN,50,mL,273.69
CYTARABINE 100 MG/ML IJ SOLN,20,mL,281.09
CARBOPLATIN 10 MG/ML IV SOLN,15,mL,282.07
CARBOPLATIN 10 MG/ML IV SOLN,15,mL,300.86
0.45% SODIUM CHLORIDE 50 ML W/ HEPARIN 1 UNIT/ML UAC/PAL (NEONATE) (PREMIX),50,mL,130
SODIUM CHLORIDE 0.9% BOLUS IV,100,mL,130
SODIUM CHLORIDE 0.9% BOLUS IV,50,mL,130
VINORELBINE 10 MG/ML IV,1,mL,300.92
PACLITAXEL 6 MG/ML IV CONC,16.7,mL,305.45
FLUMAZENIL 0.1 MG/ML IV SOLN,5,mL,45
FLUOROURACIL 5 GRAM/100 ML INTRAVENOUS SOLUTION,100,mL,307.25
FLUOROURACIL 2.5 GRAM/50 ML INTRAVENOUS SOLUTION,50,mL,307.25
IRINOTECAN 100 MG/5 ML IV,5,mL,309.96
DOXORUBICIN 50 MG/25 ML IV,25,mL,313.63
ABACAVIR 300 MG TAB,1,Each,48.615
"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",1,Each,14
CARBOPLATIN 10 MG/ML IV SOLN,15,mL,318.99
CYTARABINE (PF) 20 MG/ML INJECTION SOLUTION,50,mL,319.9
"WATER FOR INJECTION, STERILE IV",1000,mL,45
ACARBOSE 50 MG TAB,1,Each,14
GENTAMICIN IN SALINE (ISO-OSMOTIC) 100 MG/100 ML IV PIGGY BACK,100,mL,45
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,1,mL,45
TRETINOIN (CHEMOTHERAPY) 10 MG CAP,1,Each,323.76
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,1,mL,45
GEMCITABINE 200 MG IV SOLR,1,Each,328.03
GEMCITABINE 200 MG IV SOLR,1,Each,339.15
MESNA 100 MG/ML IV SOLN,10,mL,346.1
VINORELBINE 10 MG/ML IV,1,mL,346.1
IRINOTECAN 40 MG/2 ML IV,2,mL,346.1
EPINEPHRINE 0.1 MG/ML SYRINGE,10,mL,45
FUROSEMIDE 10 MG/ML IJ SOLN,2,mL,45
FUROSEMIDE 10 MG/ML IJ SOLN,4,mL,45
