Px Code,Procedure Description,Unit Price,FEE SCHEDULE GROUP NAME
77030005788,CATH NEPH PFLX BSC -B,458,RI INPT PRICE BFG
77030005788,CATH NEPH PFLX BSC -B,458,RI OTPT PRICE BFG
77030005789,CATH NEPH PFLX BSC -C,1004,RI INPT PRICE BFG
77030005789,CATH NEPH PFLX BSC -C,1004,RI OTPT PRICE BFG
77030005800,STNT AIRWY PLYFLX BSC -H,13532,RI INPT PRICE BFG
77030005800,STNT AIRWY PLYFLX BSC -H,13532,RI OTPT PRICE BFG
77030005801,STNT BILI HALO BSC -G,6965,RI INPT PRICE BFG
77030005801,STNT BILI HALO BSC -G,6965,RI OTPT PRICE BFG
77030005802,STNT BILI APRO ABBT -G,7080,RI INPT PRICE BFG
77030005802,STNT BILI APRO ABBT -G,7080,RI OTPT PRICE BFG
77030005803,STNT BILI APRO ABBT -G1,7788,RI INPT PRICE BFG
77030005803,STNT BILI APRO ABBT -G1,7788,RI OTPT PRICE BFG
77030005804,STNT BILI BARD -G1,9204,RI INPT PRICE BFG
77030005804,STNT BILI BARD -G1,9204,RI OTPT PRICE BFG
77030005808,STNT BILI BE PALM CARD -G,5877,RI INPT PRICE BFG
77030005808,STNT BILI BE PALM CARD -G,5877,RI OTPT PRICE BFG
77030005809,STNT BILI BE PALM CARD -G1,3788,RI INPT PRICE BFG
77030005809,STNT BILI BE PALM CARD -G1,3788,RI OTPT PRICE BFG
77030005810,STNT BILI CARY/CN BSC -C,585,RI INPT PRICE BFG
77030005810,STNT BILI CARY/CN BSC -C,585,RI OTPT PRICE BFG
77030005811,STNT BILI CFLX BSC -B,351,RI INPT PRICE BFG
77030005811,STNT BILI CFLX BSC -B,351,RI OTPT PRICE BFG
77030005813,STNT BILI COOK -C,843,RI INPT PRICE BFG
77030005813,STNT BILI COOK -C,843,RI OTPT PRICE BFG
77030005814,STNT BILI CTN COOK -B,340,RI INPT PRICE BFG
77030005814,STNT BILI CTN COOK -B,340,RI OTPT PRICE BFG
77030005815,STNT BILI CTN COOK -C,761,RI INPT PRICE BFG
77030005815,STNT BILI CTN COOK -C,761,RI OTPT PRICE BFG
77030005816,STNT BILI DYN ABBT -G1,9544,RI INPT PRICE BFG
77030005816,STNT BILI DYN ABBT -G1,9544,RI OTPT PRICE BFG
77030005817,STNT BILI E LUMX BARD -G,7073,RI INPT PRICE BFG
77030005817,STNT BILI E LUMX BARD -G,7073,RI OTPT PRICE BFG
77030005818,STNT BILI E LUMX BARD -G1,9905,RI INPT PRICE BFG
77030005818,STNT BILI E LUMX BARD -G1,9905,RI OTPT PRICE BFG
77030005821,STNT BILI EDWD -G1,9912,RI INPT PRICE BFG
77030005821,STNT BILI EDWD -G1,9912,RI OTPT PRICE BFG
77030005822,STNT BILI EDWD -H,11258,RI INPT PRICE BFG
77030005822,STNT BILI EDWD -H,11258,RI OTPT PRICE BFG
77030005823,STNT BILI EFLX MEDT -G,4780,RI INPT PRICE BFG
77030005823,STNT BILI EFLX MEDT -G,4780,RI OTPT PRICE BFG
77030005824,STNT BILI EFLX MEDT -G1,4780,RI INPT PRICE BFG
77030005824,STNT BILI EFLX MEDT -G1,4780,RI OTPT PRICE BFG
77030005825,STNT BILI EFLX MEDT -H,6018,RI INPT PRICE BFG
77030005825,STNT BILI EFLX MEDT -H,6018,RI OTPT PRICE BFG
77030005826,STNT BILI FLX BARD -G1,8496,RI INPT PRICE BFG
77030005826,STNT BILI FLX BARD -G1,8496,RI OTPT PRICE BFG
77030005829,STNT BILI FLXM BSC -C,641,RI INPT PRICE BFG
77030005829,STNT BILI FLXM BSC -C,641,RI OTPT PRICE BFG
77030005830,STNT BILI HERC\E ABBT -G1,4956,RI INPT PRICE BFG
77030005830,STNT BILI HERC\E ABBT -G1,4956,RI OTPT PRICE BFG
77030005831,STNT BILI HERC\P ABBT -G1,7612,RI INPT PRICE BFG
77030005831,STNT BILI HERC\P ABBT -G1,7612,RI OTPT PRICE BFG
77030005832,STNT BILI INTRA EV1 -G1,9912,RI INPT PRICE BFG
77030005832,STNT BILI INTRA EV1 -G1,9912,RI OTPT PRICE BFG
