"PROC
#",Procedure Description,"IP
Price","OP
Price",
1,17-HYDROXYPREGNENOLONE,277,158,
2,AB ASPERGILLUS,202,116,
3,AB ELUTION RBC EACH ELUTION,913,522,
4,AB HEP A IGM,138,79,
5,AB HERPES SIMPLEX TYPE 2 Q,246,141,
6,AB ID PLATELET ASSOC IMMUNMOGL,195,112,
7,AB ID RBC ABS EACH PANEL,"1,853","1,059",
8,AB INTRINSIC FACTOR,183,105,
9,AB PROTOZOA NOT SPECIFIED B,463,265,
10,AB TOXOPLASMA,263,150,
11,AB TOXOPLASMA IGM,175,100,
12,ABD PILLOW ALL SIZES,120,120,
13,ABG ANALYSIS ISTAT,371,212,
14,ABL1 GENE ANALYSIS,"2,914","1,665",
15,ABLATION AV,"11,746","11,746",
16,ABLATION RENAL PERC CRY OTHER,"6,869","6,869",
17,ABLATION SECONDARY TO ATRIAL FIB,"6,260","6,260",
18,ABLATION SECONDARY TO PRIMARY,"5,576","5,576",
19,ABLATION SVT,"38,904","38,904",
20,ACCESS SYSTEM KII,211,211,
21,ACCESS SYSTEM KII 5X150,138,138,
22,ACCU STICK II INTRO SYS,472,472,
23,ACETONE URINE,62,36,
24,ACTH STIMULATING PANEL,481,275,
25,ACTIVATED PROTEIN C RESISTA,323,185,
26,ACUTE HEPATITIS PANEL,575,329,
27,ACYLCARNITINES QUAN,383,219,
28,ADAPTER VALVE HEMOSTASIS,145,145,
29,ADENOVIRUS ANTIBODY,196,112,
30,ADHESION BARRIER SEPRAFILM,"1,207","1,207",
31,ADHESIVE DERMABOND SKIN,75,75,
32,ADHESIVE SKIN TOPCL SWIFTSET,112,112,
33,ADHESIVE SURGISEAL,96,96,
34,ADRENOCORTICOTROPIC HORMONE,467,267,
35,AEROSOL INHALE SM VL NEB PENT,375,375,
36,AEROSOL INITIAL CONT BRONCH,240,240,
37,AEROSOL SUB CONT BRONCH HR,126,126,
38,AEROSOL SUB SM VOL NEB,176,176,
39,AFP-L3 FRACTION ISO & TOTAL AFP,777,444,
40,AG EIA CRYPTOCOCCUS NEOFORM,182,104,
41,AGGLUTINATION GRP EA ANTISE,125,71,
42,ALBUMIN,76,44,
43,ALBUMIN FLUID,80,46,
44,ALDOLASE,276,158,
45,ALDOSTERONE,493,282,
46,ALEXIS ORTHO PROTECTOR MED/LRG,938,938,
47,ALEXIS ORTHO PROTECTOR SMALL/MEDIUM,782,782,
48,ALEXIS ORTHO PROTECTOR SMALL/SMALL,671,671,
49,ALKALINE PHOSPHATASE,188,108,
50,ALLERGEN SPECIFIC IGE,116,66,
51,ALLERGEN SPECIFIC IGE QUAN-SEMI RECOMB,240,137,
52,ALLODERM PER 1 SQ CM_132,258,258,
53,ALLODERM PER 1 SQ CM_186,159,159,
54,ALLODERM PER 1 SQ CM_48,246,246,
55,ALLODERM PER 1 SQ CM_8,"1,507","1,507",
56,ALLODERM PER 1 SQ CM_96,259,259,
57,ALPHA 1 ANTITRYPSIN TOTAL,182,104,
58,ALPHA FETOPROTEIN SERUM,408,233,
59,ALT,247,141,
60,AMINO ACIDS 6 OR MORE QUZNT,389,222,
61,AMMONIA,177,101,
62,AMPLATZER DUCT OCCLUDER,"25,350","25,350",
63,AMPLATZER VSD OCCLUDER,"59,123","59,123",
64,AMYLASE,90,52,
65,ANA TITER,167,95,
66,ANALYZE SPINE INFUS PUMP,496,496,
