PROC #,Procedure Description,IP Price,OP Price,Note (*)
1,17-HYDROXYPREGNENOLONE,276.5,158,
2,AB ASPERGILLUS,202,115.5,
3,AB ELUTION RBC EACH ELUTION,912.5,521.5,
4,AB HEP A IGM,137.5,78.5,
5,AB HERPES SIMPLEX TYPE 2 Q,246,140.5,
6,AB ID PLATELET ASSOC IMMUNMOGL,195,111.5,
7,AB ID RBC ABS EACH PANEL,1852.5,1058.5,
8,AB INTRINSIC FACTOR,183,104.5,
9,AB PROTOZOA NOT SPECIFIED B,463,264.5,
10,AB TOXOPLASMA,262.5,150,
11,AB TOXOPLASMA IGM,175,100,
12,ABD PILLOW ALL SIZES,119.5,119.5,
13,ABG ANALYSIS ISTAT,371,212,
14,ABL1 GENE ANALYSIS,2914,1665,
15,ABLATION AV,11746,11746,
16,ABLATION RENAL PERC CRY OTHER,6869,6869,
17,ABLATION SECONDARY TO ATRIAL FIB,6260,6260,
18,ABLATION SECONDARY TO PRIMARY,5575.5,5575.5,
19,ABLATION SVT,38904,38904,
20,ACCESS SYSTEM KII,210.5,210.5,
21,ACCESS SYSTEM KII 5X150,138,138,
22,ACCU STICK II INTRO SYS,471.5,471.5,
23,ACETONE URINE,62,35.5,
24,ACTH STIMULATING PANEL,480.5,274.5,
25,ACTIVATED PROTEIN C RESISTA,323,184.5,
26,ACUTE HEPATITIS PANEL,575,328.5,
27,ACYLCARNITINES QUAN,382.5,218.5,
28,ADAPTER VALVE HEMOSTASIS,145,145,
29,ADENOVIRUS ANTIBODY,196,112,
30,ADHESION BARRIER SEPRAFILM,1206.5,1206.5,
31,ADHESIVE DERMABOND SKIN,75,75,
32,ADHESIVE SKIN TOPCL SWIFTSET,111.5,111.5,
33,ADHESIVE SURGISEAL,95.5,95.5,
34,ADRENOCORTICOTROPIC HORMONE,466.5,266.5,
35,AEROSOL INHALE SM VL NEB PENT,374.5,374.5,
36,AEROSOL INITIAL CONT BRONCH,239.5,239.5,
37,AEROSOL SUB CONT BRONCH HR,126,126,
38,AEROSOL SUB SM VOL NEB,175.5,175.5,
39,AFP-L3 FRACTION ISO & TOTAL AFP,777,444,
40,AG EIA CRYPTOCOCCUS NEOFORM,182,104,
41,AGGLUTINATION GRP EA ANTISE,124.5,71,
42,ALBUMIN,76,43.5,
43,ALBUMIN FLUID,79.5,45.5,
44,ALDOLASE,275.5,157.5,
45,ALDOSTERONE,492.5,281.5,
46,ALEXIS ORTHO PROTECTOR MED/LRG,937.5,937.5,
47,ALEXIS ORTHO PROTECTOR SMALL/MEDIUM,781.5,781.5,
48,ALEXIS ORTHO PROTECTOR SMALL/SMALL,671,671,
49,ALKALINE PHOSPHATASE,188,107.5,
50,ALLERGEN SPECIFIC IGE,115.5,66,
51,ALLERGEN SPECIFIC IGE QUAN-SEMI RECOMB,240,137,
52,ALLODERM PER 1 SQ CM_132,257.5,257.5,
53,ALLODERM PER 1 SQ CM_186,159,159,
54,ALLODERM PER 1 SQ CM_48,245.5,245.5,
55,ALLODERM PER 1 SQ CM_8,1506.5,1506.5,
56,ALLODERM PER 1 SQ CM_96,259,259,
57,ALPHA 1 ANTITRYPSIN TOTAL,182,104,
58,ALPHA FETOPROTEIN SERUM,408,233,
59,ALT,247,141,
60,AMINO ACIDS 6 OR MORE QUZNT,388.5,222,
61,AMMONIA,177,101,
62,AMPLATZER DUCT OCCLUDER,25350,25350,
63,AMPLATZER VSD OCCLUDER,59122.5,59122.5,
64,AMYLASE,90,51.5,
65,ANA TITER,166.5,95,
66,ANALYZE SPINE INFUS PUMP,496,496,
67,ANCHOR GENERATR NEUROSTIM,1262.5,1262.5,
68,ANCHOR JUGGRNOT W/NDLS,1837.5,1837.5,
69,ANCHOR JUGGRNOT/DRILLBIT,594,594,
70,Anesthesia - Epidural - 1st 15 Min,358,358,
71,Anesthesia - Epidural - Add Min,23.5,23.5,
72,Anesthesia - General - 1st 30 Min,1349.5,1349.5,
73,Anesthesia - General - Add Min,35.5,35.5,
74,Anesthesia - L&D Epidural,1159,1159,
75,Anesthesia - MAC - 1st 15 Min,386,386,
76,Anesthesia - MAC - Add Min,23.5,23.5,
77,Anesthesia - Open Heart - Add Min,38.5,38.5,
78,Anesthesia - Open Hearth - 1st 60 Min,3352.5,3352.5,
79,Anesthesia - Regional - 1st 15 Min,358,358,
80,Anesthesia - Regional - Add Min,23.5,23.5,
81,Anesthesia - Spinal - 1st 15 Min,358,358,
82,Anesthesia - Spinal - Add Min,23.5,23.5,
83,Anesthesia - TIVA - 1st 30 Min,1174.5,1174.5,
84,Anesthesia - TIVA - Add Min,32.5,32.5,
