DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
054 - NERVOUS SYSTEM NEOPLASMS W MCC,25146.43,No Medicare Payment Available
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,64188.94,11617.22
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,22041.64,6704.94
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,25577.81,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,41344.03,10741.01
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,38198,6195.97
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,31866.46,4552.44
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,23919.98,5439.65
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,30298.71,3750.62
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,76364.61,9266.72
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,25141.86,6018.8
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,40752.99,7858.79
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,25333.11,5780.98
075 - VIRAL MENINGITIS W CC/MCC,23506.8,No Medicare Payment Available
087 - TRAUMATIC STUPOR & COMA; COMA <1 HR W/O CC/MCC,19456.7,4953.09
089 - CONCUSSION W CC,26111.72,6091.22
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,23051.61,9249.24
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,38563.57,5359.19
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,28844.91,4313.79
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,41608.64,7323.28
100 - SEIZURES W MCC,37163.24,9126.88
101 - SEIZURES W/O MCC,18149.93,5017.13
149 - DYSEQUILIBRIUM,23686.59,4290.2
153 - OTITIS MEDIA & URI W/O MCC,17406.01,4353.35
158 - DENTAL & ORAL DISEASES W CC,41612.25,No Medicare Payment Available
163 - MAJOR CHEST PROCEDURES W MCC,97238.59,No Medicare Payment Available
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,81382.53,17660.01
175 - PULMONARY EMBOLISM W MCC,30944.12,8387.23
176 - PULMONARY EMBOLISM W/O MCC,23306.53,5201.2
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,48320.75,11631.77
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,23831.37,7760.49
180 - RESPIRATORY NEOPLASMS W MCC,67317.34,10235.78
181 - RESPIRATORY NEOPLASMS W CC,11089.23,No Medicare Payment Available
183 - MAJOR CHEST TRAUMA W MCC,38701.02,8870.43
184 - MAJOR CHEST TRAUMA W CC,18548.68,No Medicare Payment Available
187 - PLEURAL EFFUSION W CC,21693.86,5197.36
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,26767.2,7210.69
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,27320.76,6893.06
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,18081.73,5459.04
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,18779.17,4422.62
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,32566.22,8084.51
194 - SIMPLE PNEUMONIA & PLEURISY W CC,22803.8,5473.42
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,19924.56,4239.95
197 - INTERSTITIAL LUNG DISEASE W CC,18912.9,6491.28
199 - PNEUMOTHORAX W MCC,29503.11,10865.84
200 - PNEUMOTHORAX W CC,42528.7,6420.24
202 - BRONCHITIS & ASTHMA W CC/MCC,18883.03,5187.3
203 - BRONCHITIS & ASTHMA W/O CC/MCC,14060.16,4177.89
204 - RESPIRATORY SIGNS & SYMPTOMS,15817.01,4728.23
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,84755.18,33196.69
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,55503.13,14167.64
