DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,62192.75,21323.27
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,45425.97,16313.22
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,50911,No Medicare Payment Available
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,15950,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,51157.29,11138.95
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,31555.34,6514.41
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,24851.23,3760.71
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,36850,No Medicare Payment Available
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,23707.34,6208.2
087 - TRAUMATIC STUPOR & COMA; COMA <1 HR W/O CC/MCC,28321,5273.67
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,16699.67,8503.55
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,36067.5,13168.39
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,15449,4065.59
100 - SEIZURES W MCC,39368.5,10530.24
101 - SEIZURES W/O MCC,18002,No Medicare Payment Available
103 - HEADACHES W/O MCC,46371,No Medicare Payment Available
139 - SALIVARY GLAND PROCEDURES,58213,No Medicare Payment Available
147 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W CC,11521,7971.33
149 - DYSEQUILIBRIUM,17944,4488.93
153 - OTITIS MEDIA & URI W/O MCC,26340.25,4576.27
158 - DENTAL & ORAL DISEASES W CC,15279.7,No Medicare Payment Available
159 - DENTAL & ORAL DISEASES W/O CC/MCC,15040,No Medicare Payment Available
175 - PULMONARY EMBOLISM W MCC,37129.86,9319.89
176 - PULMONARY EMBOLISM W/O MCC,22010.4,5468.81
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,31467.55,11691.52
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,25981,8283.06
179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,19973,5955.09
180 - RESPIRATORY NEOPLASMS W MCC,33817.21,10044.17
