'Procedure ID','Description','Amount'
'317','ACARBOSE 50MG TAB       ','9.00'
'334','ACEBUTOLOL 200MG TAB    ','24.00'
'346','ACETAMIN/BUTALBITL/CAFFE','21.00'
'376','ACETAMIN/COD 15ML LIQ   ','21.00'
'382','ACETAMIN/CODEINE #3 TAB ','9.00'
'385','ACETAMINOPHEN 120MG SUPP','21.00'
'464','ACETAMINOPHEN INFGTTS15M','70.00'
'494','ACETAZOLAMIDE 250MG TAB ','9.00'
'637','ACETAZOLAMIDE 500 MG INJ','566.00'
'654','ACETIC ACID 2% 15ML OT  ','336.00'
'693','ACETYLCHOLINE 1% 2ML OP ','416.00'
'724','ACETYLCYSTEI 20% 30ML VL','797.00'
'728','INH ACETYLCYSTN 10% 4ML ','111.00'
'830','ACTIVATED CHAR/SORB 50GM','181.00'
'844','ACTIVATED CHARCOAL 50GM ','76.00'
'845','ACYCLOVIR 200MG CAP     ','25.00'
'886','ACYCLOVIR 5% TOP 15 GM  ','799.00'
'1154','ALBUTEROL 2MG TAB       ','6.00'
'1158','ALBUTEROL 4MG SA TAB    ','23.00'
'1159','ALBUTEROL 2MG/5ML LIQ   ','9.00'
'1162','ALBUTEROL 4MG TAB       ','9.00'
'1164','ALBUTEROL 90MCG 17GM INH','167.00'
'1171','INH ALBUTEROL/IPR 14.7GM','365.00'
'1193','ALENDRONATE 35MG TAB    ','270.00'
'1219','ALLOPURINOL 100MG TAB   ','6.00'
'1235','ALLOPURINOL 300MG TAB   ','6.00'
'1241','ALPRAZOLAM 0.25MG TAB   ','21.00'
'1261','ALUMINUM ACETATE PKT    ','23.00'
'1266','ALUMINUM HYDR 320MG LIQ ','6.00'
'1267','ALUMINUM HYDR 400MG CAP ','6.00'
'1276','AMANTADINE 100MG CAP    ','23.00'
'1290','AMILORIDE 5MG TAB       ','9.00'
'1291','AMINO ACIDS 1000ML      ','567.00'
'1293','AMINO ACIDS 2000ML      ','646.00'
'1404','AMINOCAPR AC 5GM/20ML VL','258.00'
'1406','AMINOCAPR ACID 500MG TAB','28.00'
'1411','AMIODARONE 200MG TAB    ','51.00'
'1429','AMITRIPTYLINE 10MG TAB  ','6.00'
'1430','AMITRIPTYLINE 25MG TAB  ','6.00'
'1446','AMLODIPINE 5MG TAB      ','25.00'
'1460','AMMONIA 0.33ML INH AMP  ','23.00'
'1495','AMOX/CLAV 250MG TAB     ','42.00'
'1497','AMOX/CLAV 250MG/5ML     ','28.00'
'1499','AMOX/CLAV 500MG TAB     ','51.00'
'1503','AMOX/CLAV 875MG TAB     ','48.00'
'1509','AMOXAPINE 25MG TAB      ','23.00'
'1532','AMOXICILLIN 125MG/5ML   ','4.00'
'1533','AMOXICILLIN 125MG CHEW  ','21.00'
'1534','AMOXICILLIN 250MG CAP   ','6.00'
