DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
641 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W/O MCC,27472,No Medicare Payment Available
776 - POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,11350.75,No Medicare Payment Available
781 - OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,14997.15,No Medicare Payment Available
880 - ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,14693.84,No Medicare Payment Available
881 - DEPRESSIVE NEUROSES,13388.46,1984.09
882 - NEUROSES EXCEPT DEPRESSIVE,12658.11,No Medicare Payment Available
883 - DISORDERS OF PERSONALITY & IMPULSE CONTROL,55058.68,No Medicare Payment Available
884 - ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,25201.73,2336.26
885 - PSYCHOSES,26373.07,7707.71
886 - BEHAVIORAL & DEVELOPMENTAL DISORDERS,28372,No Medicare Payment Available
887 - OTHER MENTAL DISORDER DIAGNOSES,42143.36,No Medicare Payment Available
894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE; LEFT AMA,18475.5,No Medicare Payment Available
895 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY,20564.13,No Medicare Payment Available
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,13783.54,1468.51
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,9772.17,No Medicare Payment Available
951 - OTHER FACTORS INFLUENCING HEALTH STATUS,26989.5,No Medicare Payment Available
