Procedure ID,Description,Amount
297,ABCIXIMAB 10 MG INJ     ,5504.00
329,ACEBUTOLOL 400MG TAB    ,48.00
334,ACEBUTOLOL 200MG TAB    ,46.00
346,ACETAMIN/BUTALBITL/CAFFE,55.00
374,ACETAMIN/COD 12.5ML LIQ ,50.00
378,ACETAMIN/CODEINE #2 TAB ,50.00
380,ACETAMIN/COD 5ML LIQ    ,35.00
382,ACETAMIN/CODEINE #3 TAB ,55.00
385,ACETAMINOPHEN 120MG SUPP,5.00
494,ACETAZOLAMIDE 250MG TAB ,45.00
626,ACETAZOLAMIDE 500MG SA C,50.00
637,ACETAZOLAMIDE 500 MG INJ,1025.00
654,ACETIC ACID 2% 15ML OT  ,200.00
692,ACETIC ACID/HC 10ML OT  ,1320.00
698,ACETYLCYSTEI 10% 30ML VL,195.00
724,ACETYLCYSTEI 20% 30ML VL,1148.00
728,INH ACETYLCYSTN 10% 4ML ,188.00
735,INH ACETYLCYSTN 20% 4ML ,200.00
736,ACITRETIN 25MG CAP      ,129.00
773,ACTIVATED CHAR 30GM PWD ,81.00
830,ACTIVATED CHAR/SORB 50GM,118.00
844,ACTIVATED CHARCOAL 50GM ,85.00
845,ACYCLOVIR 200MG CAP     ,57.00
871,ACYCLOVIR 200MG/5ML LIQ ,45.00
886,ACYCLOVIR 5% TOP 15 GM  ,788.00
893,ACYCLOVIR 5% 3GM OI     ,304.00
1124,ACYCLOVIR 800MG TAB     ,74.00
1154,ALBUTEROL 2MG TAB       ,45.00
1158,ALBUTEROL 4MG SA TAB    ,45.00
1159,ALBUTEROL 2MG/5ML LIQ   ,56.00
1162,ALBUTEROL 4MG TAB       ,45.00
1166,ALBUTEROL 90MCG 6.8GMINH,573.00
1171,INH ALBUTEROL/IPR 14.7GM,786.00
1191,ALENDRONATE 10MG TAB    ,56.00
1192,ALDESLEUKIN SINGLE VIAL ,9336.00
1193,ALENDRONATE 35MG TAB    ,134.00
1196,ALENDRONATE 70MG TAB    ,134.00
1206,ALFENTANIL 1000MCG AMP  ,501.00
1215,ALFENTANIL 2500MCG AMP  ,886.00
1219,ALLOPURINOL 100MG TAB   ,45.00
1235,ALLOPURINOL 300MG TAB   ,45.00
1241,ALPRAZOLAM 0.25MG TAB   ,45.00
1242,ALPRAZOLAM 0.5MG TAB    ,45.00
1247,ALPROSTADIL 500MCG AMP  ,3596.00
1248,ALPRAZOLAM 1MG TAB      ,45.00
1266,ALUMINUM HYDR 320MG LIQ ,45.00
1276,AMANTADINE 100MG CAP    ,45.00
1277,AMANTADINE 50MG/5ML LIQ ,45.00
1281,AMIFOSTINE 500 MG INJ   ,3843.00
1290,AMILORIDE 5MG TAB       ,55.00
1291,AMINO ACIDS 1000ML      ,1117.00
1292,AMILORIDE/HCTZ 5/50 TAB ,50.00
1293,AMINO ACIDS 2000ML      ,1290.00
1404,AMINOCAPR AC 5GM/20ML VL,222.00
1406,AMINOCAPR ACID 500MG TAB,50.00
1411,AMIODARONE 200MG TAB    ,61.00
1412,AMIODARONE 400MG TAB    ,71.00
1414,AMITRIP/CHLORDIAZ 12.5/5,45.00
1415,AMITRIP/PERPHENAZ 10/2  ,45.00
1416,AMITRIP/CHLORDIAZ 25/10 ,50.00
1418,AMITRIP/PERPHENAZ 25/2  ,45.00
1423,AMITRIPTYLINE 100MG TAB ,45.00
1429,AMITRIPTYLINE 10MG TAB  ,45.00
1430,AMITRIPTYLINE 25MG TAB  ,45.00
1431,AMITRIPTYLINE 50MG TAB  ,55.00
1432,AMITRIPTYLINE 75MG TAB  ,45.00
1438,AMLODIP/BENAZ 10/20 CAP ,51.00
1443,AMLODIP/BENAZEP 5MG/10MG,53.00
1444,AMLODIPINE 10MG TAB     ,65.00
1446,AMLODIPINE 5MG TAB      ,47.00
1454,AMLODIPINE 2.5MG TAB    ,52.00
1457,AMMONI LAC 12% 225GM LOT,795.00
1459,AMMONI LAC 12% 400GM LOT,446.00
1485,AMMONIU LAC 5% 120GM LOT,100.00
1488,AMOX/CLAV 1000MG XR TAB ,51.00
1491,AMOX/CLAV 125MG/5ML     ,39.00
1492,AMOX/CLAV 200MG/5ML     ,41.00
1495,AMOX/CLAV 250MG TAB     ,53.00
1497,AMOX/CLAV 250MG/5ML     ,46.00
1498,AMOX/CLAV 400MG CHEW    ,54.00
1499,AMOX/CLAV 500MG TAB     ,60.00
1502,AMOX/CLAV 400MG/5ML     ,51.00
1503,AMOX/CLAV 875MG TAB     ,69.00
1522,AMOXAPINE 50MG TAB      ,48.00
1524,AMOXICILL/CLAV 600MG/5ML,46.00
1532,AMOXICILLIN 125MG/5ML   ,55.00
1534,AMOXICILLIN 250MG CAP   ,45.00
1537,AMOXICILLIN 250MG/5ML   ,55.00
1542,AMOXICILLIN 400MG/5ML   ,43.00
1543,AMOXICILLIN 500MG CAP   ,45.00
1544,AMOXICILLIN 875MG TAB   ,41.00
1547,AMPHET/DEXAMPHT 25MG XR ,51.00
1548,AMPHET/DEXAMPHT 10MG TAB,39.00
1549,AMPHET/DEXAMPHT 5MG TAB ,45.00
1589,AMPICILN/SULBACTM 1.5 G ,281.00
1594,AMPICILLIN 125MG/5ML LIQ,37.00
1598,AMINO ACIDS 250ML       ,906.00
1641,AMPICILLIN 250MG CAP    ,45.00
1642,AMPICILLIN 250MG/5ML LIQ,37.00
1643,AMPICILLIN 250 MG/ML INJ,129.00
1645,AMPICILLIN 500MG CAP    ,50.00
1648,AMINO ACIDS 500ML       ,251.00
1655,AMYL NITRITE 0.3ML INAMP,63.00
1659,AMINOACET AC 1.5% 3000ML,776.00
1661,AMYLA/LIP/PROT CAP      ,50.00
1662,AMYLA/LIP/PROT EC CAP   ,45.00
1663,AMYLA/LIP/PROT MT 16 CAP,37.00
1667,AMYLA/LIP/PROT TAB      ,55.00
1673,ANAGRELIDE 0.5MG CAP    ,69.00
1674,ANAGRELIDE 1MG CAP      ,110.00
1675,ANASTROZOLE 1 MG PO     ,90.00
1678,ANTIPYRINE/BENZ 10ML OT ,182.00
1679,ANTIPYRINE/BENZ 15ML OT ,195.00
1684,ANTIVENI LACTR MAC 2.5ML,1438.00
1685,APRACLONIDINE 0.5% 5MLOP,879.00
1690,ARGININE 10% 300ML VL   ,2497.00
1693,SODIUM CHL 0.9% K20MEQ1L,724.00
1695,ARIPIPRAZOLE 10MG TAB   ,99.00
1696,ARIPIPRAZOLE 15MG TAB   ,99.00
1697,ARIPIPRAZOLE 5MG TAB    ,93.00
1701,ASCORBIC ACID 250MG TAB ,55.00
1702,ASCORBIC ACID 500MG TAB ,5.00
1708,ASPARAGINASE 10000 U INJ,899.00
1710,ASPIRIN/APAP/CAFFEIN TAB,5.00
1712,ASPIRIN/BUTALB/CAFF #3  ,59.00
1713,ASPIRIN/BUTALB/CAFF     ,55.00
1720,ASPIRIN/MEPR 325/200 TAB,50.00
1725,ATENOLOL 25MG TAB       ,45.00
1726,ATENOLOL 100MG TAB      ,45.00
1728,ATENOLOL 50MG TAB       ,45.00
1737,ATOMOXETINE 18MG CAP    ,54.00
1738,BECLOMETHASONE 7.3GM INH,812.00
1740,ATOMOXETINE 25MG CAP    ,54.00
1741,ATOMOXETINE 40MG CAP    ,54.00
1743,ATOMOXETINE 60MG CAP    ,54.00
1745,ATORVASTATIN 20MG TAB   ,64.00
1746,ATORVASTATIN 10MG TAB   ,51.00
1747,ATORVASTATIN 40MG TAB   ,63.00
1749,ATOVAQUONE 750MG/5ML LIQ,137.00
1751,BECLOMETHASONE 7.4GM INH,1211.00
1753,HY/MB/METH/PSAL/BENZ    ,55.00
1755,ATRACURIUM 100MG/10ML VL,1547.00
1757,ATROPINE 0.4MG TAB      ,40.00
1760,ATROPINE 0.5% 5ML OP    ,549.00
1766,ATROPINE 1% 5ML OP      ,504.00
1776,AZACTAM 20MG/1ML        ,180.00
1778,AZATHIOPRINE 50 MG PO   ,57.00
1781,AZELASTINE 30ML NAS SPR ,965.00
1782,AZITHROMYCIN 100MG/5ML  ,76.00
1785,AZITHROMYCIN 200MG/5ML  ,248.00
1786,AZITHROMYCIN 250MG      ,99.00
1787,AZITHROMYCIN 500 MG INJ ,208.00
1788,AZTREONAM 1GM VL        ,794.00
1789,AZITHROMYCIN 600MG TAB  ,150.00
1790,AZTREONAM 1GM/DEX 50ML  ,637.00
1791,AZTREONAM 2GM VL        ,361.00
1792,AZTREONAM 2GM/DEX 50ML  ,938.00
1795,AZTREONAM 500MG VL      ,547.00
1802,BACITRACIN 500U/GM 3.5GM,224.00
1803,BACITRACIN 500U/GM 30GM ,131.00
1804,BACITRACIN 50MU VL      ,614.00
1810,BACITRACIN/POLYMYXIN3.5G,487.00
1812,BACLOFEN 10MG TAB       ,45.00
1814,BACLOFEN 20MG TAB       ,50.00
1823,BALSALAZIDE 750MG CAP   ,41.00
1824,BCG PER INSTILLATION    ,1105.00
1826,BECAPLERMIN 0.01%15GMOI ,4442.00
1829,BECLOMETHASONE 25GM NAS ,732.00
1830,BRIMONIDINE 0.2% 5ML OP ,303.00
1833,BECLOMETHASONE 6.7GM INH,593.00
1835,BELLADONNA/PB 16.2/5ML  ,55.00
1844,BELLADONNA/PB TAB       ,45.00
1850,BENAZEPRIL 10MG TAB     ,50.00
1851,BENAZEPRIL 20MG TAB     ,50.00
1855,BENAZEPRIL 40MG TAB     ,50.00
1856,BENAZEPRIL 5MG TAB      ,50.00
1857,BENAZEPRIL/AMLOD 10/12.5,41.00
1862,BENAZEPRIL/AMLOD 5/20   ,53.00
1863,BENAZEPRIL/HCTZ 20/12.25,41.00
1865,BENAZEPRIL/HCTZ 5/6.25  ,41.00
1885,BENZOCAINE 20% 2.5GM OI ,63.00
1886,BENZOCAINE 20% 30GM GEL ,681.00
1889,BENZOCAINE 20% 60ML SPR ,902.00
1891,BUPRENORPHINE <=3MG PO  ,30.00
