Procedure ID,Description,Amount
272,272                     ,408.00
278,278                     ,455.00
297,ABCIXIMAB 10 MG INJ     ,5504.00
298,ACARBOSE 100MG TAB      ,50.00
317,ACARBOSE 50MG TAB       ,45.00
334,ACEBUTOLOL 200MG TAB    ,46.00
335,ACETAMIN/BUTALBITL 325MG,55.00
336,ACETAMIN/BUTALBITL 650MG,50.00
346,ACETAMIN/BUTALBITL/CAFFE,55.00
374,ACETAMIN/COD 12.5ML LIQ ,50.00
376,ACETAMIN/COD 15ML LIQ   ,55.00
378,ACETAMIN/CODEINE #2 TAB ,50.00
380,ACETAMIN/COD 5ML LIQ    ,35.00
382,ACETAMIN/CODEINE #3 TAB ,55.00
383,ACETAMIN/CODEINE #4 TAB ,50.00
385,ACETAMINOPHEN 120MG SUPP,5.00
463,ACETAMINOPHEN GTTS 1ML  ,6.00
494,ACETAZOLAMIDE 250MG TAB ,45.00
626,ACETAZOLAMIDE 500MG SA C,50.00
637,ACETAZOLAMIDE 500 MG INJ,1025.00
649,ACETAZOLAMIDE 50MG/ML   ,42.00
654,ACETIC ACID 2% 15ML OT  ,200.00
692,ACETIC ACID/HC 10ML OT  ,1320.00
693,ACETYLCHOLINE 1% 2ML OP ,243.00
696,ACETOHEXAMIDE 250MG TAB ,50.00
697,INH ACETYLCYST NONCMP 1G,79.00
724,ACETYLCYSTEI 20% 30ML VL,1148.00
728,INH ACETYLCYSTN 10% 4ML ,188.00
735,INH ACETYLCYSTN 20% 4ML ,200.00
736,ACITRETIN 25MG CAP      ,129.00
766,ACLOMETASON 0.05% 15GMCR,428.00
773,ACTIVATED CHAR 30GM PWD ,81.00
791,ACTIVATED CHAR 260MG CAP,50.00
829,ACTIVATED CHAR/SORB 25GM,93.00
830,ACTIVATED CHAR/SORB 50GM,118.00
844,ACTIVATED CHARCOAL 50GM ,118.00
845,ACYCLOVIR 200MG CAP     ,57.00
871,ACYCLOVIR 200MG/5ML LIQ ,45.00
886,ACYCLOVIR 5% TOP 15 GM  ,788.00
892,ACYCLOVIR 40MG/ML 1ML   ,43.00
924,ACYCLOVIR 7 MG/ML INJ   ,137.00
1124,ACYCLOVIR 800MG TAB     ,74.00
1141,ALBUMIN INF 5% 50ML     ,585.00
1148,ALBUTEROL 0.4MG/ML 1ML  ,45.00
1153,ALBUTEROL 200MCG CAP    ,50.00
1154,ALBUTEROL 2MG TAB       ,45.00
1158,ALBUTEROL 4MG SA TAB    ,45.00
1159,ALBUTEROL 2MG/5ML LIQ   ,56.00
1162,ALBUTEROL 4MG TAB       ,45.00
1164,ALBUTEROL 90MCG 17GM INH,4.00
1166,ALBUTEROL 90MCG 6.8GMINH,17.00
1171,INH ALBUTEROL/IPR 14.7GM,786.00
1176,ALCOHOLIC BEVERAGE      ,9.00
1177,ALDACTAZID 20MG/ML 1ML  ,43.00
1191,ALENDRONATE 10MG TAB    ,56.00
1192,ALDESLEUKIN SINGLE VIAL ,9336.00
1193,ALENDRONATE 35MG TAB    ,134.00
1196,ALENDRONATE 70MG TAB    ,134.00
1206,ALFENTANIL 1000MCG AMP  ,501.00
1215,ALFENTANIL 2500MCG AMP  ,886.00
1219,ALLOPURINOL 100MG TAB   ,45.00
1234,ALLOPURINOL 20MG/ML 1ML ,56.00
1235,ALLOPURINOL 300MG TAB   ,45.00
1241,ALPRAZOLAM 0.25MG TAB   ,45.00
1242,ALPRAZOLAM 0.5MG TAB    ,45.00
1247,ALPROSTADIL 500MCG AMP  ,3596.00
1248,ALPRAZOLAM 1MG TAB      ,45.00
1259,ALUM HYDR/MAG TRIS CHEW ,45.00
1265,ALUMINUM CARB BASIC PO  ,35.00
1267,ALUMINUM HYDR 400MG CAP ,50.00
1268,ALUMINUM HYDR 450MG LIQ ,45.00
1273,ALUMINUM HYDR 500/600 TB,50.00
1274,ALUMINUM HYDR 600MG LIQ ,45.00
1276,AMANTADINE 100MG CAP    ,45.00
1277,AMANTADINE 50MG/5ML LIQ ,45.00
1278,AMANTADINE 50MG/5ML 1ML ,42.00
1281,AMIFOSTINE 500 MG INJ   ,3843.00
1290,AMILORIDE 5MG TAB       ,55.00
1291,AMINO ACIDS 1000ML      ,1117.00
1292,AMILORIDE/HCTZ 5/50 TAB ,50.00
1293,AMINO ACIDS 2000ML      ,1290.00
1294,AMINO ACIDS 3000ML      ,2131.00
1402,AMINOCAPR AC 1.25G/5 LIQ,68.00
1403,AMINOCAPROC 20 MG/ML INJ,162.00
1404,AMINOCAPR AC 5GM/20ML VL,222.00
1405,AMINOCAPR AC 250MG/ML1ML,62.00
1406,AMINOCAPR ACID 500MG TAB,50.00
1407,AMINOGLUTETHIM 250MG TAB,51.00
1411,AMIODARONE 200MG TAB    ,61.00
1412,AMIODARONE 400MG TAB    ,71.00
1414,AMITRIP/CHLORDIAZ 12.5/5,45.00
1415,AMITRIP/PERPHENAZ 10/2  ,45.00
1416,AMITRIP/CHLORDIAZ 25/10 ,50.00
1418,AMITRIP/PERPHENAZ 25/2  ,45.00
1419,AMITRIP/PERPHENAZ 25/4  ,45.00
1423,AMITRIPTYLINE 100MG TAB ,40.00
1429,AMITRIPTYLINE 10MG TAB  ,45.00
1430,AMITRIPTYLINE 25MG TAB  ,45.00
1431,AMITRIPTYLINE 50MG TAB  ,55.00
