DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,543948.83,106345.37
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,321475.27,68854.9
054 - NERVOUS SYSTEM NEOPLASMS W MCC,39275.68,8324.74
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,57088.21,6422.42
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,28845.45,11929.3
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,29582.54,7310.26
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,52008.82,4381.25
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,56234.42,11069.39
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,39467.41,6235.57
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,33662.49,4872.7
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,28777.72,5803.26
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,30513.13,4995.58
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,48568.13,9199.26
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,38847.71,6580.04
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,31054.87,4985.01
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,81508.87,No Medicare Payment Available
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,22614.11,5588.14
075 - VIRAL MENINGITIS W CC/MCC,41094.42,No Medicare Payment Available
076 - VIRAL MENINGITIS W/O CC/MCC,43915.85,6227.66
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,24848.73,5774.27
080 - NONTRAUMATIC STUPOR & COMA W MCC,166024.89,No Medicare Payment Available
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,31519.17,No Medicare Payment Available
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,34805.54,8729.18
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,33536.2,5118.99
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,24904.34,4825.83
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,108999.78,No Medicare Payment Available
100 - SEIZURES W MCC,46598.65,6876.02
101 - SEIZURES W/O MCC,25401.47,5351.84
102 - HEADACHES W MCC,27379.76,No Medicare Payment Available
103 - HEADACHES W/O MCC,21302.87,4948.75
122 - ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,35934.69,No Medicare Payment Available
123 - NEUROLOGICAL EYE DISORDERS,33563.79,4867.99
124 - OTHER DISORDERS OF THE EYE W MCC,21623.78,7848.57
125 - OTHER DISORDERS OF THE EYE W/O MCC,22644.59,5011.14
146 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W MCC,73361.73,11967.78
149 - DYSEQUILIBRIUM,26893.73,3754.02
151 - EPISTAXIS W/O MCC,21027.73,No Medicare Payment Available
152 - OTITIS MEDIA & URI W MCC,35649.41,6759.15
153 - OTITIS MEDIA & URI W/O MCC,23138.55,4441.12
154 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W MCC,60660.53,No Medicare Payment Available
155 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W CC,16472.14,5321.22
156 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W/O CC/MCC,16726.75,No Medicare Payment Available
157 - DENTAL & ORAL DISEASES W MCC,117489.09,No Medicare Payment Available
158 - DENTAL & ORAL DISEASES W CC,20661.92,No Medicare Payment Available
163 - MAJOR CHEST PROCEDURES W MCC,238412.95,32964.46
164 - MAJOR CHEST PROCEDURES W CC,259645.33,No Medicare Payment Available
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,107131.32,20830.28
175 - PULMONARY EMBOLISM W MCC,57964.09,8441.42
176 - PULMONARY EMBOLISM W/O MCC,38245.63,4866.72
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,47806.44,10939.86
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,31154.42,8212.26
180 - RESPIRATORY NEOPLASMS W MCC,40086.18,10260.47
181 - RESPIRATORY NEOPLASMS W CC,43834.23,7161.8
183 - MAJOR CHEST TRAUMA W MCC,82997.39,9054.74
184 - MAJOR CHEST TRAUMA W CC,19864.92,5298.84
185 - MAJOR CHEST TRAUMA W/O CC/MCC,22538.93,5006.66
186 - PLEURAL EFFUSION W MCC,29632.88,No Medicare Payment Available
187 - PLEURAL EFFUSION W CC,25383.2,6772.12
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,36046.51,7924.27
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,34496.59,7264
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,22745.05,5602.08
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,20405.24,4433.69
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,40016.1,8299.04
194 - SIMPLE PNEUMONIA & PLEURISY W CC,30917.75,5770.93
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,19154.72,4631.93
196 - INTERSTITIAL LUNG DISEASE W MCC,36595.69,9746.1
197 - INTERSTITIAL LUNG DISEASE W CC,22838.87,6667.59
198 - INTERSTITIAL LUNG DISEASE W/O CC/MCC,59847.97,3834.51
199 - PNEUMOTHORAX W MCC,69520.63,11278.06
201 - PNEUMOTHORAX W/O CC/MCC,32851.76,5010.14
202 - BRONCHITIS & ASTHMA W CC/MCC,23420.16,5369.81
203 - BRONCHITIS & ASTHMA W/O CC/MCC,16373.73,4433.38
204 - RESPIRATORY SIGNS & SYMPTOMS,27498.3,5024.56
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,30342.81,7052.42
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,33301.54,5535.23
