DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,445639.26,103643.55
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,390661.63,75870.43
011 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W MCC,355832.5,No Medicare Payment Available
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,241019.69,32310.38
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,180555.75,No Medicare Payment Available
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,158240.05,25141.87
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,113414.83,17622.45
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,74328.61,13902.84
028 - SPINAL PROCEDURES W MCC,122160.08,25281.58
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,105626.46,19247.45
030 - SPINAL PROCEDURES W/O CC/MCC,99001.58,No Medicare Payment Available
032 - VENTRICULAR SHUNT PROCEDURES W CC,96827.13,12127.75
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,93509.25,10009.69
034 - CAROTID ARTERY STENT PROCEDURE W MCC,62868.25,No Medicare Payment Available
037 - EXTRACRANIAL PROCEDURES W MCC,164200.53,18644.69
038 - EXTRACRANIAL PROCEDURES W CC,106611.88,9872.44
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,68414.7,6563.19
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,149881.5,23358.53
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,93290.77,13691.05
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,78306,11216.99
054 - NERVOUS SYSTEM NEOPLASMS W MCC,62436.6,8255.6
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,66724.88,5899.07
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,45165.15,10489.11
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,34668.48,6184.45
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,39373.04,6035.01
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,32675,4963.36
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,113440.75,16231.5
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,78739.58,11364.38
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,79871.88,9519.52
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,59313.98,9489.65
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,40413.48,5598.66
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,32369.79,4274.23
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,63254.86,5290.39
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,33574.79,4441.72
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,47721.18,6572.3
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,56749.1,6215.37
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,32979.05,4490.12
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,85120.63,8252.68
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,32385.62,4863.22
075 - VIRAL MENINGITIS W CC/MCC,74732.25,No Medicare Payment Available
076 - VIRAL MENINGITIS W/O CC/MCC,31486,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,24679.75,9372.97
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,15075.5,5477.9
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,26063.79,No Medicare Payment Available
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,57851.25,No Medicare Payment Available
082 - TRAUMATIC STUPOR & COMA; COMA >1 HR W MCC,38947.92,12218.22
083 - TRAUMATIC STUPOR & COMA; COMA >1 HR W CC,59934.94,7305.84
084 - TRAUMATIC STUPOR & COMA; COMA >1 HR W/O CC/MCC,44580.6,5315.05
085 - TRAUMATIC STUPOR & COMA; COMA <1 HR W MCC,59244.24,11128.44
086 - TRAUMATIC STUPOR & COMA; COMA <1 HR W CC,46439.68,6717.07
087 - TRAUMATIC STUPOR & COMA; COMA <1 HR W/O CC/MCC,31098.27,4870.46
088 - CONCUSSION W MCC,52455.14,No Medicare Payment Available
089 - CONCUSSION W CC,52019.54,5271.35
090 - CONCUSSION W/O CC/MCC,34681.21,4624.54
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,42242.88,8142.86
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,41057.53,4383.35
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,24802.3,4298.88
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,75372.88,20039.11
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,68333.5,No Medicare Payment Available
096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,164136.25,No Medicare Payment Available
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,53771.42,11034.55
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,57877.01,No Medicare Payment Available
100 - SEIZURES W MCC,46403.88,8719.45
101 - SEIZURES W/O MCC,23826.58,5151.28
102 - HEADACHES W MCC,36345.5,No Medicare Payment Available
103 - HEADACHES W/O MCC,26496.6,4280.04
121 - ACUTE MAJOR EYE INFECTIONS W CC/MCC,54935.75,No Medicare Payment Available
123 - NEUROLOGICAL EYE DISORDERS,31427.38,4424.59
125 - OTHER DISORDERS OF THE EYE W/O MCC,22738.21,4341.5
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,116249.75,No Medicare Payment Available
133 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W CC/MCC,86490.88,11761.23
134 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC,27243.5,No Medicare Payment Available
135 - SINUS & MASTOID PROCEDURES W CC/MCC,98110.25,13368
138 - MOUTH PROCEDURES W/O CC/MCC,12048.25,No Medicare Payment Available
146 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W MCC,55887.5,No Medicare Payment Available
149 - DYSEQUILIBRIUM,24563.57,4018.98
151 - EPISTAXIS W/O MCC,41792.38,No Medicare Payment Available
152 - OTITIS MEDIA & URI W MCC,53970.76,6198.05
153 - OTITIS MEDIA & URI W/O MCC,18020.47,3541.21
155 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W CC,32830.39,5317.21
156 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W/O CC/MCC,39791.01,3937.34
157 - DENTAL & ORAL DISEASES W MCC,114051.25,9195.58
158 - DENTAL & ORAL DISEASES W CC,34899.25,No Medicare Payment Available
159 - DENTAL & ORAL DISEASES W/O CC/MCC,18417.19,4045.62
163 - MAJOR CHEST PROCEDURES W MCC,153333.75,29047.22
164 - MAJOR CHEST PROCEDURES W CC,118493.23,15144.73
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,96877.19,10865.89
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,130666.29,20457.57
167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,75802.02,10705.42
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,59129.33,7747.08
175 - PULMONARY EMBOLISM W MCC,46539.45,6949.88
176 - PULMONARY EMBOLISM W/O MCC,29702.55,4994.86
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,57410.15,10363.21
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,42195,6616.18
179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,30030.17,5470.24
180 - RESPIRATORY NEOPLASMS W MCC,60541.63,9754.67
181 - RESPIRATORY NEOPLASMS W CC,49709.3,6795.79
182 - RESPIRATORY NEOPLASMS W/O CC/MCC,22158.75,No Medicare Payment Available
183 - MAJOR CHEST TRAUMA W MCC,55069.71,8766.11
184 - MAJOR CHEST TRAUMA W CC,33625.81,5721.78
185 - MAJOR CHEST TRAUMA W/O CC/MCC,21154.55,4478.83
186 - PLEURAL EFFUSION W MCC,57149.67,8951.28
187 - PLEURAL EFFUSION W CC,49417.06,6225.74
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,35196.41,6690.82
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,32236.65,6518.82
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,27820.48,5071.71
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,19691.46,4220.65
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,34830.65,7456.68
