DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,1275176,164514.69
028 - SPINAL PROCEDURES W MCC,172625.08,No Medicare Payment Available
038 - EXTRACRANIAL PROCEDURES W CC,278556,11193.02
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,124320.03,4407.64
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,202114.38,10880.63
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,34638.9,5418.7
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,22484,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,77692.12,10000.52
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,55638.78,5633.1
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,51037.74,4249.48
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,34811.86,4469.93
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,93903.03,8106.11
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,53978.01,5783.33
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,53951.03,4533.21
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,39633.03,6755.67
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,32687.67,3736.54
076 - VIRAL MENINGITIS W/O CC/MCC,51005.87,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,68400,No Medicare Payment Available
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,58593.77,5830.12
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,72688.46,7871.69
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,63844.96,5417.06
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,46907.26,3926.6
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,59504.87,No Medicare Payment Available
100 - SEIZURES W MCC,164200.89,9601.48
101 - SEIZURES W/O MCC,35601.22,4273.91
102 - HEADACHES W MCC,36840,6119.17
103 - HEADACHES W/O MCC,25883.2,4461.57
121 - ACUTE MAJOR EYE INFECTIONS W CC/MCC,26155,No Medicare Payment Available
125 - OTHER DISORDERS OF THE EYE W/O MCC,48145,No Medicare Payment Available
133 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W CC/MCC,44333,No Medicare Payment Available
134 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC,55325,No Medicare Payment Available
146 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W MCC,44267.27,10475.39
149 - DYSEQUILIBRIUM,32472.02,3959.31
153 - OTITIS MEDIA & URI W/O MCC,37928.3,4285.13
155 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W CC,43990.03,5288.45
157 - DENTAL & ORAL DISEASES W MCC,38022.05,No Medicare Payment Available
158 - DENTAL & ORAL DISEASES W CC,58159.91,5238.95
164 - MAJOR CHEST PROCEDURES W CC,80592.03,14440.12
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,138137.69,19893.34
167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,87598.43,10681.32
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,57299.5,No Medicare Payment Available
175 - PULMONARY EMBOLISM W MCC,62773.01,6741.52
176 - PULMONARY EMBOLISM W/O MCC,48777.35,5210.39
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,148231.74,12421.73
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,99459.7,6513.59
179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,32646,5537.54
180 - RESPIRATORY NEOPLASMS W MCC,122229.53,8770.04
181 - RESPIRATORY NEOPLASMS W CC,65498.01,6408.14
182 - RESPIRATORY NEOPLASMS W/O CC/MCC,38144.02,5011.94
183 - MAJOR CHEST TRAUMA W MCC,89066,No Medicare Payment Available
184 - MAJOR CHEST TRAUMA W CC,49241.85,5385.94
186 - PLEURAL EFFUSION W MCC,63179.86,7801.78
187 - PLEURAL EFFUSION W CC,54894.69,5048.1
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,62838.91,7165.61
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,51737.41,6404.66
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,46810.74,4900.57
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,40023.24,3985.43
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,81318.6,7458.58
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50370.7,5277.51
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,32855.39,3759.26
196 - INTERSTITIAL LUNG DISEASE W MCC,60286.61,8790.61
197 - INTERSTITIAL LUNG DISEASE W CC,28168,No Medicare Payment Available
199 - PNEUMOTHORAX W MCC,69603.5,No Medicare Payment Available
200 - PNEUMOTHORAX W CC,40308.33,4888.68
201 - PNEUMOTHORAX W/O CC/MCC,37440.6,3728.66
202 - BRONCHITIS & ASTHMA W CC/MCC,37195.2,5091.79
203 - BRONCHITIS & ASTHMA W/O CC/MCC,26885.95,4066.21
204 - RESPIRATORY SIGNS & SYMPTOMS,33431.01,4567.85
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,35213.03,No Medicare Payment Available
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,44598,No Medicare Payment Available
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,346843.56,32465.97
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,180591.99,12226.07
239 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,112676.95,21343.81
240 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,130340,No Medicare Payment Available
252 - OTHER VASCULAR PROCEDURES W MCC,93477,No Medicare Payment Available
255 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,122873.02,11134.89
256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,102226,No Medicare Payment Available
264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,137005.86,17888.51
280 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W MCC,106181.95,8955.44
281 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W CC,41800.6,5414.54
282 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W/O CC/MCC,35013.1,4522.12
286 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W MCC,133764.02,12581.39
287 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W/O MCC,131774,No Medicare Payment Available
291 - HEART FAILURE & SHOCK W MCC,68633.9,8450.12
292 - HEART FAILURE & SHOCK W CC,48388.06,5333
293 - HEART FAILURE & SHOCK W/O CC/MCC,36740.75,3825.9
296 - CARDIAC ARREST; UNEXPLAINED W MCC,223820.93,No Medicare Payment Available
299 - PERIPHERAL VASCULAR DISORDERS W MCC,34695.6,8136.5
300 - PERIPHERAL VASCULAR DISORDERS W CC,65412.33,5942.81
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,38490.75,No Medicare Payment Available
303 - ATHEROSCLEROSIS W/O MCC,37364,4004.26
304 - HYPERTENSION W MCC,62546.41,6108.3
305 - HYPERTENSION W/O MCC,41941.06,3753.29
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,70197.78,6374.55
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,44614.38,4429.18
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,34811.17,3412.67
311 - ANGINA PECTORIS,24308,4079.94
312 - SYNCOPE & COLLAPSE,40494.73,4553.92
313 - CHEST PAIN,37579.92,4083.9
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,112090,10688.91
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,45475.29,5325.97
316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,31795.5,4434.37
