Procedure ID,Description,Amount
297,ABCIXIMAB 10 MG INJ     ,3674.00
346,ACETAMIN/BUTALBITL/CAFFE,15.00
376,ACETAMIN/COD 15ML LIQ   ,19.00
382,ACETAMIN/CODEINE #3 TAB ,0.32
383,ACETAMIN/CODEINE #4 TAB ,19.00
384,ACETAMIN/CODEINE LIQ    ,23.00
385,ACETAMINOPHEN 120MG SUPP,25.00
494,ACETAZOLAMIDE 250MG TAB ,15.00
626,ACETAZOLAMIDE 500MG SA C,58.00
637,ACETAZOLAMIDE 500 MG INJ,330.00
654,ACETIC ACID 2% 15ML OT  ,381.00
684,ACETIC ACID/AL AC 60MLOT,196.00
724,ACETYLCYSTEI 20% 30ML VL,106.00
829,ACTIVATED CHAR/SORB 25GM,56.00
830,ACTIVATED CHAR/SORB 50GM,194.00
831,ACTIVATED CHARCOAL 25GM ,45.00
845,ACYCLOVIR 200MG CAP     ,39.00
871,ACYCLOVIR 200MG/5ML LIQ ,8.00
997,SUTURE 1722G MERSILENE  ,143.00
998,SUTURE J670G VICRYL     ,156.00
1007,SUTURE 1836G ETHILON    ,66.00
1008,SUTURE 1716G ETHILON    ,167.00
1025,SUTURE ENDO STITCH      ,301.00
1124,ACYCLOVIR 800MG TAB     ,47.00
1151,ALBUTEROL 0.5% 20ML INH ,20.88
1153,ALBUTEROL 200MCG CAP    ,47.00
1158,ALBUTEROL 4MG SA TAB    ,19.00
1159,ALBUTEROL 2MG/5ML LIQ   ,15.00
1192,ALDESLEUKIN SINGLE VIAL ,3545.00
1206,ALFENTANIL 1000MCG AMP  ,247.00
1215,ALFENTANIL 2500MCG AMP  ,204.00
1219,ALLOPURINOL 100MG TAB   ,15.00
1235,ALLOPURINOL 300MG TAB   ,15.00
1241,ALPRAZOLAM 0.25MG TAB   ,22.00
1242,ALPRAZOLAM 0.5MG TAB    ,23.00
1247,ALPROSTADIL 500MCG AMP  ,379.00
1248,ALPRAZOLAM 1MG TAB      ,25.00
1261,ALUMINUM ACETATE PKT    ,52.00
1266,ALUMINUM HYDR 320MG LIQ ,15.00
1276,AMANTADINE 100MG CAP    ,15.00
1277,AMANTADINE 50MG/5ML LIQ ,19.00
1291,AMINO ACIDS 1000ML      ,301.00
1404,AMINOCAPR AC 5GM/20ML VL,92.00
1411,AMIODARONE 200MG TAB    ,44.00
1414,AMITRIP/CHLORDIAZ 12.5/5,10.00
1415,AMITRIP/PERPHENAZ 10/2  ,15.00
1418,AMITRIP/PERPHENAZ 25/2  ,15.00
1426,AMITRIPTYLINE 100MG VL  ,211.00
1429,AMITRIPTYLINE 10MG TAB  ,15.00
1430,AMITRIPTYLINE 25MG TAB  ,15.00
1431,AMITRIPTYLINE 50MG TAB  ,15.00
1446,AMLODIPINE 5MG TAB      ,9.00
1460,AMMONIA 0.33ML INH AMP  ,47.00
1488,AMOX/CLAV 1000MG XR TAB ,33.00
1497,AMOX/CLAV 250MG/5ML     ,62.00
1499,AMOX/CLAV 500MG TAB     ,72.00
1502,AMOX/CLAV 400MG/5ML     ,64.00
1503,AMOX/CLAV 875MG TAB     ,91.00
1518,ALP 1 PRO INHIB HUM 10MG,10.00
1522,AMOXAPINE 50MG TAB      ,19.00
1523,AMOXIC 50MG/ML 15ML GTTS,13.00
1534,AMOXICILLIN 250MG CAP   ,15.00
1537,AMOXICILLIN 250MG/5ML   ,15.00
1542,AMOXICILLIN 400MG/5ML   ,26.00
1543,AMOXICILLIN 500MG CAP   ,15.00
1552,AMPHOT B LIPID 10 MG INJ,628.80
1589,AMPICILN/SULBACTM 1.5 G ,81.00
1641,AMPICILLIN 250MG CAP    ,15.00
1643,AMPICILLIN 250 MG/ML INJ,96.00
1645,AMPICILLIN 500MG CAP    ,15.00
1655,AMYL NITRITE 0.3ML INAMP,45.00
1662,AMYLA/LIP/PROT EC CAP   ,14.00
1664,AMYLA/LIP/PROT MT 10 CAP,24.00
1673,ANAGRELIDE 0.5MG CAP    ,72.00
1675,ANASTROZOLE 1 MG PO     ,138.00
1679,ANTIPYRINE/BENZ 15ML OT ,72.00
1682,SODIUM CHL 0.9% 25ML    ,113.00
1684,ANTIVENI LACTR MAC 2.5ML,116.00
1695,ARIPIPRAZOLE 10MG TAB   ,168.00
1702,ASCORBIC ACID 500MG TAB ,15.00
1712,ASPIRIN/BUTALB/CAFF #3  ,33.00
1725,ATENOLOL 25MG TAB       ,15.00
1728,ATENOLOL 50MG TAB       ,19.00
1729,ATENOLOL 5MG/10ML AMP   ,92.00
1745,ATORVASTATIN 20MG TAB   ,2.00
1746,ATORVASTATIN 10MG TAB   ,2.00
1749,ATOVAQUONE 750MG/5ML LIQ,141.00
1753,HY/MB/METH/PSAL/BENZ    ,13.00
1762,BENZOC/POVI IO/PHEN 15ML,63.00
1764,ATROPINE 1% 1ML OP      ,60.00
1766,ATROPINE 1% 5ML OP      ,72.00
1778,AZATHIOPRINE 50 MG PO   ,101.00
1781,AZELASTINE 30ML NAS SPR ,2497.00
1785,AZITHROMYCIN 200MG/5ML  ,138.00
1786,AZITHROMYCIN 250MG      ,84.00
1787,AZITHROMYCIN 500 MG INJ ,182.00
1788,AZTREONAM 1GM VL        ,164.00
