DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,1162460.12,121422.17
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,816828.55,68339.69
012 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W CC,131830.64,No Medicare Payment Available
021 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,425922.34,42463.03
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,372687.43,19464.75
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,181124.92,No Medicare Payment Available
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,376138.64,26272.24
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,264293.2,17131.7
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,212349.93,13612.08
028 - SPINAL PROCEDURES W MCC,283685.91,30098.39
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,232811.7,27817.49
030 - SPINAL PROCEDURES W/O CC/MCC,100452.64,12321.25
031 - VENTRICULAR SHUNT PROCEDURES W MCC,289225.12,No Medicare Payment Available
032 - VENTRICULAR SHUNT PROCEDURES W CC,221448.6,No Medicare Payment Available
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,171008.64,9900.08
035 - CAROTID ARTERY STENT PROCEDURE W CC,164946.39,12850.14
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,135188,10256.87
037 - EXTRACRANIAL PROCEDURES W MCC,225735.34,18076.58
038 - EXTRACRANIAL PROCEDURES W CC,157312.59,9177.94
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,112695.57,6630.78
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,191490.08,26160.78
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,237205.95,16898.64
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,236501.91,10887.5
052 - SPINAL DISORDERS & INJURIES W CC/MCC,91042.73,8827.84
054 - NERVOUS SYSTEM NEOPLASMS W MCC,52350.2,7285.76
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,52866.7,5739.88
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,197598.55,22248.84
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,88310.86,19403.53
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,72102.67,9531.85
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,58371.22,6373.3
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,47496,8287.1
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,112795.95,16028.48
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,99671.8,11087.57
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,91052.22,9437.74
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,86010.7,9814.39
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,59793.55,5963.97
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,43488.47,4228.58
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,43666.8,5415.64
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,36947,4124.76
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,111229.23,12779.27
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,62184.2,11177.26
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,42390.72,5948.04
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,116830.4,11652.14
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,77202.27,12606.72
075 - VIRAL MENINGITIS W CC/MCC,74451,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,39437,9185.64
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,41655,4600.99
080 - NONTRAUMATIC STUPOR & COMA W MCC,135251,10105.27
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,86465.42,No Medicare Payment Available
082 - TRAUMATIC STUPOR & COMA; COMA >1 HR W MCC,168889.83,12980.45
083 - TRAUMATIC STUPOR & COMA; COMA >1 HR W CC,60922.5,7052.62
084 - TRAUMATIC STUPOR & COMA; COMA >1 HR W/O CC/MCC,55862.56,5428.03
085 - TRAUMATIC STUPOR & COMA; COMA <1 HR W MCC,91197.63,11823.06
