DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,220364,No Medicare Payment Available
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,237458.38,No Medicare Payment Available
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,47027.25,17458.34
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,78384.5,No Medicare Payment Available
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,8858.5,No Medicare Payment Available
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,35652.5,3792.14
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,96605.44,19217.06
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,75214.45,10852.69
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,77943,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,46123.55,9651.38
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,33128.94,4691.27
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,26351.02,2210.39
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,23938.16,No Medicare Payment Available
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,34233.52,No Medicare Payment Available
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,17188,5044.28
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,28335.25,No Medicare Payment Available
076 - VIRAL MENINGITIS W/O CC/MCC,24387,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,51919.25,8926.14
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,23262.75,3790.66
096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,27537.25,No Medicare Payment Available
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,28966.25,No Medicare Payment Available
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,28763.75,No Medicare Payment Available
