DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
011 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W MCC,76803,31549.51
012 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W CC,65664.5,No Medicare Payment Available
013 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W/O CC/MCC,120420.91,15516.3
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,71689,No Medicare Payment Available
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,55956,23136.37
054 - NERVOUS SYSTEM NEOPLASMS W MCC,21974.5,8618.86
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,20092.51,6621.18
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,42569.91,11511.63
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,37762.02,7022.08
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,35579.03,No Medicare Payment Available
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,33097.64,6490.52
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,37183.35,5601.67
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,45392,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,47639.45,10667.02
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,38874.32,6603.9
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,30927.58,4990.9
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,34046.34,5683.99
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,31799.23,4951.37
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,28795.03,9169.16
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,21412,6557.94
