Charge name,Charge procedure master #,Revenue ID,Associated Cost Centers & NAME,HOSPITAL BILLING DEFAULT TECH FEE SCHEDULE,Fee Schedule Year
HC PRIVATE ROOM MED/SURG/GYN,H1110001,111,"20 GI/ENDO/GEN MED
20 MED TELEMETRY STEP- DOWN
20 NEURO SURGICAL
20 ORTHOPAEDICS
20 4 SURGICAL
20 SURG TELEMETRY STEP-DOWN
20 CLINICAL DECISION UNIT ER
20 CRITICAL CARE 2
20 CRITICAL CARE STEP DOWN
20 CRITICAL CARE 3
20 PULMONARY CARE
20 CARDIAC/VASCULAR HOLDING
25 MEDICAL/SURGICAL
25 INTENSIVE CARE
30 MEDICAL/SURGICAL
30 INTENSIVE CARE
55 MEDICAL/SURGICAL
80 MEDICAL/SURGICAL
45 MEDICAL/SURGICAL
20 CLINICAL OBSERVATION UNIT
20 CRITICAL CARE  4
20 CRITICAL CARE 1
20 EMERGENCY ROOM NURSING
20 MEDICAL OVERFLOW UNIT
30 SMH CRITICAL CARE STEPDOWN
30 EMERGENCY ROOM NURSING
20 WMC SHORT STAY UNIT","$1,181.00",2018
HC PRIVATE ROOM OBSTETRICS,H1120001,112,"20 MOTHER/BABY NURSING
20 LABOR & DELIVERY
25 OBSTETRICS
25 LABOR & DELIVERY
20 OBED
","$1,181.00",2018
HC PRIVATE ROOM PEDIATRIC,H1130001,113,"20 PEDIATRICS
","$1,181.00",2018
HC PRIVATE ROOM ONCOLOGY,H1170001,117,20 MEDICAL ONCOLOGY,"$1,181.00",2018
HC PRIVATE ROOM REHABILITATION,H1180001,118,"20 REHABILITATION UNIT
55 NURSING FACILITY
","$1,181.00",2018
HC ROOM & BOARD SEMIPRIVATE GENERAL SWING BED,H1200001,120,"30 MEDICAL/SURGICAL
45 SWING BED - SNF
55 SWING BED - SNF
80 SWING BED - SNF",$470.00,2018
HC STANDARD ROOM MED/SURG/GYN,H1210001,121,"20 MED TELEMETRY STEP- DOWN
20 EMERGENCY ROOM NURSING
25 MEDICAL/SURGICAL
25 EMERGENCY ROOM
30 MEDICAL/SURGICAL
30 EMERGENCY ROOM NURSING
45 EMERGENCY ROOM
55 MEDICAL/SURGICAL
55 EMERGENCY ROOM NURSING
80 MEDICAL/SURGICAL
80 EMERGENCY ROOM NURSING
45 MEDICAL/SURGICAL
20 POST ANESTHESIA CARE
20 AM ADMITTING




","$1,130.00",2018
HC STANDARD ROOM PSYCHIATRIC,H1240001,124,"20 PSYCHIATRIC
GEROPSYCH


","$1,463.00",2018
HC STANDARD ROOM REH,H1280001,128,"


20 REHABILITATION UNIT
55 NURSING FACILITY

","$1,130.00",2018
HC NEWBORN SERVICES,H1710001,171,"20 MOTHER/BABY NURSING
25 NEWBORN NURSERY



","$1,181.00",2018
HC NURSERY LEVEL II,H1720001,172,"20 MOTHER/BABY NURSING
20 NEONATAL INTENSIVE CARE
","$1,463.00",2018
HC NURSERY LEVEL III,H1730001,173,20 NEONATAL INTENSIVE CARE,"$2,109.00",2018
HC NURSERY LEVEL IV,H1740001,174,20 NEONATAL INTENSIVE CARE,"$2,437.00",2018
HC ICU,H2000001,200,"20 SURG TELEMETRY STEP-DOWN
20 CRITICAL CARE  4
20 CRITICAL CARE 2
20 CRITICAL CARE 1
20 CRITICAL CARE STEP DOWN
20 CRITICAL CARE 3
25 INTENSIVE CARE
30 INTENSIVE CARE




","$2,437.00",2018
