"Description","Price"
" 3D Rendering w Post Proc W WKST Charge",2125
" 3D Rendering W Post Proc wo WKST CHARGE",1821
" anticoagulation management",26
" Application of On Body Injector",170
" Biopsy of Cervix Single/Multiple Provider Charge",3560
" Biopsy of Penis",5274
" Bladder Instillation of Anti-cancer Agent",910
" Bladder irrigation, simple, lavage and/or instillation",868
" Broncho Eval wo Spirometry Cardiac Rehab CHARGE",268
" Bronchoscopy, rigid or flexible, including fluoroscopic guidance diagnostic with cell washing",1886
" Cardiac Rehab wo ECG Monitoring CHARGE",121
" Cardiac Stress Test Charge",619
" Cardioversion Charge",2057
" Cardioversion through Defib CHARGE",1714
" Change Cystostomy Tube;Simple",942
" Circumcise-Surgical Excision-Nonneonate",6925
" Circumcision using clamp or other device with regional dorsal penile or ring block",701
" Colposcopy of the cervix including upper/adjacent vagina",279
" Corpora Cavernosa Injection",938
" Corpora Cavernosa Irrigation-Priapism",2072
" Cryosurgery, Penis Lesion(S)",364
" Cysto w/ureteroscpy &/or pyeloscpy; w/biopsy/fulguration of ureteral/renal pelvic lesion",5728
" Cystoscopy And Treatment (with direct vision)",2560
" Cystostomy, Cystotomy w/Drainage",5733
" Cystourethroscopy  w/Foreign Body Removal-Complicated",2560
" Cystourethroscopy w/ irrigation & evacuation of mul obstructing clots",2366
" Cystourethroscopy w/Bladder Dilation for IC-General/Spinal Anesthesia",2560
" Cystourethroscopy w/fulguration &/or resect of Sm Bladder Tumor (0.5-2.0 cm)",3522
" Cystourethroscopy w/fulguration or treatment of Minor Lesion (<0.5cm)",2366
" Cystourethroscopy w/ureteroscpy &/or pyeloscpy; w/Stone Removal",4508
" Cystourethroscopy w/ureteroscpy w/ureteral stricture treatment",4092
" Debride Skn Subq mscl/fascia necrotizing inf, ext genital & perineum ",2258
" Debridement Of Skin, Subcutaneous Tissue, And Muscle",1489
" Destruct Penis Lesion(s)-Simple-Excision",6360
" Diagnostic laparoscopy, abdomen, peritoneum, omentum",10115
" Dilation of female urethra incl suppository &/or instillation; initial",868
" Dilation of female urethra incl suppository &/or instillation; subsequent",868
" Dilation urethral stricture passage of filiform & follower,male; Subseq",868
" Doppler Echo Fetal Cont Wave CHARGE",673
" Drain Skin Abscess,Simple/Sngl",798
" Drain/Inj Major Joint Bursa w/o US",1001
" Duplex Neck Artery Unilateral CHARGE",1080
" Echo Congenital 2D Complete Charge",1984
" Echo Congenital 2D Complete w Contrast Charge",2644
" Echo Congenital 2D Follow Up Charge",1421
" Echo Doppler Color Flow",900
" Echo Doppler Limited Charge",691
" Echo Fetal Real Time with Image CHARGE",1258
" Echo Follow Up Limited Charge",1949
" Echo Follow up or limited study with Cont Charge",1587
" Echo Routine w/o Color Charge",1949
" Echo Routine WO Color Dop with Contrast Charge",1587
" Echo Trans Congenital Heart with Contrast CHARGE",2789
" Echo Transesophageal  w Contrast CHARGE",2789
" Echo Transesophageal Charge",2789
" Echo Transesophageal Congenital Heart Charge",2789
" Echo w/ Color and Doppler w/ contrast charge",2646
" Echocardiography Doppler (No 2D) Charge",531
" EEG All Night Record (Sleep Study) CHARGE",1710
" Endoscopic Inject-Implant Material in Urethra/Bladder Neck",4926
" Event Recording Hookup Charge",562
" Excision of Hydrocele Bilateral",8941
" Excision of Hydrocele Unilateral",8941
" Excision of Sperm cord lesion",9735
" Fine Needle Aspiration with imaging guidance",970
" Fixation of Contralateral Testis",5543
" Frenulotomy Of Penis",4713
" Holter Monitor Hookup Charge",531
" HST Type II Unattended Min 3 Chan CHARGE",368
" HST Type II Unattended min 7 Chan CHARGE",368
" HST Type III Unattended Min 4 CHARGE",368
" I&D of Epididymis, Testis, &/or Scrotum",7279
" ICD Reprogramming Dual Chamber",199
" Immunization Admin. Single",72
" Implant Neuroelectordes",17211
" Incision of Urethra",4632
" INF Concurrent Infusion",246
" INF Refill/Maint Port Pump",856
" Inferior or Superior Vena Cava (IVC/SVC) Cath Placement",857
" Inguinal Radical Orchiectomy for Tumor",8941
" Initiation of Prolonged non-chemo infusion > 8 hours requiring use of portable or implanted pu",2792
" Injection for Extremity Venography",292
" Injection for Peyronie Disease",1550
" Injection procedure for cystography or voiding urethrocystography",4
" Insertion of Event Recorder CHARGE",15619
" Insrt/Repl Periph Neurostm Gen",49689
" Interrogation Dual Pacemaker Charge",320
" Interstitial Device Place in Prostate for radiation therapy guidance",7713
" Intrathecal Chemotherapy Administration",516
" Intro needle/Intracath; Extremity Artery",605
" Lap hernia repair,vent/umbilic/spigelian/epigastric reducible",8862
