"Mnemonic","Description","Price"
"10060WH","INCISION & DRAIN ABSCESS SI",289
"10180WH","Complex drainage wound",2330
"11042WH","DEBRIDEMENT SKIN SUBCUE TIS",540
"11043WH","DEBRIDEMENT SKIN SUBQ TIS M",802
"11044WH","DEBRIDMNT SKIN SUBQ TX MUSC",1853
"11045WH","DEBRIDMNT SKN SUBQ EA ADD 2",511
"11104WH","PUNCH BIOPSY OF SKIN SING L",178
"11105WH","PUNCH BIOPSY SKIN ADDL LESI",179
"15271WH","APL SKN SBS TRK ARM LG 1ST",562
"15272WH","APL SKN SBS TRK ARM LG EA A",150
"29445WH","APPLY RIGID LEG CAST",315
"29581WH","VENOUS WOUND COMPRESS BLKNE",190
"97597WH","SLCTVE DEBRIDEMENT <= 20 SQ",172
"97598WH","SLCTVE DEBRIDEMENT > 20 SQ",246
"97605WH","NEG PRSS WND THRPY < 50 SQ",162
"97606WH","NEG PRSS WND THRPY > 50 SQ",205
"99201WH","OFFICE/OP VISIT NEW BRIEF",103
"99204WH","OFFICE/OP VISIT NEW EXTEND",304
"99211WH","OFFICE/OP VISIT EST BRIEF",123
"99212WH","OFFICE/OP VISIT EST LIMITED",147
"99213WH","OFFICE/OP VISIT EST INTERM",171
"99214WH","OFFICE/OP VISIT EST EXTEND",195
"99215WH","OFFICE/OP VISIT EST COMPLEX",238
"C1300WH","HYPERBARC OXYGN THRPY PER 3",202
"G0463WH","OUTPATIENT CLINIC VISIT",158
"Q4101WH","APLIGRAF PER CM",69
"Q4196WH","PURAPLY AM PER SQ CM",121
"83036D","C-GLYCO HEMOGLOBIN A1c",67
"10021FAC","FINE NEEDLE ASPIRATION NO G",248
"10060FAC","DRAINAGE OF SKIN ABSCESS",289
"10080FAC","DRAINAGE OF PILONIDAL CYST",302
"10120FAC","REMOVAL FB SIMPLE",298
"10160FAC","PUNCTURE DRAINAGE OF LESION",814
"11200FAC","REMOVAL OF SKIN TAGS",271
"11730FAC","AVULSION NAIL",138
"11740FAC","DRAIN BLOOD FROM UNDER NAIL",134
"11750FAC","REMOVAL OF NAIL BED",570
"12001FAC","REPAIR LAC 2.5CM OR LESS",362
"12002FAC","REPAIR LAC 2.6-7.5CM OR LES",362
"12004FAC","REPAIR LAC 7.6-12.5CM OR LE",362
"12006FAC","Repair lac 20.1-30cm",362
"12011FAC","FACIAL LAC 2.5CM LESS",362
"12013FAC","FACIAL LAC 2.6-5.0CM",362
"12032FAC","LAYER CLOS SC/AX/TR 2.6-7.5",362
"17110FAC","DESTRUCT BENIGN LESION 1-14",153
"20526FAC","THER INJECTION CARP TUNNEL",329
