Medication,Package Size,Package Unit,UOM charge 
1/2 NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV,1000,mL,20.94
ABACAVIR 300 MG TAB,1,Each,37.74
ABACAVIR 300 MG TAB,60,Each,40.689
ABACAVIR 600 MG-DOLUTEGRAVIR 50 MG-LAMIVUDINE 300 MG TABLET,30,Each,173.923
ABATACEPT 250 MG IV SOLUTION,1,Each,1946.025
ABCIXIMAB 10 MG/5 ML IV SOLN,5,mL,2302.68
"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",180,Each,4.798
ACARBOSE 50 MG TAB,100,Each,1.809
ACARBOSE 50 MG TAB,100,Each,2.452
ACEBUTOLOL 200 MG CAP,100,Each,1.053
ACEBUTOLOL 200 MG CAP,1,Each,2.907
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,10.15,mL,5.234
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,5,mL,7.08
ACETAMINOPHEN (TYLENOL) SOLUTION 32MG/ML,10.15,mL,7.94
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",100,mL,139.949
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,1,Each,1.346
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,12,Each,2.128
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,12,Each,2.128
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,1,Each,3.059
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,12,Each,2.29
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,12,Each,2.29
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,50,Each,2.115
ACETAMINOPHEN 325 MG TABLET,100,Each,0.201
ACETAMINOPHEN 325 MG TABLET,100,Each,0.201
ACETAMINOPHEN 325 MG TABLET,1000,Each,0.022
ACETAMINOPHEN 325 MG TABLET,750,Each,0.118
ACETAMINOPHEN 500 MG TAB,100,Each,0.044
ACETAMINOPHEN 500 MG TAB,100,Each,0.122
ACETAMINOPHEN 500 MG TAB,100,Each,0.122
ACETAMINOPHEN 500 MG TAB,100,Each,0.127
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,1,Each,1.22
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,12,Each,2.469
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,100,Each,1.219
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,50,Each,2.469
ACETAMINOPHEN 80 MG CHEWABLE TAB,30,Each,0.162
ACETAMINOPHEN SR 650 MG TAB,1,Each,2.723
ACETAMINOPHEN SR 650 MG TAB,100,Each,0.271
ACETAMINOPHEN SR 650 MG TAB,200,Each,0.223
ACETAMINOPHEN SR 650 MG TAB,200,Each,0.223
ACETAMINOPHEN-CAFFEINE 500 MG-65 MG TABLET,100,Each,0.406
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ELIXIR,5,mL,3.372
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ELIXIR,5,mL,3.386
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ELIXIR,12.5,mL,3.993
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML ELIXIR,12.5,mL,3.993
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB,1,Each,0.355
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB,100,Each,0.369
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB,100,Each,0.723
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB,100,Each,0.723
ACETAMINOPHEN-ISOMETHEPTENE-DICHLORAL 325 MG-65 MG-100 MG CAP,100,Each,7.802
ACETAMINOPHEN-ISOMETHEPTENE-DICHLORAL 325 MG-65 MG-100 MG CAP,100,Each,10.475
ACETAZOLAMIDE 250 MG TAB,100,Each,15.251
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,1,Each,77.19
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,1,Each,77.19
ACETAZOLAMIDE SR 500 MG CAP,30,Each,17.113
ACETAZOLAMIDE SR 500 MG CAP,30,Each,17.113
ACETIC ACID (BULK) 5 % LIQUID,500,mL,72.105
ACETIC ACID 0.25 % IRRIGATION SOLN,1000,mL,26.22
ACETIC ACID 2 % EAR SOLN,15,mL,122.382
ACETIC ACID-ALUMINUM ACETATE 2 % EAR DROPS,60,mL,251.712
ACETYLCHOLINE CHLORIDE (20 MG/2 ML) INTRAOCULAR KIT,1,Each,175.194
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,4,mL,34.838
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,30,mL,43.526
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,4,mL,44.714
ACETYLCYSTEINE 20 % (200 MG/ML) IV SOLN,30,mL,533.949
ACETYLCYSTEINE 20 % (200 MG/ML) IV SOLN,30,mL,587.88
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,4,mL,52.44
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,10,mL,53.096
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,4,mL,55.902
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,30,mL,91.115
ACITRETIN 25 MG CAPSULE,30,Each,59.546
ACLIDINIUM BROMIDE 400 MCG/ACTUATION BREATH ACTIVATED POWDER INHALER,1,Each,317.595
ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSP,120,mL,58.209
ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSP,120,mL,95.966
ACTIVATED CHARCOAL 260 MG CAPSULE,36,Each,0.603
ACTIVATED CHARCOAL- SORBITOL 25 GRAM/120 ML ORAL SUSP,120,mL,95.966
ACYCLOVIR 200 MG CAP,100,Each,0.59
ACYCLOVIR 200 MG CAP,100,Each,1.285
ACYCLOVIR 200 MG CAP,1,Each,1.285
ACYCLOVIR 200 MG CAP,50,Each,3.605
ACYCLOVIR 200 MG CAP,1,Each,3.606
ACYCLOVIR 200 MG/5 ML ORAL SUSP,473,mL,1556.459
ACYCLOVIR 200 MG/5 ML ORAL SUSP,473,mL,1556.459
ACYCLOVIR 5 % OINTMENT,15,g,371.472
ACYCLOVIR 5 % OINTMENT,15,g,475.5
ACYCLOVIR 5 % OINTMENT,15,g,593.406
ACYCLOVIR 800 MG TAB,100,Each,1.324
ACYCLOVIR 800 MG TAB,1,Each,2.95
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,10,mL,12.212
ACYCLOVIR SODIUM 50 MG/ML IV SOLN,20,mL,24.424
ADALIMUMAB 40 MG/0.8 ML SUB-Q KIT,2,Each,4530.988
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,20,mL,246.058
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,20,mL,303.596
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,30,mL,362.526
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,20,mL,369.2
