Px Code,Procedure Description,Unit Price,FEE SCHEDULE GROUP NAME,
77030005823,STNT BILI EFLX MEDT -G,2028.6,,Supplies [3]
77030005825,STNT BILI EFLX MEDT -H,2307.53,,Supplies [3]
77030005858,STNT BILI PERMLU BSC -H,2928.24,,Supplies [3]
77030005869,STNT BILI PRTG MEDT -G,2028.6,,Supplies [3]
77030005887,STNT BILI VPRO MEDT -G,2304.23,,Supplies [3]
77030005914,STNT CAR RX PREC CARD -H,3788.19,,Supplies [3]
77030005921,STNT COLON WLFLX BSC -H,3228.12,,Supplies [3]
77030005923,STNT COLON WLFLX BSC -H1,4247.93,,Supplies [3]
77030005957,STNT COR RX ULT ABBT -G,1272.29,,Supplies [3]
77030005971,STNT DUOD WLFLX BSC -H1,4247.93,,Supplies [3]
77030005978,STNT ENDOVAS SLOM CARD -G,2939.27,,Supplies [3]
77030005981,STNT ESOPH PYFLX BSC -H,3801.42,,Supplies [3]
77030005983,STNT ESOPH UFLX BSC -H,3230.33,,Supplies [3]
77030006042,STNT URET AMPL COOK -C,2654.82,,Supplies [3]
77030006047,STNT URET DBL J OCOA -C,466.36,,Supplies [3]
77030006396,ROD CERV TI SLNS ALSP -D,547.94,,Supplies [3]
77030006488,SPCR SPN PEK ALSP -I2,5063.78,,Supplies [3]
77030006527,SPCR TEND XTR WRGH -H,2222.64,,Supplies [3]
77030006261,LD PCMKR TNDRL STJU -F,1089.27,,Supplies [3]
77030006335,PCMKR DUL RR ZPHR 5826/SYS STJU,5733,,Supplies [3]
77030006336,PCMKR DUL RR ZPHR 5820/SYS STJU,5733,,Supplies [3]
77030006386,PCMKR SGL RR ZPHR 5620/SYS STJU,5016.38,,Supplies [3]
75810000027,PACING TEMP EXTERN,445.33,,PROCEDURES [101]
75810000028,CARDIOVERSION ELECTIVE,1012.37,,PX COMPLETION [109]
75810000038,EMERGENCY DEPT VISIT LVL 1,280.24,,PROCEDURES [101]
75810000039,EMERGENCY DEPT VISIT LVL 2,477.3,,PROCEDURES [101]
75810000040,EMERGENCY DEPT VISIT LVL 3,818.96,,PROCEDURES [101]
75810000041,EMERGENCY DEPT VISIT LVL 5,1834.97,,PROCEDURES [101]
75810000085,CMPLX RPR HAND/FOOT/FINGER,1254.33,,PROCEDURES [101]
75810000177,EMERGENCY VISIT LVL 1 W/PROC,280.24,,PROCEDURES [101]
75810000178,EMERGENCY VISIT LVL 2 W/PROC,477.3,,PROCEDURES [101]
75810000179,EMERGENCY VISIT LVL 3 W/PROC,818.96,,PROCEDURES [101]
75810000180,EMERGENCY VISIT LVL 4 W/PROC,1319.29,,PROCEDURES [101]
75810000181,EMERGENCY VISIT LVL 5 W/PROC,1834.97,,PROCEDURES [101]
75810000182,CRITICAL CARE W PROC,1838.49,,PROCEDURES [101]
75810000183,EMERGENCY DEPT VISIT LVL 4,1319.29,,PROCEDURES [101]
