"SVCCD","Description","PRICE1","As of Date"
"1010014","NI-EKG, 12 LEADS    ",543.50,"12/20/2018"
"1010015","NI-STRESS TEST      ",3141.00,"12/20/2018"
"1010045","NI-HOLTER RECRD TO48",2113.50,"12/20/2018"
"1010046","NI-HOLTER W-SCAN 48 ",3067.75,"12/20/2018"
"1020033","EEG AWAKE ASLEEP    ",2531.00,"12/20/2018"
"1050025","US-CAROTID DPLX SCAN",2639.50,"12/20/2018"
"1050026","NI-DUPSCN EXC UN LTD",2010.75,"12/20/2018"
"1050029","NI-EXT ARTERIAL LTD ",1207.25,"12/20/2018"
"1050030","NI-NON INV ARTER EXT",2377.00,"12/20/2018"
"1050031","NI-STD LE STRS REST ",2925.25,"12/20/2018"
"1050032","NI-LW EXT DPX ART BI",1836.00,"12/20/2018"
"1050035","NI-UP EXT DPX ART UN",1507.00,"12/20/2018"
"1050037","NI-EXT VEINS DPLX WC",2493.75,"12/20/2018"
"1050038","US-EXT VEINS DPX LTD",1943.25,"12/20/2018"
"1050039","NI-DPLX SCAN ART CMP",2493.75,"12/20/2018"
"1050040","NI-ABD RETROPER DPLX",1721.50,"12/20/2018"
"1050041","NI-DPLXSCN GRFT ARTA",2493.75,"12/20/2018"
"1050059","NI-LW EXT DPX ART UN",1683.00,"12/20/2018"
"1050090","NI-TTE 2D MM LTD WO ",2314.25,"12/20/2018"
"1050092","NI-TTE 2D W DOPP WO ",4627.00,"12/20/2018"
"1110801","OR LEV 1 INI 15 MIN ",4056.75,"12/20/2018"
"1110802","OR LEV 2 INI 15 MIN ",5412.00,"12/20/2018"
"1110803","OR LEV 3 INI 15 MIN ",6765.00,"12/20/2018"
"1110804","OR LEV 4 INI 15 MIN ",8118.25,"12/20/2018"
"1110805","OR LEV 5 INI 15 MIN ",9467.75,"12/20/2018"
"1110811","OR LEV 1 EA ADD MIN ",119.00,"12/20/2018"
"1110812","OR LEV 2 EA ADD MIN ",161.00,"12/20/2018"
"1110813","OR LEV 3 EA ADD MIN ",197.00,"12/20/2018"
"1110814","OR LEV 4 EA ADD MIN ",239.00,"12/20/2018"
"1110815","OR LEV 5 EA ADD MIN ",278.75,"12/20/2018"
"1110821","AD PROCEDURE OR LV 1",1216.50,"12/20/2018"
"1110822","AD PROCEDURE OR LV 2",1622.50,"12/20/2018"
"1110823","AD PROCEDURE OR LV 3",2028.25,"12/20/2018"
"1110824","AD PROCEDURE OR LV 4",2435.50,"12/20/2018"
"1120001","PACU LEV 1 INI 15 MN",479.50,"12/20/2018"
"1120002","PACU LEV 2 INI 15 MN",715.00,"12/20/2018"
"1120011","PACU LEV 1 EA ADD MN",14.00,"12/20/2018"
"1120012","PACU LEV 2 EA ADD MN",22.25,"12/20/2018"
"1120013","PACU LEV 3 EA ADD MN",28.00,"12/20/2018"
"1131111","ANES LV 1 INI 15 MIN",413.00,"12/20/2018"
"1131112","ANES LV 2 INI 15 MIN",620.50,"12/20/2018"
"1131113","ANES LV 3 INI 15 MIN",829.25,"12/20/2018"
"1131121","ANES LV 1 EA ADD MIN",14.00,"12/20/2018"
"1131122","ANES LV 2 EA ADD MIN",23.25,"12/20/2018"
"1131123","ANES LV 3 EA ADD MIN",29.25,"12/20/2018"
"115110","R&B M/S PRIVATE     ",1472.90,"12/20/2018"
"1160111","GI LAB LEV 1 1ST 15 ",2482.00,"12/20/2018"
"1160112","GI LAB LEV 2 1ST 15 ",3727.75,"12/20/2018"
"1160113","GI LAB LEV 3 1ST 15 ",4964.25,"12/20/2018"
"1160114","GI LAB LEV 4 1ST 15 ",6206.50,"12/20/2018"
