"Facility","Description","Price"
"DLP TWIN COUNTY REGIONAL HOSP","DIETARY CONSULT-OUTPATIENT",34.73
"DLP TWIN COUNTY REGIONAL HOSP","DIETARY CONSULT-INPATIENT",5.79
"DLP TWIN COUNTY REGIONAL HOSP","VISIT EST EXTENSIVE",711.07
"DLP TWIN COUNTY REGIONAL HOSP","VISIT NEW LIMITED",538.47
"DLP TWIN COUNTY REGIONAL HOSP","VISIT NEW COMPLEX",1317.61
"DLP TWIN COUNTY REGIONAL HOSP","DRN/INJ SM JNT/BRSA W/O US",1954
"DLP TWIN COUNTY REGIONAL HOSP","INJ ANES GRTR OCC NRV",1954
"DLP TWIN COUNTY REGIONAL HOSP","VISIT NEW INTERMEDIATE",711.07
"DLP TWIN COUNTY REGIONAL HOSP","VISIT EST LIMITED",538.47
"DLP TWIN COUNTY REGIONAL HOSP","WC INCISION & DRAIN-SIMP",579.79
"DLP TWIN COUNTY REGIONAL HOSP","VISIT EST INTERMEDIATE",538.47
"DLP TWIN COUNTY REGIONAL HOSP","INJ TRIGGER POINT 1/2 MUSCL",1954
"DLP TWIN COUNTY REGIONAL HOSP","VISIT NEW EXTENSIVE",976.06
"DLP TWIN COUNTY REGIONAL HOSP","VISIT EST COMPLEX",976.06
"DLP TWIN COUNTY REGIONAL HOSP","EPIDUROGRAPHY",377
"DLP TWIN COUNTY REGIONAL HOSP","GLUCOMETER INSTRUCTION-DM",9.72
"DLP TWIN COUNTY REGIONAL HOSP","INSULIN INSTRUCTION-DM",9.72
"DLP TWIN COUNTY REGIONAL HOSP","DM CLASS",27.96
"DLP TWIN COUNTY REGIONAL HOSP","1 HR NUTRITIONAL CONSULT",170.17
"DLP TWIN COUNTY REGIONAL HOSP","GESTATIONAL COMPREHENSIVE-DM",48.63
"DLP TWIN COUNTY REGIONAL HOSP","ONE-TO-ONE COMPREHENSIVE--DM",87.52
"DLP TWIN COUNTY REGIONAL HOSP","WOUND VAC DRESSING-SM",533.61
"DLP TWIN COUNTY REGIONAL HOSP","RHINO ROCKET",273.48
"DLP TWIN COUNTY REGIONAL HOSP","NIPPLE SHIELD, REGULAR 388479",106.96
"DLP TWIN COUNTY REGIONAL HOSP","VAGINAL IRRIGATION UNIT",20.66
"DLP TWIN COUNTY REGIONAL HOSP","SLEEVE,COMP, CALF,LG,DVT20,scd",331.83
"DLP TWIN COUNTY REGIONAL HOSP","BIOPSY TRAY-MONOPTY",611.4
"DLP TWIN COUNTY REGIONAL HOSP","CATHETER, ST. FRENCH",40.11
"DLP TWIN COUNTY REGIONAL HOSP","TUBING, BLOOD/FLUID  WARMER L70",257.39
"DLP TWIN COUNTY REGIONAL HOSP","AMNIOCENTESIS TRAY (4545)",176.24
"DLP TWIN COUNTY REGIONAL HOSP","TRACH TIE PADS",14.58
"DLP TWIN COUNTY REGIONAL HOSP","TRANSDUCER COVER 96""",283.52
"DLP TWIN COUNTY REGIONAL HOSP","SPONGES 4X4 16 PLY 10'S",10.94
"DLP TWIN COUNTY REGIONAL HOSP","BLAKEMORE ESOPHOGEAL TUBE",3939.45
"DLP TWIN COUNTY REGIONAL HOSP","NOSE & THROAT TRAY",94.82
"DLP TWIN COUNTY REGIONAL HOSP","THORACENTESIS/PERICENTESIS TRAY",729.31
"DLP TWIN COUNTY REGIONAL HOSP","ENDOTRACH TUBE, 11870 SEALGUARD 7.0,8.0",299.02
"DLP TWIN COUNTY REGIONAL HOSP","GELFOAM,LARGE",325.52
"DLP TWIN COUNTY REGIONAL HOSP","DRESSING, ACQUAPHOR 3X16""",14.58
"DLP TWIN COUNTY REGIONAL HOSP","GOWN, WARMING, STD ADULT",261.33
"DLP TWIN COUNTY REGIONAL HOSP","CATHETER,TRIPLE LUMEN",1386.29
"DLP TWIN COUNTY REGIONAL HOSP","FOOT COVER, FLWTRN,STD,FG100",322.11
"DLP TWIN COUNTY REGIONAL HOSP","FECAL INCONT. COLLECTOR",515.37
"DLP TWIN COUNTY REGIONAL HOSP","SPLINT, CLAVICAL SM TX9908-02",71.72
"DLP TWIN COUNTY REGIONAL HOSP","PERICARDIOCENTESIS TRAY",1975.2
"DLP TWIN COUNTY REGIONAL HOSP","FOOT ELEVATOR-4"",POSEY",137.35
"DLP TWIN COUNTY REGIONAL HOSP","UROSTOMY POUCH-STD 1 1/2""",258.9
"DLP TWIN COUNTY REGIONAL HOSP","stpl skin subcutcr insorb",777
"DLP TWIN COUNTY REGIONAL HOSP","VAC Y-CONNECTOR",128.85
"DLP TWIN COUNTY REGIONAL HOSP","LARYNGOSCOPE HANDLE, DISP",167.08
"DLP TWIN COUNTY REGIONAL HOSP","TAPE, NON-ALLERGENIC ROLL",41.33
"DLP TWIN COUNTY REGIONAL HOSP","NU GAUZE IODOFORM 1/4""",31.61
"DLP TWIN COUNTY REGIONAL HOSP","INDWELLING MONITOR PACK",385.31
"DLP TWIN COUNTY REGIONAL HOSP","SHOULDER IMMOBILIZER,MED",48.63
"DLP TWIN COUNTY REGIONAL HOSP","INK, TATTOING, ENDO",499.77
"DLP TWIN COUNTY REGIONAL HOSP","SPINAL PUNCTURE TRAY, ADULT",306.01
"DLP TWIN COUNTY REGIONAL HOSP","URINE METER",148.3
"DLP TWIN COUNTY REGIONAL HOSP","MATTRESS, PORTA-WARMER",298
"DLP TWIN COUNTY REGIONAL HOSP","DRESSING, MESALT RIBBON STR 3/4X39""",27.96
"DLP TWIN COUNTY REGIONAL HOSP","SAF-GEL",76.58
"DLP TWIN COUNTY REGIONAL HOSP","BUCKS TRACTION",263.81
