"Description","Price"
"abacavir 20 mg/mL oral solution",550.8
"abacavir 20 mg/mL oral solution",11.48
"abacavir 300 mg tablet",32.5
"abacavir 600 mg-lamivudine 300 mg tablet",37.74
"abacavir 600 mg-lamivudine 300 mg tablet",139.5
"abatacept (with maltose) 250 mg intravenous solution",7846.88
"abciximab 10 mg/5 mL intravenous solution",4642.5
"abciximab 10 mg/5 mL intravenous solution",5055.68
"acamprosate 333 mg tablet,delayed release",4.12
"acamprosate 333 mg tablet,delayed release",5.21
"acamprosate 333 mg tablet,delayed release",5.21
"acebutolol 200 mg capsule",2.49
"acebutolol 200 mg capsule",0.9
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intravenous solution",140.63
"acetaminophen 120 mg rectal suppository",0.58
"acetaminophen 160 mg/5 mL oral liquid",17.7
"acetaminophen 160 mg/5 mL oral liquid",3.54
"acetaminophen 160 mg/5 mL oral suspension,acetaminophen 150 mg/5 ml oral liquid",7.08
"acetaminophen 160 mg/5 mL oral suspension,acetaminophen 150 mg/5 ml oral liquid",18.59
"acetaminophen 160 mg/5 mL oral suspension,acetaminophen 150 mg/5 ml oral liquid",19.8
"acetaminophen 300 mg-codeine 30 mg tablet",0.49
"acetaminophen 325 mg rectal suppository",0.48
"acetaminophen 325 mg rectal suppository",0.36
"acetaminophen 325 mg tablet",0.1
"acetaminophen 325 mg tablet",0.17
"acetaminophen 325 mg tablet",0.04
"acetaminophen 325 mg tablet",0.17
"acetaminophen 325 mg/10.15 mL oral solution",6.81
"acetaminophen 500 mg tablet",0.11
"acetaminophen 500 mg tablet",0.11
"acetaminophen 500 mg tablet",0.21
"acetaminophen 650 mg rectal suppository",0.2
"acetaminophen 650 mg rectal suppository",0.1
"acetaminophen 650 mg rectal suppository",0.1
"acetaminophen 80 mg chewable tablet",0.21
"acetaZOLAMIDE 250 mg tablet",13.09
"acetaZOLAMIDE 250 mg tablet",8.65
"acetaZOLAMIDE 250 mg tablet",8.65
"acetaZOLAMIDE 500 mg solution for injection",155.63
"acetic acid (bulk) 5 % liquid",61.88
"acetic acid 0.25 % irrigation solution",18.75
"acetylcholine chloride 1 % (10 mg/mL) intraocular kit",353.21
"acetylcysteine 200 mg/mL (20 %) intravenous solution",70.5
"acetylcysteine 200 mg/mL (20 %) solution",3.84
"acetylcysteine 200 mg/mL (20 %) solution",33.75
"acetylcysteine 200 mg/mL (20 %) solution",13.67
"acetylcysteine 200 mg/mL (20 %) solution",35.98
"activated charcoal 25 gram/120 mL oral suspension",82.35
"activated charcoal 25 gram/120 mL oral suspension",49.95
"acyclovir 200 mg capsule",0.51
"acyclovir 200 mg capsule",1.35
"acyclovir 200 mg/5 mL oral suspension",1335.63
"acyclovir 200 mg/5 mL oral suspension",1486.4
"acyclovir 200 mg/5 mL oral suspension",14.12
"acyclovir sodium 1,000 mg intravenous solution",34.31
"acyclovir sodium 50 mg/mL intravenous solution",78.75
"acyclovir sodium 50 mg/mL intravenous solution",78.75
"adenosine (diagnostic) 3 mg/mL intravenous solution",324.9
"adenosine (diagnostic) 3 mg/mL intravenous solution",478.69
"adenosine (diagnostic) 3 mg/mL intravenous solution",309.38
"adenosine (diagnostic) 3 mg/mL intravenous solution",734.96
"adenosine 3 mg/mL intravenous solution",41.06
"adenosine 3 mg/mL intravenous solution",22.5
"adenosine 3 mg/mL intravenous solution",22.31
"adenosine 3 mg/mL intravenous solution",22.31
"albendazole 200 mg tablet",685.58
"albumin, human 25 % intravenous solution",337.5
"albumin, human 25 % intravenous solution",675
"albumin, human 5 % intravenous solution",122.25
"albumin, human 5 % intravenous solution",337.5
"albumin, human 5 % intravenous solution",122.25
"albuterol sulfate 2 mg tablet",20.73
"albuterol sulfate 2.5 mg/3 mL (0.083 %) solution for nebulization",0.75
"albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization",1.43
"albuterol sulfate concentrate 5 mg/mL(0.5 %) solution for nebulization",3
"albuterol sulfate HFA 90 mcg/actuation aerosol inhaler",80.34
"albuterol sulfate HFA 90 mcg/actuation aerosol inhaler",80.34
"albuterol sulfate HFA 90 mcg/actuation aerosol inhaler",223.38
"alendronate 70 mg tablet",3.28
"alendronate 70 mg tablet",1.76
"alglucosidase alfa 50 mg intravenous solution",2884.05
"aliskiren 150 mg tablet",20.63
"aliskiren 150 mg tablet",22.49
"allopurinol 100 mg tablet",1.24
"allopurinol 100 mg tablet",0.42
"allopurinol 300 mg tablet",2.14
"allopurinol 300 mg tablet",2.53
"ALPRAZolam 0.25 mg tablet",0.15
"ALPRAZolam 0.25 mg tablet",0.21
"ALPRAZolam 0.25 mg tablet",0.32
"ALPRAZolam 1 mg tablet",0.06
"alprostadil 500 mcg/mL injection solution",444.65
"alprostadil 500 mcg/mL injection solution",444.65
"alteplase 100 mg intravenous solution",33001.35
"alteplase 100 mg intravenous solution",33001.35
"alteplase 2 mg intra-catheter solution",573.98
"alteplase 50 mg intravenous solution",16500.68
"alum, ammonium (bulk) powder",61.2
"aluminum-mag hydroxide-simethicone 200 mg-200 mg-20 mg/5 mL oral susp",4.33
"aluminum-mag hydroxide-simethicone 200 mg-200 mg-20 mg/5 mL oral susp",0.28
"alvimopan 12 mg capsule",590.14
"amantadine HCl 100 mg capsule",7.28
"amantadine HCl 100 mg capsule",7.49
"amantadine HCl 100 mg capsule",10.31
"amantadine HCl 50 mg/5 mL oral solution",0.71
"amantadine HCl 50 mg/5 mL oral solution",67.4
"amikacin 500 mg/2 mL injection solution",45.96
"amikacin 500 mg/2 mL injection solution",30
"aMILoride 5 mg tablet",2.71
"aMILoride 5 mg tablet",3.39
"amino acid 5 % in 15 % dextrose intravenous solution",262.5
"amino acid 5 % in 15 % dextrose intravenous solution",142.5
"amino acid 5 % in 20 % dextrose intravenous solution",270
"amino acid 5 % in 25 % dextrose intravenous solution",150
"amino acid infusion 6 % intravenous solution",86.25
"amino acids 4.25 % with lytes and calcium in D10W intravenous solution",262.5
"amino acids 4.25 % with lytes and calcium in D10W intravenous solution",157.5
"amino acids 4.25 % with lytes and calcium in D5W intravenous solution",142.5
"amino acids 5 % with lytes and calcium in D20W intravenous solution",285
"amino acids 5 % with lytes and calcium in D20W intravenous solution",150
"amino acids 5 % with lytes and calcium in D25W intravenous solution",285
"amino acids 5 % with lytes and calcium in D25W intravenous solution",153.75
"amino acids 5 %-dextrose 15 %-electrolytes intravenous solution",277.5
"amino acids 5 %-dextrose 15 %-electrolytes intravenous solution",146.25
"aminocaproic acid 250 mg/mL intravenous solution",24.15
"aminocaproic acid 250 mg/mL intravenous solution",22.13
"aminocaproic acid 500 mg tablet",146.59
"aminophylline 250 mg/10 mL intravenous solution",8.53
"aminophylline 250 mg/10 mL intravenous solution",8.53
"amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose, iso-osmotic IV",130.13
"amiodarone 200 mg tablet",0.56
"amiodarone 50 mg/mL intravenous solution",5.48
"amiodarone 50 mg/mL intravenous solution",8.81
"amiodarone 50 mg/mL intravenous solution",8.51
"amiodarone 50 mg/mL intravenous solution",7.5
"amiodarone 50 mg/mL intravenous solution",8.81
"amiodarone 50 mg/mL intravenous solution",5.29
"amitriptyline 10 mg tablet",0.54
"amitriptyline 25 mg tablet",0.65
"amitriptyline 25 mg tablet",0.43
"amitriptyline 50 mg tablet",0.55
"amitriptyline 50 mg tablet",0.43
"amLODIPine 2.5 mg tablet",0.64
"amLODIPine 2.5 mg tablet",0.1
"amLODIPine 2.5 mg tablet",0.52
"amLODIPine 2.5 mg tablet",0.53
"amLODIPine 5 mg tablet",0.05
"amLODIPine 5 mg tablet",0.15
"amLODIPine 5 mg tablet",0.18
