"SVCCD","Description","PRICE1","As of Date"
"1010014","NI-EKG, 12 LEADS    ",130.00,"12/20/2018"
"1010015","NI-STRESS TEST      ",940.00,"12/20/2018"
"1010023","NI-EVENT REC HKP    ",279.00,"12/20/2018"
"1010045","NI-HOLTER RECRD TO48",470.00,"12/20/2018"
"1010046","NI-HOLTER W-SCAN 48 ",1622.00,"12/20/2018"
"1020032","EEG AWAKE DROWSY    ",577.00,"12/20/2018"
"1020033","EEG AWAKE ASLEEP    ",499.00,"12/20/2018"
"1040021","NI-CARDI REHAB W- MO",266.00,"12/20/2018"
"1040022","NI-CARD REHAB PH 3  ",9.70,"12/20/2018"
"1040023","STRNGTH TRN SLG 15MI",151.00,"12/20/2018"
"1040024","RESP FX TRN SGL 15MN",135.00,"12/20/2018"
"1040025","RESP FX TRAIN GROUP ",135.00,"12/20/2018"
"1040030","PULM REHAB W EXER   ",218.00,"12/20/2018"
"1050030","NI-NON INV ARTER EXT",537.00,"12/20/2018"
"1050031","NI-STD LE STRS REST ",829.00,"12/20/2018"
"1061232","CC-INSERT IABP      ",3944.00,"12/20/2018"
"1061239","IC-COR THROMBECTOMY ",13601.00,"12/20/2018"
"1061242","IC-IVUS, INIT       ",7887.00,"12/20/2018"
"1061243","IC-IVUS, ADDL       ",7887.00,"12/20/2018"
"1061246","IC-PTCA, SINGLE     ",21882.00,"12/20/2018"
"1061247","IC-PTCA, ADDL       ",21882.00,"12/20/2018"
"1061268","P-INS TMP PAC LD SGL",9854.00,"12/20/2018"
"1061288","P-IMPLNT LOOP REC   ",20342.00,"12/20/2018"
"1061325","S-INTROCATH AORTA   ",1594.00,"12/20/2018"
"1061332","S-ABDOMEN 3RD ORDER ",2058.00,"12/20/2018"
"1061418","HEART FLOW MEASURE  ",3286.00,"12/20/2018"
"1061419","HEART FLOW MEAS ADD ",3024.00,"12/20/2018"
"1061480","NI-CARDIOVERSION    ",1425.00,"12/20/2018"
"1061501","CC-RHC              ",3977.00,"12/20/2018"
"1061504","CC-ANGIO CORON ONLY ",7251.00,"12/20/2018"
"1061505","CC-S-I VNT ATR ANGIO",10966.00,"12/20/2018"
"1061508","CC-L HRT ARTERY-VENT",12939.00,"12/20/2018"
"1061509","CC-L HRT ART-GRF ANG",15759.00,"12/20/2018"
"1061510","CC-R-L HRT ART-VENT ",10656.00,"12/20/2018"
"1061520","S-FEM POP STNT ATHR ",24468.00,"12/20/2018"
"1061522","S-TIB PER REVAS ATHR",13940.00,"12/20/2018"
"1061554","IC-PRQ CRD STN W-ANG",25471.00,"12/20/2018"
"1061555","IC-PRQ STNT W-ANG EA",25200.00,"12/20/2018"
"1061560","IC-PRQ CARD REV 1 VS",25471.00,"12/20/2018"
"1061564","IC-PRQ DE COR STNT  ",27608.00,"12/20/2018"
"1061565","IC-PRQ DE COR STNT B",27334.00,"12/20/2018"
"1061568","IC-PRQ DE CR REV CAB",27608.00,"12/20/2018"
"1061570","IC-PRQ DE CR REV AMI",29209.00,"12/20/2018"
"1061571","IC-PRQ DE COR REV CH",27608.00,"12/20/2018"
"1061572","IC-PR DE CR RV CH EA",28920.00,"12/20/2018"
"1061583","IR-ANG CARTD IPS UNI",8711.00,"12/20/2018"
"1110801","OR LEV 1 INI 15 MIN ",2939.00,"12/20/2018"
"1110802","OR LEV 2 INI 15 MIN ",3673.00,"12/20/2018"
"1110803","OR LEV 3 INI 15 MIN ",4409.00,"12/20/2018"
"1110804","OR LEV 4 INI 15 MIN ",5143.00,"12/20/2018"
"1110805","OR LEV 5 INI 15 MIN ",5877.00,"12/20/2018"
"1110806","OR LEV 6 INI 15 MIN ",6612.00,"12/20/2018"
"1110811","OR LEV 1 EA ADD MIN ",33.00,"12/20/2018"
"1110812","OR LEV 2 EA ADD MIN ",42.00,"12/20/2018"
"1110813","OR LEV 3 EA ADD MIN ",50.00,"12/20/2018"
"1110814","OR LEV 4 EA ADD MIN ",58.00,"12/20/2018"
"1110815","OR LEV 5 EA ADD MIN ",67.00,"12/20/2018"
"1110816","OR LEV 6 EA ADD MIN ",76.00,"12/20/2018"
"1110821","AD PROCEDURE OR LV 1",881.00,"12/20/2018"
"1110822","AD PROCEDURE OR LV 2",1102.00,"12/20/2018"
"1110823","AD PROCEDURE OR LV 3",1322.00,"12/20/2018"
"1110824","AD PROCEDURE OR LV 4",1543.00,"12/20/2018"
"1110825","AD PROCEDURE OR LV 5",1764.00,"12/20/2018"
"1110873","PAIN MGMT IN PROC L3",894.00,"12/20/2018"
"1120001","PACU LEV 1 INI 15 MN",839.00,"12/20/2018"
"1120002","PACU LEV 2 INI 15 MN",1677.00,"12/20/2018"
"1120003","PACU LEV 3 INI 15 MN",2516.00,"12/20/2018"
"1120004","PACU LEV 4 INI 15 MN",3356.00,"12/20/2018"
"1120011","PACU LEV 1 EA ADD MN",2.50,"12/20/2018"
"1120012","PACU LEV 2 EA ADD MN",5.00,"12/20/2018"
"1120013","PACU LEV 3 EA ADD MN",7.50,"12/20/2018"
"1120014","PACU LEV 4 EA ADD MN",9.90,"12/20/2018"
"1131111","ANES LV 1 INI 15 MIN",1096.00,"12/20/2018"
"1131112","ANES LV 2 INI 15 MIN",1462.00,"12/20/2018"
"1131113","ANES LV 3 INI 15 MIN",1827.00,"12/20/2018"
"1131121","ANES LV 1 EA ADD MIN",9.80,"12/20/2018"
"1131122","ANES LV 2 EA ADD MIN",13.00,"12/20/2018"
"1131123","ANES LV 3 EA ADD MIN",16.00,"12/20/2018"
"1138501","LABOR EPIDURAL      ",238.00,"12/20/2018"
"115110","R&B M/S PRIVATE     ",708.00,"12/20/2018"
"115120","R&B M/S SEMI PRIVATE",626.00,"12/20/2018"
"115207","R&B M/S SEMI PVT TEL",794.00,"12/20/2018"
"1160111","GI LAB LEV 1 1ST 15 ",1255.00,"12/20/2018"
"1160112","GI LAB LEV 2 1ST 15 ",2511.00,"12/20/2018"
"1160113","GI LAB LEV 3 1ST 15 ",3766.00,"12/20/2018"
"1160114","GI LAB LEV 4 1ST 15 ",5021.00,"12/20/2018"
"1160121","GI LEV 1 EA ADD MIN ",4.40,"12/20/2018"
"1160122","GI LEV 2 EA ADD MIN ",8.90,"12/20/2018"
"1160123","GI LEV 3 EA ADD MIN ",13.00,"12/20/2018"
"1160124","GI LEV 4 EA ADD MIN ",17.00,"12/20/2018"
"1160131","AD PROCEDURE GI LV 1",377.00,"12/20/2018"
"1160132","AD PROCEDURE GI LV 2",753.00,"12/20/2018"
"1160134","AD PROCEDURE GI LV 4",1507.00,"12/20/2018"
"1160148","ESOPHAGUS MOTIL STUD",4837.00,"12/20/2018"
"1160159","ANAL PRESSURE RECORD",788.00,"12/20/2018"
"1210007","IVIG (OCTAGAM) 500MG",155.00,"12/20/2018"
"1210008","IVIG (GAMMAGD) 500MG",101.00,"12/20/2018"
"1210013","ZOLEDRONIC ACID 1MG ",525.00,"12/20/2018"
"1210016","CEPHALEX 250/5 100ML",79.00,"12/20/2018"
"1210022","OXYCODONE 5MG/5ML OR",11.25,"12/20/2018"
"1210027","ALTEPLASE RECOM 1MG ",139.00,"12/20/2018"
"1210031","NICARDIP 25/10ML INJ",32.00,"12/20/2018"
"1210059","BUPRENORPH 8MG SLTB ",5.36,"12/20/2018"
"1210090","LEVETIRACET 10MG INJ",0.70,"12/20/2018"
"1210101","PRIMATRIX PER SQ CM ",108.00,"12/20/2018"
"1210115","RIVASTIG 9.5MG PATCH",26.00,"12/20/2018"
"1210116","RIVASTIG 4.6MG PATCH",26.00,"12/20/2018"
"1210134","PRAMO1-HC AC1%FM 10G",180.00,"12/20/2018"
"1210140","CLOPIDOGREL 300MG TB",122.00,"12/20/2018"
"1210145","CEFEPIME 500MG INJ  ",42.00,"12/20/2018"
"1210146","CEFOTAXIME NA 1GM   ",6.40,"12/20/2018"
"1210148","ALTEPLASE RECOM 1MG ",148.00,"12/20/2018"
"1210149","CEFOXITIN 1GM IJ    ",30.00,"12/20/2018"
"1210154","LUPR 7.5 MALES>18YRS",336.00,"12/20/2018"
"1210161","OCTREOTIDE DEP 1MG  ",423.00,"12/20/2018"
"1210162","OCTREOTIDE ND 25MCG ",17.00,"12/20/2018"
"1210164","OCTREOTIDE ND 25MCG ",17.00,"12/20/2018"
"1210166","PAMIDRONATE 30MG IJ ",44.00,"12/20/2018"
"1210168","CARBOPLATIN 50MG INJ",33.00,"12/20/2018"
"1210169","CARBOPLATIN 50MG INJ",18.00,"12/20/2018"
"1210170","CISPLAT POW/SOL 10MG",13.00,"12/20/2018"
"1210175","RITUXIMAB 100MG INJ ",1581.00,"12/20/2018"
"1210176","FOSPHENYTOIN 50MG   ",3.20,"12/20/2018"
"1210181","ENOXAPARIN 10MG INJ ",25.00,"12/20/2018"
"1210183","ENOXAPARIN 10MG INJ ",25.00,"12/20/2018"
"1210185","ENOXAPARIN 10MG INJ ",25.00,"12/20/2018"
"1210186","ENOXAPARIN 10MG INJ ",25.00,"12/20/2018"
"1210188","AMPICILLIN/SUB 1.5GM",7.00,"12/20/2018"
"1210191","LEUCOVORIN 50MG INJ ",36.00,"12/20/2018"
"1210192","LEUCOVORIN 50MG INJ ",36.00,"12/20/2018"
"1210194","CEFAZOLIN 500MG INJ ",4.00,"12/20/2018"
"1210195","CEFTRIAXONE 250MGINJ",4.00,"12/20/2018"
"1210196","CEFTRIAXONE 250MGINJ",4.00,"12/20/2018"
"1210197","CEFTRIAXONE 250MGINJ",4.00,"12/20/2018"
"1210206","PHENYTOIN NA 50MGINJ",3.00,"12/20/2018"
"1210207","DOBUTAMINE 250MG INJ",132.00,"12/20/2018"
"1210210","MEROPENEM 100MG INJ ",12.00,"12/20/2018"
"1210211","ACYCLOVIR 5MG INJ   ",1.00,"12/20/2018"
"1210212","ACYCLOVIR 5MG INJ   ",1.00,"12/20/2018"
"1210224","LEVOFLOXAC 250MG INJ",67.00,"12/20/2018"
"1210225","LEVOFLOXAC 250MG INJ",67.00,"12/20/2018"
"1210229","IVIG (OCTAGAM) 500MG",155.00,"12/20/2018"
"1210231","IVIG (GAMMAGD) 500MG",101.00,"12/20/2018"
"1210232","IVIG (GAMMAGD) 500MG",101.00,"12/20/2018"
"1210233","KETOROLAC 15MG INJ  ",4.00,"12/20/2018"
"1210234","ONDANSETRON 1MG INJ ",4.00,"12/20/2018"
"1210236","AMPICILLIN 500MG INJ",13.00,"12/20/2018"
"1210237","AMPICILLIN 500MG INJ",13.00,"12/20/2018"
"1210238","FLUCONAZOL 200MG INJ",12.00,"12/20/2018"
"1210255","BETAXOLOL 0.5% OS 5M",124.00,"12/20/2018"
"1210262","FUROSEMIDE 20MG INJ ",7.00,"12/20/2018"
"1210263","FUROSEMIDE 20MG INJ ",7.00,"12/20/2018"
"1210265","LABETALOL 200MG/40ML",6.40,"12/20/2018"
"1210266","MEGESTROL 400MG/10ML",41.00,"12/20/2018"
"1210267","MEPERID HCL 100MGINJ",6.40,"12/20/2018"
"1210268","MEPERID HCL 100MGINJ",6.40,"12/20/2018"
"1210276","SALINE.65%NAS SP 30M",2.80,"12/20/2018"
"1210293","LACTOBA-ACIDO-PEC TB",1.70,"12/20/2018"
"1210294","PIPER/TAZOB 1G/.125G",23.00,"12/20/2018"
"1210328","CALC600-VITD3 400 TB",1.70,"12/20/2018"
"1210335","GENTAMICIN UPTO 80MG",33.00,"12/20/2018"
"1210359","BENZOC 20% REC OIN30",3.90,"12/20/2018"
"1210371","CARBID25-LEVO100MGTB",1.70,"12/20/2018"
"1210474","PANTOPRAZ 40MG PKT  ",6.40,"12/20/2018"
"1210487","VANCOMYCIN 500MG INJ",7.00,"12/20/2018"
"1210490","ACETIC ACID.25% 1000",3.10,"12/20/2018"
"1210498","THROMBIN 5000U RECOM",231.00,"12/20/2018"
"1210507","DEXAMETH 0.25MG ORAL",0.10,"12/20/2018"
"1210537","MIDAZOL  HCL 1MG INJ",7.00,"12/20/2018"
"1210540","HEPARIN 1000U INJ   ",6.00,"12/20/2018"
"1210552","PHYTONADIONE 1MG INJ",10.00,"12/20/2018"
"1210554","IPRA-ALBU.5-2.5MG/3M",1.50,"12/20/2018"
"1210555","TOBRAMYCIN UPTO 80MG",48.00,"12/20/2018"
"1210558","VANCOMYCIN 500MG INJ",7.00,"12/20/2018"
"1210561","CEFDINIR250MG/5 60ML",417.00,"12/20/2018"
"1210585","GENTAMIC .1%CRM 15GM",3.40,"12/20/2018"
