Description,Price
RTA00077,37
RTA00078,153
RTA00087,108
ANL SPINE INFUS PMP W/MDREPROG & FILL,1253
18-30 Compression RTW Knee Hi,111
18-30 Compression RTW Thigh Hi,151
18-30 Compression RTW Waist Hi,181
30-40 Compression RTW Knee Hi,111
30-40 Compression RTW Thigh Hi,151
30-40 Compression RTW Waist Hi,192
3D Rendering w Post Proc W WKST Charge,1893
3D Rendering W Post Proc wo WKST CHARGE,1620
40-50 Compression RTW Knee Hi,142
40-50 Compression RTW Thigh Hi,181
9 Drug-Bund-LC Add On,180
Anchors used in EVAR procedure,5096
anticoagulation management,26
Aph ARBC ACDA AS1 LR 1,840
Aph ARBC ACDA AS3 1,840
Aph ARBC ACDA AS3 LR,840
Aph ARBC ACDA AS3 LR 1,840
Aph ARBC CP2D AS3,840
Aph ARBC CP2D AS3 LR,840
Aph ARBC CP2D AS3 LR 1,840
Aph DRBC ACDA AS3,840
Aph DRBC ACDA AS3 1,840
Aph DRBC ACDA AS3 Irr,840
Aph DRBC ACDA AS3 Irr 1,840
Aph DRBC ACDA AS3 LR,1025
Aph DRBC ACDA AS3 LR 1,1025
Aph DRBC ACDA AS3 LR Irr,840
Aph DRBC ACDA AS3 LR Irr 1,840
Aph DRBC CP2D AS3,840
Aph DRBC CP2D AS3 LR,1025
Aph DRBC CP2D AS3 LR 1,1025
Aph DRBC CP2D AS3 LR Irr,840
Aph DRBC CP2D AS3 LR Irr 1,840
Aph Dv RBC ACDA AS1 LR,643
Aph Dv RBC ACDA AS3 LR,643
Aph Dv RBC ACDA AS3 LR 2,643
Aph Dv RBC ACDA AS3 LR Irr 1,840
Aph Dv RBC ACDA AS3 LR Irr 2,840
Aph Dv RBC CP2D AS3 LR,643
Aph Dv RBC CP2D AS3 LR 1,643
Aph Dv RBC CP2D AS3 LR Irr,840
Aph Dv RBC CP2D AS3 LR Irr 1,840
Aph Dv RBC CP2D AS3 LR Irr 2,840
Aph Dv RBC Washed LR 1,1136
Aph Dv RBC Washed LR 2,1136
Aph FFP ACDA,281
Aph FFP ACDA <200 mL,281
Aph FFP ACDA >600 mL,281
Aph FFP ACDA 1,281
Aph FFP ACDA 2,281
Aph FFP ACDA 200-400 mL,281
Aph FFP ACDA 3,281
Aph FFP ACDA 400-600 mL,281
Aph FFP CP2D,281
Aph Plasma ACDA <24h,281
Aph Plt ACDA,1913
Aph PLT ACD-A Irr 3,2209
Aph Plt ACDA <3 X log 11,1913
Aph Plt ACDA 1,1913
Aph Plt ACDA 2,1913
Aph Plt ACDA 3,1913
Aph PLT ACD-A Irr ResLeu:<5E6 1 Ba,2209
Aph PLT ACD-A Irr ResLeu:<5E6 2 Ba,2209
Aph PLT ACD-A Irr ResLeu:<5E6 3 Ba,2209
Aph Plt ACDA LR,1913
Aph Plt ACDA LR <3 X log 11,1913
Aph Plt ACDA LR 2,1913
Aph Plt ACDA LR 3,1913
Aph Plt ACDA LR Irr,2209
Aph Plt ACDA LR Irr <3 X log 11,2209
Aph Plt ACDA LR Irr 1,2209
Aph Plt ACDA LR Irr 2,2209
Aph PLT ACD-A Open Irr PlasRed 1,2209
Aph PLT ACD-A Open Irr PlasRed 2,2209
Aph PLT ACD-A Open Irr PlasRed 3,2209
Aph PLT ACD-A Open Irr PlasRed 3,2209
Aph PLT ACD-A Open PlasRed,1913
Aph PLT ACD-A Open PlasRed,1913
Aph PLT ACD-A Open PlasRed,1913
Aph PLT ACD-A Open PlasRed 1,1913
Aph PLT ACD-A Open PlasRed 1,1913
Aph PLT ACD-A Open PlasRed 2,1913
Aph PLT ACD-A Open PlasRed 3,1913
Aph PLT ACD-A Open PlasRed2,1913
Aph PLT ACD-A Open PlasRed3,1913
Aph PLT ACD-A ResLeu:<5E6 1,1913
Aph Plt Washed,1913
Aph Plt Washed 1,1913
Aph Plt Washed 2,1913
Aph Plt Washed 3,1913
Aph Plt Washed Irr,2209
Aph Plt Washed Irr 1,2209
Aph Plt Washed Irr 2,2209
Aph Plt Washed Irr 3,2209
Aph Plt Washed LR 1,1913
Aph Plt Washed LR 3,1913
Aph Plt Washed LR Irr,2209
Aph Plt Washed LR Irr 1,2209
Aph Plt Washed LR Irr 2,2209
Aph Plt Washed LR Irr 3,2209
Aph RBC ACDA AS1 LR,643
Aph RBC ACDA AS1 LR 1,1025
Aph RBC ACDA AS1 LR 2,643
Aph RBC ACDA AS3,643
Aph RBC ACDA AS3 1,643
Aph RBC ACDA AS3 2,643
Aph RBC ACDA AS3 Irr 1,643
Aph RBC ACDA AS3 Irr 2,643
Aph RBC ACDA AS3 LR,1025
Aph RBC ACDA AS3 LR 1,1025
Aph RBC ACDA AS3 LR 2,643
Aph RBC ACDA AS3 LR Irr,840
Aph RBC ACDA AS3 LR Irr 1,840
Aph RBC ACDA AS3 LR Irr 2,840
Aph RBC CP2D AS3,643
Aph RBC CP2D AS3 Irr,643
Aph RBC CP2D AS3 Irr 1,643
Aph RBC CP2D AS3 Irr 2,643
Aph RBC CP2D AS3 LR,1025
Aph RBC CP2D AS3 LR 1,1025
Aph RBC CP2D AS3 LR Irr,840
Aph RBC CP2D AS3 LR Irr 1,840
Aph RBC CP2D AS3 LR Irr 2,840
Aph RBC CP2D Irr ResLeu:<5E6 Pla,1136
Aph RBC Washed LR,1136
Aph RBC Washed LR 1,1136
Aph RBC Washed LR 2,1136
Aph RBC Washed None Open 1,1136
Aph RBC Washed None Open Irr 1,1136
Aph RBC Washed None Open Irr 2,1136
Aph RBC Washed Open,1136
Application of On Body Injector,170
ARBC CP2D 450 LR,840
ARBC CP2D AS3 450 LR,840
ARBC CP2D AS3 500 LR,840
ARBC CP2D>AS3 LV anitcog notadj,840
ARBC CPD 500 LR Irr,840
ARBC CPD AS1 500,840
ARBC CPD AS1 500 LR,840
ARBC CPD AS1 500 LR Irr,840
ARBC CPD AS1 LV Acadj,840
ARBC CPD AS5 500,840
ARBC CPD AS5 500 LR,840
ARBC CPD LV anticoag Notadj,840
ARBC CPD>AS1 500,1025
ARBC CPDA1 500,840
ARBC CPDA1 500 LR,840
ARBC CPDA1 500 LR Irr,840
Arterial exposure w/creation of graft conduit (chimney graft) to facilitate arterial perfusion,573
Biopsy of Cervix Single/Multiple Provider Charge,3398
Biopsy of Penis,5035
Bladder Instillation of Anti-cancer Agent,910
"Bladder irrigation, simple, lavage and/or instillation",827
Blood Transfusion,3116
Broncho Eval wo Spirometry Cardiac Rehab CHARGE,327
"Bronchoscopy, rigid or flexible, including fluoroscopic guidance diagnostic with cell washing",3773
Camisole,120
Cardiac Rehab wo ECG Monitoring CHARGE,186
Cardiac Stress Test Charge,619
Cardioversion Charge,1964
Cardioversion through Defib CHARGE,1653
Change Cystostomy Tube;Simple,900
Chemo IV Fusion - Sequential New Drug up to 1 hour,685
Chemo IV push - Each additional drug,578
Chemo IV Push - Single/Initial Drug,993
Circumcise-Surgical Excision-Nonneonate,6611
Circumcision using clamp or other device with regional dorsal penile or ring block,701
Colposcopy of the cervix including upper/adjacent vagina,559
Corpora Cavernosa Injection,896
Corpora Cavernosa Irrigation-Priapism,1977
Cryo AHF,197
"Cryosurgery, Penis Lesion(S)",348
Custom Breast Prosthesis,6429
Cysto w/ureteroscpy &/or pyeloscpy; w/biopsy/fulguration of ureteral/renal pelvic lesion,5728
Cystoscopy And Treatment (with direct vision),5119
"Cystostomy, Cystotomy w/Drainage",5988
Cystourethroscopy w/Foreign Body Removal-Complicated,5119
Cystourethroscopy w/ irrigation & evacuation of mul obstructing clots,2366
Cystourethroscopy w/Bladder Dilation for IC-General/Spinal Anesthesia,5119
Cystourethroscopy w/fulguration &/or resect of Sm Bladder Tumor (0.5-2.0 cm),3522
Cystourethroscopy w/fulguration or treatment of Minor Lesion (<0.5cm),2366
Cystourethroscopy w/ureteroscpy &/or pyeloscpy; w/Stone Removal,9016
Cystourethroscopy w/ureteroscpy w/ureteral stricture treatment,8181
Daily management VA,2859
Daily management VV,2859
"Debride Skn Subq mscl/fascia necrotizing inf, ext genital & perineum",2156
"Debridement Of Skin, Subcutaneous Tissue, And Muscle",1421
Destruct Penis Lesion(s)-Simple-Excision,6072
"Diagnostic laparoscopy, abdomen, peritoneum, omentum",9657
Dilation of female urethra incl suppository &/or instillation; initial,827
Dilation of female urethra incl suppository &/or instillation; subsequent,827
"Dilation urethral stricture passage of filiform & follower,male; Subseq",827
Doppler Echo Fetal Cont Wave CHARGE,740
"Drain Skin Abscess,Simple/Sngl",761
Drain/Inj Major Joint Bursa w/o US,955
DRBC CP2D 450 LR,1025
DRBC CP2D 500,840
DRBC CP2D AS3 500 LR Irr,840
DRBC CP2D AS3 LV anitcog Notadj,840
DRBC CPD 500 LR,1025
DRBC CPD 500 LR Irr,840
DRBC CPD AS1 500,840
DRBC CPD AS1 500 Irr,840
DRBC CPD AS1 500 LR,1025
DRBC CPD AS1 500 LR Irr,840
DRBC CPD AS1 LV Acadj,840
DRBC CPD AS5 500,840
DRBC CPD AS5 500 Irr,840
DRBC CPD AS5 500 LR,1025
