"PROC
#",Procedure Description,"IP
Price","OP
Price",
1,AB ASPERGILLUS,202,116,
2,AB ELUTION RBC EACH ELUTION,913,522,
3,AB HEP A IGM,138,79,
4,AB ID RBC ABS EACH PANEL,"1,853","1,059",
5,AB INTRINSIC FACTOR,183,105,
6,AB TOXOPLASMA,263,150,
7,AB TOXOPLASMA IGM,175,100,
8,ABG ANALYSIS ISTAT,371,212,
9,ACCESS SYSTEM KII 5X150,138,138,
10,ACCU STICK II INTRO SYS,472,472,
11,ACTH STIMULATING PANEL,481,275,
12,ACTIVATED PROTEIN C RESISTA,323,185,
13,ACUTE HEPATITIS PANEL,575,329,
14,ADAPTER CELLULAR,"1,563","1,563",
15,ADENOVIRUS ANTIBODY,196,112,
16,ADRENOCORTICOTROPIC HORMONE,467,267,
17,AEROSOL INITIAL CONT BRONCH,240,240,
18,AEROSOL SUB CONT BRONCH HR,126,126,
19,AEROSOL SUB SM VOL NEB,176,176,
20,AFP-L3 FRACTION ISO & TOTAL AFP,777,444,
21,AGGLUTINATION GRP EA ANTISE,125,71,
22,AIRWAY KING LTSD,311,311,
23,ALBUMIN,76,44,
24,ALBUMIN FLUID,80,46,
25,ALDOSTERONE,493,282,
26,ALLERGEN SPECIFIC IGE,116,66,
27,ALLODERM PER 1 SQ CM_96,259,259,
28,ALPHA 1 ANTITRYPSIN TOTAL,182,104,
29,ALPHA FETOPROTEIN SERUM,408,233,
30,ALT,247,141,
31,AMMONIA,177,101,
32,AMNIOSURE FOR RUPTURE MEMBRANES,777,444,
33,AMYLASE,90,52,
34,ANA TITER,167,95,
35,ANCHOR GENERATR NEUROSTIM,"1,263","1,263",
36,Anesthesia - Epidural - 1st 15 Min,358,358,
37,Anesthesia - Epidural - Add Min,24,24,
38,Anesthesia - General - 1st 30 Min,"1,350","1,350",
39,Anesthesia - General - Add Min,36,36,
40,Anesthesia - L&D Epidural,"1,228","1,228",
41,Anesthesia - MAC - 1st 15 Min,386,386,
42,Anesthesia - MAC - Add Min,24,24,
43,Anesthesia - Spinal - 1st 15 Min,358,358,
44,Anesthesia - Spinal - Add Min,24,24,
45,Anesthesia - TIVA - 1st 30 Min,"1,175","1,175",
46,Anesthesia - TIVA - Add Min,33,33,
47,ANGIOSEAL VIP,"1,363","1,363",
48,ANGIOTENSIN CONVERTING ENZY,314,180,
49,ANTENNA STIMULATOR MEDTR 37092,500,500,
50,ANTIADRENAL ABS QUAN,147,84,
51,ANTIBODY BACTERIUM NOS Q128,157,90,
52,ANTIBODY BLASTOMYCES,158,90,
53,ANTIBODY BORDETELLA 1,238,136,
