PROC #,Procedure Description,IP Price,OP Price,Note (*)
1,AB ASPERGILLUS,202,115.5,
2,AB ELUTION RBC EACH ELUTION,912.5,521.5,
3,AB HEP A IGM,137.5,78.5,
4,AB ID RBC ABS EACH PANEL,1852.5,1058.5,
5,AB INTRINSIC FACTOR,183,104.5,
6,AB TOXOPLASMA,262.5,150,
7,AB TOXOPLASMA IGM,175,100,
8,ABG ANALYSIS ISTAT,371,212,
9,ACCESS SYSTEM KII 5X150,138,138,
10,ACCU STICK II INTRO SYS,471.5,471.5,
11,ACTH STIMULATING PANEL,480.5,274.5,
12,ACTIVATED PROTEIN C RESISTA,323,184.5,
13,ACUTE HEPATITIS PANEL,575,328.5,
14,ADAPTER CELLULAR,1562.5,1562.5,
15,ADENOVIRUS ANTIBODY,196,112,
16,ADRENOCORTICOTROPIC HORMONE,466.5,266.5,
17,AEROSOL INITIAL CONT BRONCH,239.5,239.5,
18,AEROSOL SUB CONT BRONCH HR,126,126,
19,AEROSOL SUB SM VOL NEB,175.5,175.5,
20,AFP-L3 FRACTION ISO & TOTAL AFP,777,444,
21,AGGLUTINATION GRP EA ANTISE,124.5,71,
22,AIRWAY KING LTSD,310.5,310.5,
23,ALBUMIN,76,43.5,
24,ALBUMIN FLUID,79.5,45.5,
25,ALDOSTERONE,492.5,281.5,
26,ALLERGEN SPECIFIC IGE,115.5,66,
27,ALLODERM PER 1 SQ CM_96,259,259,
28,ALPHA 1 ANTITRYPSIN TOTAL,182,104,
29,ALPHA FETOPROTEIN SERUM,408,233,
30,ALT,247,141,
31,AMMONIA,177,101,
32,AMNIOSURE FOR RUPTURE MEMBRANES,777,444,
33,AMYLASE,90,51.5,
34,ANA TITER,166.5,95,
35,ANCHOR GENERATR NEUROSTIM,1262.5,1262.5,
36,Anesthesia - Epidural - 1st 15 Min,358,358,
37,Anesthesia - Epidural - Add Min,23.5,23.5,
38,Anesthesia - General - 1st 30 Min,1349.5,1349.5,
39,Anesthesia - General - Add Min,35.5,35.5,
40,Anesthesia - L&D Epidural,1227.5,1227.5,
41,Anesthesia - MAC - 1st 15 Min,386,386,
42,Anesthesia - MAC - Add Min,23.5,23.5,
43,Anesthesia - Spinal - 1st 15 Min,358,358,
44,Anesthesia - Spinal - Add Min,23.5,23.5,
45,Anesthesia - TIVA - 1st 30 Min,1174.5,1174.5,
46,Anesthesia - TIVA - Add Min,32.5,32.5,
47,ANGIOSEAL VIP,1362.5,1362.5,
48,ANGIOTENSIN CONVERTING ENZY,314,179.5,
49,ANTENNA STIMULATOR MEDTR 37092,500,500,
