"Type","Name","Per Day Charges"
"Room and Care","Rehab Room and Care","994.00"
"Room and Care","Rehab Room and Care Priv Medically Justified","1014.00"
"Inpatient Physical Therapy","Physical Therapy Ð Evaluation, 15 min", "76.50"
"Inpatient Physical Therapy","Physical Therapy Ð Individual Tx, 15 min", "69.00"
"Inpatient Physical Therapy","Physical Therapy Ð Group Tx, 15 min", "49.50"
"Inpatient Physical Therapy","Physical Therapy Ð Concurrent/CoTreat Tx, 15 min", "64.50"
"Inpatient Occupational Therapy","Occupational Therapy Ð Evaluation, 15 min", "72.00"
"Inpatient Occupational Therapy","Occupational Therapy Ð Individual Tx, 15 min", "69.00"
"Inpatient Occupational Therapy","Occupational Therapy Ð Group Tx, 15 min", "49.50"
"Inpatient Occupational Therapy","Occupational Therapy Ð Concurrent/CoTreat Tx, 15 min", "64.50"
"Inpatient Speech Therapy","Speech Therapy Ð Evaluation, 15 min", "76.50"
"Inpatient Speech Therapy","Speech Therapy Ð Individual Tx, 15 min", "64.50"
"Inpatient Speech Therapy","Speech Therapy Ð Group Tx, 15 min", "49.50"
"Inpatient Speech Therapy","Speech Therapy Ð Concurrent/CoTreat Tx, 15 min", "64.50"
"X-Ray and Radiological","CT-HEAD/BRAIN, W/OUT","505"
"X-Ray and Radiological","CT-HEAD/BRAIN, W/ CO","590"
"X-Ray and Radiological","CT-CHEST, W/OUT CONT","625"
"X-Ray and Radiological","CT-CHEST, W/ CONTRAS","716"
"X-Ray and Radiological","CT - CHEST, W/ &W/OU","801"
"X-Ray and Radiological","CT-ANGIOGRAPHY, W/&W","846"
"X-Ray and Radiological","CT-CRVICAL SPINE W &","1005"
"X-Ray and Radiological","CT-THORACIC SPINE, W","625"
"X-Ray and Radiological","CT-THORACIC SPINE, W","716"
"X-Ray and Radiological","CT-PELVIS, W/OUT CON","561"
"X-Ray and Radiological","CT-PELVIS, W/CONTRAS","709"
"X-Ray and Radiological","CT-LOWER EXTREMITY","623"
"X-Ray and Radiological","CT-ABDOMEN, W/OUT CO","568"
"X-Ray and Radiological","CT-ABDOMEN, W/ CONTR","718"
"X-Ray and Radiological","CT-ABDOMEN&PELVIS W/","661"
"X-Ray and Radiological","CT - ABDOMEN&PELVIS,","868"
"X-Ray and Radiological","CT-ABDMN/PELVIS,W/&W","945"
"X-Ray and Radiological","PET/CT SCAN - WHOLE ","2660"
"X-Ray and Radiological","VENOUS DOPPLER","263"
"X-Ray and Radiological","X-RAY, CHEST","400"
"X-Ray and Radiological","X-RAY KNEE","400"
"X-Ray and Radiological","X-RAY HIP","400"
"X-Ray and Radiological","X-RAY, CERVICAL SPIN","400"
"X-Ray and Radiological","X-RAY, HEAD","400"
"X-Ray and Radiological","X-RAY, SHOULDER","400"
"X-Ray and Radiological","X-RAY, ARM","400"
"X-Ray and Radiological","X-RAY, HAND","400"
"X-Ray and Radiological","X-RAY, ABDOMEN","400"
"X-Ray and Radiological","X-RAY, PELVIS","400"
"X-Ray and Radiological","X-RAY, UPPER LEG","400"
"X-Ray and Radiological","X-RAY, LOWER LEG","400"
"X-Ray and Radiological","X-RAY, ANKLE","400"
"X-Ray and Radiological","X-RAY, FOOT","400"
"X-Ray and Radiological","X-RAY, THORACIC SPIN","400"
"X-Ray and Radiological","X-RAY, LUMBAR SPINE","400"
"X-Ray and Radiological","X-RAY, WRIST","400"
"X-Ray and Radiological","X-RAY, RIBS","400"
"X-Ray and Radiological","ESOPHOGRAM/BARIUM SW","527"
"X-Ray and Radiological","ULTRASOUND","263"
"X-Ray and Radiological","PEG TUBE PLACEMENT ","2239"
"X-Ray and Radiological","PEG TUBE REMOVAL","1070"
"X-Ray and Radiological","PICC LINE INSERTION ","2085"
"X-Ray and Radiological","MIDLINE INSERTION","1245"
"X-Ray and Radiological","IV CLINICAL VISIT","525"
"X-Ray and Radiological","THORACENTESIS","834"
"X-Ray and Radiological","INTERNAL JUGULAR CAT","1758"
"X-Ray and Radiological","REPLACE TUNNELED CV","703.98"
"X-Ray and Radiological","REMOVE TUNNELED CV C","602"
"X-Ray and Radiological","REMOVAL PERIATHETER","705.72"
"X-Ray and Radiological","INSERT IVC FILTER","5230"
"X-Ray and Radiological","GASTROSTOMY TUBE REP","1542"
"X-Ray and Radiological","BLADDER CATHETER INS","422"
"X-Ray and Radiological","DOPPLER ECHOCARDIOGR","391"
"X-Ray and Radiological","INFUSION TRMT UP TO","419"
"X-Ray and Radiological","EMERGENCY ROOM LEVEL 1","330"
"X-Ray and Radiological","EMERGENCY ROOM LEVEL 2","368"
"X-Ray and Radiological","EMERGENCY ROOM LEVEL 3","406"
"X-Ray and Radiological","EMERGENCY ROOM LEVEL 4","510"
"X-Ray and Radiological","EMERGENCY ROOM LEVEL 5","614"
"Laboratory","ABO RH TYPE","8"
