Facility ,Description,Price
Clinch Valley,OP VISIT LEVEL 3 EST,30.92
Clinch Valley,OP VISIT LEVEL 2 EST,15.93
Clinch Valley,MNT REASSESS EA 15 MIN,57.06
Clinch Valley,MNT INDV SUBSQ EA 15 MIN,20.29
Clinch Valley,MNT INIT ASSESS EA 15MIN,57.06
Clinch Valley,DSMT GROUP EA 30 MIN,84.95
Clinch Valley,DSMT INDIVIDUAL EA 30MIN,138.2
Clinch Valley,OP VISIT LEVEL 1 NP,49.67
Clinch Valley,INJECTION IM OR SQ,174.3
Clinch Valley,IV CONCURRENT INFUSION,184.8
Clinch Valley,ADMIN PNEUMOCOCCAL VAC,185.85
Clinch Valley,IV HYDRAT INIT UP TO 1HR,424.2
Clinch Valley,IV HYDRAT EA ADD HR,66.15
Clinch Valley,URINE CATH COLL SINGLE,102.9
Clinch Valley,IVP EA ADD SEQ SAME DRUG,204.75
Clinch Valley,IV ADDL SEQ INF UP TO 1H,389.55
Clinch Valley,IV INITIAL UP TO 1 HOUR,424.2
Clinch Valley,NDL/INCATH VEIN,71.4
Clinch Valley,OP VISIT LEVEL 2 EST,182.7
Clinch Valley,IVP EA ADD SEQ NEW DRUG,389.55
Clinch Valley,IVP SINGLE/INITIAL DRUG,265.65
Clinch Valley,IV EACH ADD HOUR,266.7
Clinch Valley,OP VISIT LEVEL 1 EST,182.7
Clinch Valley,OP VISIT LEVEL 1 EST,123.9
Clinch Valley,VENIPUNCTURE,19.95
Clinch Valley,CHEMO IV SING/IN DR 1 HR,1749.3
Clinch Valley,LVL 1 EMER DEPT,460.95
Clinch Valley,IV INITIAL UP TO 1 HOUR,424.2
Clinch Valley,IV EACH ADD HOUR,266.7
Clinch Valley,LVL 3 EMER DEPT,1194.9
Clinch Valley,IMMUNIZ ADMIN SGL,218.4
Clinch Valley,CPR,1035.3
Clinch Valley,IVP SINGLE/INITIAL DRUG,315
Clinch Valley,ADMIN PNEUMOCOCCAL VAC,218.4
Clinch Valley,IV ADDL SEQ INF UP TO 1H,389.55
Clinch Valley,URINE CATH COLL SINGLE,128.1
Clinch Valley,LVL 5 EMER DEPT,2836.05
Clinch Valley,IMMUNIZ ADMIN EA ADDTL,63
Clinch Valley,ADMIN INFLUENZA VACCINE,218.4
Clinch Valley,IRRIGATION OF VAD,247.8
Clinch Valley,IV INITIAL UP TO 1 HOUR,424.2
Clinch Valley,NDL/INCATH VEIN,248.85
Clinch Valley,IVP EA ADD SEQ SAME DRUG,204.75
Clinch Valley,IV HYDRAT INIT UP TO 1HR,424.2
Clinch Valley,OP VISIT LEVEL 1 EST,182.7
Clinch Valley,LVL 4 EMER DEPT,1905.75
Clinch Valley,IMMUNIZ ADMIN SGL,218.4
Clinch Valley,CHEMO SQ/IM NON HORM ANP,280.35
Clinch Valley,COLL BLOOD IMPLANTED VAD,115.5
Clinch Valley,CRIT CARE EACH ADD 30MIN,1204.35
Clinch Valley,LVL 2 EMER DEPT,752.85
Clinch Valley,IV HYDRAT EA ADD HR,66.15
Clinch Valley,INJECTION IM OR SQ,315
Clinch Valley,IV CONCURRENT INFUSION,184.8
Clinch Valley,IVP EA ADD SEQ NEW DRUG,389.55
Clinch Valley,CRIT CARE 1ST 30-74 MINS,4249.35
Clinch Valley,COLL BLOOD CATHETER NOS,202.65
Clinch Valley,IV EACH ADD HOUR,266.7
Clinch Valley,PT CARRY CURRENT STAT 80,38.85
Clinch Valley,POLYSOMNOGRAPHY >4 PAR,3223.5
Clinch Valley,MUL SLEEP LATENCY,4775.4
Clinch Valley,POLY >4 PAR W/CPAP OR BV,3223.5
Clinch Valley,SLEEP UA HR OS RSP AF/EF,989.1
Clinch Valley,OP VISIT LEVEL 1 EST,109.2
Clinch Valley,POLYSOMNOGRAPHY >4 PAR,3943.8
Clinch Valley,OVERNIGHT DX PULSE OX,163.8
