"Charge name","Charge procedure master #","Revenue ID","Associated Cost Centers & NAME","HOSPITAL BILLING DEFAULT TECH FEE SCHEDULE","Fee Schedule Year"
"HC PRIVATE ROOM MED/SURG/GYN","H1110001","0111","20 GI/ENDO/GEN MED 20 MED TELEMETRY STEP- DOWN 20 NEURO SURGICAL 20 ORTHOPAEDICS 20 4 SURGICAL 20 SURG TELEMETRY STEP-DOWN 20 CLINICAL DECISION UNIT ER 20 CRITICAL CARE 2 20 CRITICAL CARE STEP DOWN 20 CRITICAL CARE 3 20 PULMONARY CARE 20 CARDIAC/VASCULAR HOLDING 25 MEDICAL/SURGICAL 25 INTENSIVE CARE 30 MEDICAL/SURGICAL 30 INTENSIVE CARE 55 MEDICAL/SURGICAL 80 MEDICAL/SURGICAL 45 MEDICAL/SURGICAL 20 CLINICAL OBSERVATION UNIT 20 CRITICAL CARE  4 20 CRITICAL CARE 1 20 EMERGENCY ROOM NURSING 20 MEDICAL OVERFLOW UNIT 30 SMH CRITICAL CARE STEPDOWN 30 EMERGENCY ROOM NURSING 20 WMC SHORT STAY UNIT","$1,181.00","2018"
"HC PRIVATE ROOM OBSTETRICS","H1120001","0112","20 MOTHER/BABY NURSING 20 LABOR & DELIVERY 25 OBSTETRICS 25 LABOR & DELIVERY 20 OBED","$1,181.00","2018"
"HC PRIVATE ROOM PEDIATRIC","H1130001","0113","20 PEDIATRICS","$1,181.00","2018"
"HC PRIVATE ROOM ONCOLOGY","H1170001","0117","20 MEDICAL ONCOLOGY","$1,181.00","2018"
"HC PRIVATE ROOM REHABILITATION","H1180001","0118","20 REHABILITATION UNIT 55 NURSING FACILITY","$1,181.00","2018"
"HC ROOM & BOARD SEMIPRIVATE GENERAL SWING BED","H1200001","0120","30 MEDICAL/SURGICAL 45 SWING BED - SNF 55 SWING BED - SNF 80 SWING BED - SNF","$470.00","2018"
"HC STANDARD ROOM MED/SURG/GYN","H1210001","0121","20 MED TELEMETRY STEP- DOWN 20 EMERGENCY ROOM NURSING 25 MEDICAL/SURGICAL 25 EMERGENCY ROOM 30 MEDICAL/SURGICAL 30 EMERGENCY ROOM NURSING 45 EMERGENCY ROOM 55 MEDICAL/SURGICAL 55 EMERGENCY ROOM NURSING 80 MEDICAL/SURGICAL 80 EMERGENCY ROOM NURSING 45 MEDICAL/SURGICAL 20 POST ANESTHESIA CARE 20 AM ADMITTING","$1,130.00","2018"
"HC STANDARD ROOM PSYCHIATRIC","H1240001","0124","20 PSYCHIATRIC GEROPSYCH","$1,463.00","2018"
"HC STANDARD ROOM REH","H1280001","0128","   20 REHABILITATION UNIT 55 NURSING FACILITY","$1,130.00","2018"
"HC NEWBORN SERVICES","H1710001","0171","20 MOTHER/BABY NURSING 25 NEWBORN NURSERY","$1,181.00","2018"
"HC NURSERY LEVEL II","H1720001","0172","20 MOTHER/BABY NURSING 20 NEONATAL INTENSIVE CARE","$1,463.00","2018"
"HC NURSERY LEVEL III","H1730001","0173","20 NEONATAL INTENSIVE CARE","$2,109.00","2018"
"HC NURSERY LEVEL IV","H1740001","0174","20 NEONATAL INTENSIVE CARE","$2,437.00","2018"
"HC ICU","H2000001","0200","20 SURG TELEMETRY STEP-DOWN 20 CRITICAL CARE  4 20 CRITICAL CARE 2 20 CRITICAL CARE 1 20 CRITICAL CARE STEP DOWN 20 CRITICAL CARE 3 25 INTENSIVE CARE 30 INTENSIVE CARE","$2,437.00","2018"
"HC INTERMEDIATE ICU","H2060001","0206","20 SURG TELEMETRY STEP-DOWN 20 CRITICAL CARE  4 20 CRITICAL CARE 2 20 CRITICAL CARE 1 20 CRITICAL CARE STEP DOWN 20 CRITICAL CARE 3 25 MEDICAL/SURGICAL 45 MEDICAL/SURGICAL 20 MED TELEMETRY STEP- DOWN 30 SMH CRITICAL CARE STEPDOWN","$1,933.00","2018"
"HC CCU","H2100001","0210","20 CRITICAL CARE 3","$2,437.00","2018"
"HC RX 250","H2500001","0250","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 250 UB2 999","H2500003","0250","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 250 UB2 999 UB3 UB4 UB5 636","H2500004","0250","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 250 UB3 UB4 UB5 636","H2500005","0250","55 RADIOLOGY - MAIN DEPT 20 PHARMACY 25 PHARMACY 30 PHARMACY 45 PHARMACY 55 PHARMACY 80 PHARMACY 20 PHARMACY-IV SOLUTIONS 25 PHARMACY-IV SOLUTIONS 45 PHARMACY- IV SOLUTIONS 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 250 UB2 637 UB3 UB4 UB5 636","H2500006","0250","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 254","H2540001","0254","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 254 UB4 UB5 636","H2540002","0254","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 255 UB4 UB5 636","H2550017","0255","20 CT SCAN 25 RADIOLOGY DIAGNOSTIC 25 MAGNETIC RESONANCE IMAGING 30 CT SCAN 30 RADIOLOGY DIAGNOSTIC 30 MAGNETIC RESONANCE IMAGING 45 CT-SCAN RADIOLOGY 45 RADIOLOGY 45 MAGNETIC RESONANCE IMAGING 20 MAGNETIC RESONANCE IMAGING 20 MRI-ODC 25 CARDIOVASCULAR LAB 20 CARDIOVASCULAR LAB 55 RADIOLOGY - MAIN DEPT 20 CT SCAN - RADIOLOGY 20 RADIOLOGY - MAIN DEPT 80 RADIOLOGY-ULTRASOUND 30 CARDIOVASCULAR LAB 80 MAGNETIC RENOSANCE IMAGING 20 SPECIAL PROCEDURES 20 CT SCAN- OPDC 80 CT SCAN - RADIOLOGY 20 PHARMACY 25 PHARMACY 30 PHARMACY 55 PHARMACY 80 PHARMACY","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 255 UB2 636","H2550018","0255","25 CT SCAN 25 RADIOLOGY DIAGNOSTIC 25 MAGNETIC RESONANCE IMAGING 30 CT SCAN 30 RADIOLOGY DIAGNOSTIC 30 MAGNETIC RESONANCE IMAGING 45 CT-SCAN RADIOLOGY 45 RADIOLOGY 45 MAGNETIC RESONANCE IMAGING 20 CT SCAN - RADIOLOGY 80 CT SCAN - RADIOLOGY 55 RADIOLOGY - MAIN DEPT 20 SURGICAL SERVICES 20 SPECIAL PROCEDURES 20 RADIOLOGY - MAIN DEPT 20 CT SCAN- OPDC 20 CARDIAC CATH LAB 20 MRI-ODC 20 MAGNETIC RESONANCE IMAGING 20 MEDICAL IMAGING-OPDC 25 SURGICAL SERVICES 80 MAGNETIC RENOSANCE IMAGING 80 SURGICAL SERVICES 55 SURGICAL SERVICES","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 255 UB2 636 ANTHEM 320","H2550020","0255","25 CT SCAN 25 RADIOLOGY DIAGNOSTIC 25 MAGNETIC RESONANCE IMAGING 30 CT SCAN 30 RADIOLOGY DIAGNOSTIC 30 MAGNETIC RESONANCE IMAGING 45 CT-SCAN RADIOLOGY 45 RADIOLOGY 45 MAGNETIC RESONANCE IMAGING 20 CT SCAN - RADIOLOGY 80 CT SCAN - RADIOLOGY 55 RADIOLOGY - MAIN DEPT 20 SURGICAL SERVICES 20 SPECIAL PROCEDURES 20 RADIOLOGY - MAIN DEPT 20 CT SCAN- OPDC 20 CARDIAC CATH LAB 20 MRI-ODC 20 MAGNETIC RESONANCE IMAGING 20 MEDICAL IMAGING-OPDC 25 SURGICAL SERVICES 80 MAGNETIC RENOSANCE IMAGING 80 SURGICAL SERVICES 55 SURGICAL SERVICES","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 256","H2560001","0256","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 258","H2580001","0258","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 258 UB4 UB5 636","H2580002","0258","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 259","H2590001","0259","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 259 UB2 637","H2590002","0259","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 259 UB2 637 UB3 UB4 UB5 636","H2590003","0259","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC RX 259 UB3 UB4 UB5 636","H2590004","0259","20 PHARMACY 20 PHARMACY-IV SOLUTIONS 30 PHARMACY 45 PHARMACY 45 PHARMACY- IV SOLUTIONS 25 PHARMACY 25 PHARMACY-IV SOLUTIONS 55 PHARMACY 80 PHARMACY 80 PHARMACY -IV SOLUTIONS","CALL FOR ESTIMATE. CHARGE IS GENERALLY SET BY A STANDARD MARK-UP PERCENTAGE ABOVE COST. COST IS SET BY SUPPLIER AND SUBJECT TO FREQUENT CHANGE. CHARGE IS ALSO VARIABLE BY PRESCRIBED DOSAGE AND QUANTITY AND/OR MANUFACTURER.","2018"
"HC IV INF HYDRATION INI 31-60 MIN","H2600001","0260","20 GI/ENDO/GEN MED 20 MEDICAL ONCOLOGY 20 NEURO SURGICAL 20 ORTHOPAEDICS 20 4 SURGICAL 20 PEDIATRICS 20 MOTHER/BABY NURSING 20 PULMONARY CARE 20 LABOR & DELIVERY 20 CLINICAL OBSERVATION UNIT 20 AM ADMITTING 20 EMERGENCY ROOM NURSING 20 ENDOSCOPY 20 INFUSION CENTER 25 MEDICAL/SURGICAL 25 INTENSIVE CARE 25 LABOR & DELIVERY 25 SURGICAL SERVICES 25 EMERGENCY ROOM 30 MEDICAL/SURGICAL 30 INTENSIVE CARE 30 AMBULATORY SURGERY UNIT 30 EMERGENCY ROOM NURSING 45 MEDICAL/SURGICAL 45 AMBULATORY SURGERY UNIT 45 EMERGENCY ROOM 55 MEDICAL/SURGICAL 55 SURGICAL SERVICES 55 EMERGENCY ROOM NURSING 55 OUTPATIENT INFUSION 80 EMERGENCY ROOM NURSING 80 CLINIC 20 MED TELEMETRY STEP- DOWN 20 SURG TELEMETRY STEP-DOWN 25 INFUSION CENTER 30 INFUSION CENTER 20 OBED 45 INFUSION CENTER 20 MEDICAL OVERFLOW UNIT 80 MEDICAL/SURGICAL 20 PROCEDURES - CRITICAL CARE 30 SMH CRITICAL CARE STEPDOWN 20 WMC SHORT STAY UNIT 20 CT SCAN - RADIOLOGY","$354.00","2018"
