Procedure Master #,Procedure Name,Revenue ID,2019 Inova Other,2019 Inova-IFMC,,,
H1110001,HC PRIVATE ROOM MED/SURG/GYN,111,"1,350.00","1,550.00",,,
H1120001,HC PRIVATE ROOM OBSTETRICS,112,"1,250.00","1,500.00",,,
H1130001,HC PRIVATE ROOM PEDIATRIC,113,"1,350.00","1,550.00",,,
H1140001,HC PRIVATE ROOM PSY,114,"1,550.00","1,650.00",,,
H1160001,HC PRIVATE ROOM DETOXIFICATION,116,"1,650.00","2,150.00",,,
H1170001,HC PRIVATE ROOM ONCOLOGY,117,"1,550.00","1,750.00",,,
H1180001,HC PRIVATE ROOM REHABILITATION,118,"1,300.00","1,300.00",,,
H1210001,HC STANDARD ROOM MED/SURG/GYN,121,"1,250.00","1,450.00",,,
H1220001,HC STANDARD ROOM OBSTETRICS,122,"1,150.00","1,400.00",,,
H1230001,HC STANDARD ROOM PEDIATRIC,123,"1,250.00","1,450.00",,,
H1240001,HC STANDARD ROOM PSY,124,"1,450.00","1,550.00",,,
H1260001,HC STANDARD ROOM DETOXIFICATION,126,"1,550.00","2,050.00",,,
H1270001,HC STANDARD ROOM ONCOLOGY,127,"1,450.00","1,650.00",,,
H1280001,HC STANDARD ROOM REH,128,"1,250.00","1,450.00",,,
H1710001,HC NEWBORN SERVICES,171,"1,700.00","1,700.00",,,
H1720001,HC NURSERY LEVEL II,172,"5,710.00","6,399.00",,,
H1730001,HC NURSERY LEVEL III,173,"4,138.00","4,138.00",,,
H1740001,HC NURSERY LEVEL IV,174,"5,710.00","6,399.00",,,
H2000001,HC ICU,200,"3,500.00","4,200.00",,,
H2030001,HC ICU PEDIATRIC,203,"4,200.00","4,200.00",,,
H2030002,HC ICU PEDIATRIC LEVEL II,203,0,"6,399.00",,,
H2060001,HC INTERMEDIATE ICU,206,"2,400.00","3,000.00",,,
H2080001,HC ICU TRAUMA,208,0,"4,800.00",,,
H2090001,HC PRIVATE ROOM SPECIAL CARE UNIT,209,,"12,000.00",,,
H2100001,HC CCU,210,"3,800.00","3,800.00",,,
H2140001,HC INTERMEDIATE CCU,214,"2,100.00","2,600.00",,,
H2500002,HC NITRIC OXIDE PER HOUR,250,122,,,,
H2600001,HC IV INF HYDRATION INI 31-60 MIN,260,649,,,,
H2600002,HC IV INF HYDRATION EA ADDL HR,260,104,,,,
H2600003,HC IV INF THER INITIAL UP TO 1 HR,260,683,,,,
H2600004,HC IV INF THERA EA ADDL HR,260,131,,,,
H2600005,HC IV INF TX ADDL NEW DRUG SEQ UP TO 1 HR,260,683,,,,
H2600006,HC IV INF THER CONCURRENT,260,134,,,,
H2600007,HC INJ THER PROPH/DX IA,260,182,,,,
H2600008,HC IV PUSH 1ST SBST/DRUG,260,273,,,,
H2600009,HC IV PUSH EA SEQ DIFF SBST/DRUG,260,273,,,,
H2600010,HC IV PUSH ADDL SAME SBST/DRUG,260,259,,,,
H2600011,HC INJ/INF UNLISTED IV OR IA,260,35,,,,
H2600012,HC SC THER INFUSION UP TO 1 HR,260,645,,,,
H2600013,HC SC THER INFUSION EA ADDL HR,260,174,,,,
H2600014,HC APPLY ON-BODY INJTR TMD SBQ INJ,260,183,,,,
H2700003,HC OXYHOOD,270,131,,,,
H2700010,HC FACT SUPPLIES,270,309,,,,
H2710001,HC TUBING PUMP CANISTER PENUM,271,345,,,,
H2710003,HC HELIOX SUPPLY PER TANK,271,165,,,,
H2710004,HC INSTATRAK DEVICE,271,114,,,,
H2710008,HC BOOT TRACTION BUCKS,271,71,,,,
H2710009,HC FOAM WEDGE,271,182,,,,
H2710010,HC PAD COOL TEMP,271,75,,,,
H2710011,HC KIT CON PASS MOTION,271,103,,,,
H2710016,HC CANNISTER PENUMBRA,271,561,,,,
H2710017,HC CANISTER/TUBING/FILTER INDIGO MAX,271,561,,,,
H2710019,HC FASTENER SAF-T-PEXY W/HEMOSTAT,271,160,,,,
H2710021,HC PESSARY CERCLAGE W/O DRAIN #1,271,126,,,,
H2710022,HC PESSARY CERCLAGE W/O DRAIN #2,271,126,,,,
H2710023,HC PESSARY CERCLAGE W/O DRAIN #3,271,126,,,,
H2710024,HC PESSARY CERCLAGE W/O DRAIN #4,271,126,,,,
H2710025,HC PESSARY CERCLAGE W/O DRAIN #5,271,126,,,,
H2710026,HC PESSARY CERCLAGE W/O DRAIN #6,271,126,,,,
H2710027,HC CANNISTER PENUMBRA PAPS3,271,482,,,,
H2720005,HC NDL CHIBA,272,28,,,,
H2720007,HC FORCEPS DISP BX,272,864,,,,
H2720013,HC US BIOPSY TRAY,272,113,,,,
H2720015,HC US PERITONEAL LAV TR,272,136,,,,
H2720016,HC VACUUM ASST BX HANDPIECE,272,557,,,,
H2720032,HC BIOPSY NEEDLE,272,99,,,,
H2720065,HC TRANS-JUG HEP AC SET,272,"1,240.00",,,,
H2720187,HC CATH REPERFUSION PENUM .026,272,"1,810.00",,,,
H2720188,HC CATH REPERFUSION PENUM .032,272,"1,810.00",,,,
H2720189,HC CATH REPERFUSION PENUM .041,272,"1,810.00",,,,
H2720190,HC SEPERATOR PENUM 026,272,"3,789.00",,,,
H2720191,HC SEPERATOR PENUM 032,272,"3,789.00",,,,
H2720192,HC SEPERATOR PENUM 041,272,"3,789.00",,,,
H2720193,HC TUBING ASPIRATION PENUM,272,605,,,,
H2720194,HC CONE RECOVERY BARD IVC FILTER,272,992,,,,
H2720195,HC FIBRIN GLUE TISSEEL 10ML,272,863,,,,
H2720196,HC KIT GASTRO INTRODUCER,272,328,,,,
H2720197,HC SEGURA BASKET BOSSCI,272,388,,,,
H2720199,HC CEMENT DEL AUTOPLEX W/ VPLEX,272,"1,913.00",,,,
H2720200,HC CATHETER MICRUS ENZO,272,"1,293.00",,,,
H2720201,HC CONTROLLER AZUR DETACHMENT,272,301,,,,
H2720204,HC KIT REPAIR HICKMAN 13.5F,272,156,,,,
H2720205,HC KIT REPAIR GROSHONG 8F,272,142,,,,
H2720206,HC PROBE STARBURST XLI-ENHANCED,272,"4,506.00",,,,
H2720207,HC SEPARATOR OCCLUSION DEVICE 54,272,"2,159.00",,,,
H2720208,HC KIT RF ABLATION PROC SFT TISS,272,"2,266.00",,,,
H2720210,HC PUMP TUBING W/CHAMBER,272,324,,,,
H2720211,HC PROBE NANOKNIFE 25CM SGL ELEC,272,"3,467.00",,,,
H2720212,HC BREATH TEST KIT C14-UREA,272,119,,,,
H2720214,HC SYSTEM DETACHMENT INZONE,272,288,,,,
H2720216,HC MRI BREAST BX HANDPIECE,272,507,,,,
H2720217,HC MRI BREAST BX INTRODUCER SET,272,281,,,,
H2720219,HC RT GLIASITE RTS ACCESS TRAY,272,487,,,,
H2720221,HC SWAN-GANZ CATHETER,272,151,,,,
H2720302,HC SEALENT D-STAT,272,144,,,,
H2720305,HC CABLE ACHIEVE EP,272,286,,,,
H2720308,HC TRACTION PIN KIT,272,717,,,,
H2720315,HC CATH CRICOTHYROTOMY SET,272,145,,,,
H2720341,HC NEEDLE STEERABLE OSSEOFLEX,272,"2,631.00",,,,
H2720342,HC PROBE NANOKNIFE 15CM SGL ELEC,272,"3,240.00",,,,
H2720343,HC CATH DX SUREFIRE HF AXIS TIP 5FX65CM,272,311,,,,
H2720344,HC TAMP BONE KYPHX 15MM/2,272,"1,855.00",,,,
H2720345,HC LEAD EXTRACTION BULDOG 70CM,272,349,,,,
H2720347,HC KIT BONE BIOPSY KYPHX EXPRESS,272,212,,,,
H2720350,HC FORCEPS JAWZ 7.5FX50CM,272,255,,,,
H2720351,HC FORCEPS JAWZ 7.5FX105CM,272,264,,,,
H2720352,HC FORCEPS JAWZ 6FX50CM,272,255,,,,
H2720353,HC FORCEPS JAWZ 5FX50CM,272,384,,,,
H2720355,HC TRAY PROCEDURE ANGIO,272,129,,,,
