PROC #,Procedure Description,IP Price,OP Price,Note (*)
1,AB ID RBC ABS EACH PANEL,1119.5,1119.5,
2,ABG ANALYSIS ISTAT,182.5,182.5,
3,ACTIVATED PROTEIN C RESISTA,184.5,184.5,
4,ACUTE HEPATITIS PANEL,433.5,433.5,
5,ADAPTIC TOUCH 3X4,59.5,59.5,
6,ADHESIVE DERMABOND SKIN,75,75,
7,ADRENOCORTICOTROPIC HORMONE,282,282,
8,AEROSOL INITIAL CONT BRONCH,239.5,239.5,
9,AEROSOL SUB CONT BRONCH HR,126,126,
10,AEROSOL SUB SM VOL NEB,175.5,175.5,
11,AGGLUTINATION GRP EA ANTISE,117.5,117.5,
12,AIRWAY KING LTSD,310.5,310.5,
13,ALBUMIN,86.5,86.5,
14,ALBUMIN FLUID,50.5,50.5,
15,ALDOLASE,76.5,76.5,
16,ALDOSTERONE,297.5,297.5,
17,ALPHA 1 ANTITRYPSIN TOTAL,98.5,98.5,
18,AMMONIA,134.5,134.5,
19,AMYLASE,219,219,
20,ANA TITER,82,82,
21,Anesthesia - General - 1st 30 Min,1349.5,1349.5,
22,Anesthesia - General - Add Min,35.5,35.5,
23,Anesthesia - MAC - 1st 15 Min,426,426,
24,Anesthesia - MAC - Add Min,23,23,
25,Anesthesia - Regional - 1st 15 Min,393.5,393.5,
26,Anesthesia - Regional - Add Min,23,23,
27,Anesthesia - Spinal - 1st 15 Min,393.5,393.5,
28,Anesthesia - Spinal - Add Min,23,23,
29,Anesthesia - TIVA - 1st 30 Min,1349.5,1349.5,
30,Anesthesia - TIVA - Add Min,35.5,35.5,
31,ANTIBODY ASPERGILLUS,110.5,110.5,
32,ANTIBODY BLASTOMYCES,95,95,
33,ANTIBODY BORDETELLA 2,97.5,97.5,
34,ANTIBODY EHRLICHIA,153.5,153.5,
35,ANTIBODY RICKETTSIA,177.5,177.5,
36,ANTIBODY SCREEN RBC,256,256,
37,ANTIGEN TESTING OF DONOR EA AG,551,551,
38,ANTIHUMAN GLOBULIN COOMBS D,299.5,299.5,
39,ANTINUCLEAR ANTIBODY,143,143,
40,ANTITHROMBIN III AG,355,355,
41,ANTITHROMBIN III FUNCTIONAL,219.5,219.5,
42,APLIGRAF PER 1 SQ CM_44,241,241,
43,APPL SKIN SUB T/A/L 1ST 25 SQ,1469.5,1469.5,
44,APPLIER CLIP DIRECT DRIVE,531.5,531.5,
45,APPLIER ENDOCLIP 325,571.5,571.5,
46,APPLIER ENDOCLIP 450,1188,1188,
47,APPLIER HEM-O-LOK 5MM,655,655,
48,APTT MIXING STUDIES,149,149,
49,ARTERIAL CATH/CANNULATION,793.5,793.5,
50,ARTERIAL PUNCTURE,99.5,99.5,
51,B TYPE NATRIURETIC PEPTIDE,248,248,
52,BARTONELLA,93,93,
53,BARTONELLA AMP PROBE,390.5,390.5,
54,BASIC METABOLIC PANEL,233.5,233.5,
55,BETA 2 GLYCOPROTEIN 1 AB EACH,169,169,
56,BETA HCG QUALITATIVE SERUM,165.5,165.5,
57,BILIRUBIN DIRECT,157.5,157.5,
58,BILIRUBIN TOTAL,172.5,172.5,
59,BINDER ABDOMINAL ALL SIZES,83,83,
60,BLADDER SCAN,146.5,146.5,
61,BLADE 100,369.5,369.5,
62,BLADE 150,200,200,
63,BLADE 175,356,356,
64,BLADE 200,361.5,361.5,
65,BLADE 300,931.5,931.5,
66,BLADE AGGRESSIVE PLUS 4.0,152.5,152.5,
67,BLADE ANGLED F SERIES STRYKER,435,435,
68,BLADE END CUTTER/COUGAR 4.0MM,396,396,
69,BLADE RECIPROCATING 9.0MM,247.5,247.5,
