"PROC #","Procedure Description","IP Price","OP Price"
1,02 SATURATION,132,75,
2,AB ID RBC ABS EACH PANEL,"1,853","1,059",
3,ABD PARACENTESIS WO IMG,"1,331","1,331",
4,ABG ANALYSIS ISTAT,371,212,
5,ACCESS SYSTEM KII 5X150,138,138,
6,ACTIVATED PROTEIN C RESISTA,323,185,
7,ACUTE HEPATITIS PANEL,575,329,
8,ADRENOCORTICOTROPIC HORMONE,467,267,
9,AEROSOL INITIAL CONT BRONCH,240,240,
10,AEROSOL SUB CONT BRONCH HR,126,126,
11,AEROSOL SUB SM VOL NEB,176,176,
12,AFP-L3 FRACTION ISO & TOTAL AFP,777,444,
13,AGGLUTINATION GRP EA ANTISE,125,71,
14,ALBUMIN,76,44,
15,ALBUMIN FLUID,80,46,
16,ALDOLASE,276,158,
17,ALDOSTERONE,493,282,
18,ALLERGEN SPECIFIC IGE,116,66,
19,ALT,247,141,
20,AMMONIA,177,101,
21,AMYLASE,90,52,
22,Anesthesia - General - 1st 30 Min,"1,350","1,350",
23,Anesthesia - General - Add Min,36,36,
24,Anesthesia - TIVA - 1st 30 Min,"1,175","1,175",
25,Anesthesia - TIVA - Add Min,33,33,
26,ANORECTAL EXAM WITH ANES,"2,980","2,980",
27,ANTIBODY BORDETELLA 1,238,136,
28,ANTIBODY EHRLICHIA,429,245,
29,ANTIBODY IDENTIFICATION LEUK,196,112,
30,ANTIBODY RICKETTSIA,453,259,
31,ANTIBODY SCREEN RBC,424,242,
32,ANTIGEN TESTING OF DONOR EA AG,913,522,
33,ANTINUCLEAR ANTIBODY,146,83,
34,ANTITHROMBIN III AG,426,244,
35,ANTITHROMBIN III FUNCTIONAL,369,211,
36,APPLIER ENDOCLIP 325,572,572,
37,APPLIER ENDOCLIP 350,"1,125","1,125",
38,APPLIER LIGACLIP 250,477,477,
39,ARTERIAL CATH/CANNULATION,372,372,
40,ARTERIAL PUNCTURE,100,100,
41,ARTHROCENTESIS INTERMED JOI,"1,011","1,011",
42,AST,244,140,
43,B TYPE NATRIURETIC PEPTIDE,411,235,
44,BAG PRESSURE INFUSOR,77,77,
45,BAG URINARY W/URINEMETER,145,145,
46,BALLOON DIST AND INFLAT BULB,"1,726","1,726",
47,BALLOON PDB DISSECTN SPACEMAKR,"1,726","1,726",
48,BASIC METABOLIC PANEL,290,166,
49,BETA 2 GLYCOPROTEIN 1 AB EACH,280,160,
50,BETA HCG QUALITATIVE SERUM,290,166,
51,BILIRUBIN DIRECT,312,178,
52,BILIRUBIN TOTAL,302,173,
53,BINDER ABDOMINAL 100,363,363,
54,BINDER ABDOMINAL 46-62,228,228,
55,BINDER ABDOMINAL ALL SIZES,83,83,
56,BLADDER SCAN,105,105,
57,BLADE 125,314,314,
58,BLADE 275,"1,109","1,109",
59,BLADE 4.0MM 40DEG AGG SERR,851,851,
60,BLADE 4.0MM ANGLD AGGRESSIVE,810,810,
61,BLADE 90,227,227,
62,BLADE DERMATOME,294,294,
63,BLADE LRG TEAR CROSS CUT,631,631,
64,BLOOD OCCULT FECAL IMMUNOASSAY,194,111,
65,BLOOD TYPING ABO,496,284,
66,BLOOD TYPING RH D,272,155,
67,BOOT EX TRACKER WALKER,122,122,
68,BOOT PREVALON,392,392,
69,BOOT WALKER,307,307,
70,BRACE ANKLE STIRRUP OTS,84,84,
71,BRAF,"1,584",905,
72,BUR ROUND,"1,274","1,274",
73,C DIFFICILE TOXIN A AND B EIA,180,103,
74,C02 EXPIRED GAS DETERM DAILY,552,552,
75,CA 19-9,252,144,
76,CALCIUM,66,38,
77,CALCIUM IONIZED,266,152,
78,CANCER SCREEN COLONOSCOPY HI RISK,"2,205","2,205",
79,CANCER SCREEN FLEX SIGMOID,"1,365","1,365",
80,CARBAMAZEPINE TOTAL,176,101,
81,CARBON MONOXIDE DIFF (DLCO),389,389,
82,CARBOXYHEMOGLOBIN,356,203,
83,CARCINOEMBRYONIC ANTIGEN,230,132,
84,CARDIAC REHAB MONITORED OP,418,418,
85,CARDIOLIPIN ANTIBODY EACH LG C,393,225,
86,CARDIOVERSION EXTERNAL,"1,169","1,169",
87,CASSETTE IRRIGATION ESSX,402,402,
88,CAST LEG 50,97,97,
89,CATH ACCUCATH INTRAVASC ALL SIZES,179,179,
90,CATH CHOLANGIOGRAM 70,176,176,
91,CATH NEXIVA,37,37,
92,CATH ON-Q SYSTEM PM012,790,790,
93,CATH ON-Q SYSTEM PM015,"1,000","1,000",
94,CATH ON-Q SYSTEM PM018A,"1,176","1,176",
