PROC #,Procedure Description,IP Price,OP Price,Note (*)
1,02 SATURATION,131.5,75,
2,AB ID RBC ABS EACH PANEL,1852.5,1058.5,
3,ABD PARACENTESIS WO IMG,1331,1331,
4,ABG ANALYSIS ISTAT,371,212,
5,ACCESS SYSTEM KII 5X150,138,138,
6,ACTIVATED PROTEIN C RESISTA,323,184.5,
7,ACUTE HEPATITIS PANEL,575,328.5,
8,ADRENOCORTICOTROPIC HORMONE,466.5,266.5,
9,AEROSOL INITIAL CONT BRONCH,239.5,239.5,
10,AEROSOL SUB CONT BRONCH HR,126,126,
11,AEROSOL SUB SM VOL NEB,175.5,175.5,
12,AFP-L3 FRACTION ISO & TOTAL AFP,777,444,
13,AGGLUTINATION GRP EA ANTISE,124.5,71,
14,ALBUMIN,76,43.5,
15,ALBUMIN FLUID,79.5,45.5,
16,ALDOLASE,275.5,157.5,
17,ALDOSTERONE,492.5,281.5,
18,ALLERGEN SPECIFIC IGE,115.5,66,
19,ALT,247,141,
20,AMMONIA,177,101,
21,AMYLASE,90,51.5,
22,Anesthesia - General - 1st 30 Min,1349.5,1349.5,
23,Anesthesia - General - Add Min,35.5,35.5,
24,Anesthesia - TIVA - 1st 30 Min,1174.5,1174.5,
25,Anesthesia - TIVA - Add Min,32.5,32.5,
26,ANORECTAL EXAM WITH ANES,2980,2980,
27,ANTIBODY BORDETELLA 1,238,136,
28,ANTIBODY EHRLICHIA,429,245,
29,ANTIBODY IDENTIFICATION LEUK,196,112,
30,ANTIBODY RICKETTSIA,452.5,258.5,
31,ANTIBODY SCREEN RBC,423.5,242,
32,ANTIGEN TESTING OF DONOR EA AG,912.5,521.5,
33,ANTINUCLEAR ANTIBODY,145.5,83,
34,ANTITHROMBIN III AG,426,243.5,
35,ANTITHROMBIN III FUNCTIONAL,368.5,210.5,
36,APPLIER ENDOCLIP 325,571.5,571.5,
37,APPLIER ENDOCLIP 350,1125,1125,
38,APPLIER LIGACLIP 250,476.5,476.5,
39,ARTERIAL CATH/CANNULATION,371.5,371.5,
40,ARTERIAL PUNCTURE,99.5,99.5,
41,ARTHROCENTESIS INTERMED JOI,1010.5,1010.5,
42,AST,244,139.5,
43,B TYPE NATRIURETIC PEPTIDE,410.5,234.5,
44,BAG PRESSURE INFUSOR,76.5,76.5,
45,BAG URINARY W/URINEMETER,144.5,144.5,
46,BALLOON DIST AND INFLAT BULB,1725.5,1725.5,
47,BALLOON PDB DISSECTN SPACEMAKR,1725.5,1725.5,
48,BASIC METABOLIC PANEL,289.5,165.5,
49,BETA 2 GLYCOPROTEIN 1 AB EACH,280,160,
50,BETA HCG QUALITATIVE SERUM,289.5,165.5,
51,BILIRUBIN DIRECT,311.5,178,
52,BILIRUBIN TOTAL,302,172.5,
53,BINDER ABDOMINAL 100,362.5,362.5,
54,BINDER ABDOMINAL 46-62,227.5,227.5,
55,BINDER ABDOMINAL ALL SIZES,83,83,
56,BLADDER SCAN,105,105,
57,BLADE 125,314,314,
58,BLADE 275,1109,1109,
59,BLADE 4.0MM 40DEG AGG SERR,851,851,
60,BLADE 4.0MM ANGLD AGGRESSIVE,810,810,
61,BLADE 90,226.5,226.5,
62,BLADE DERMATOME,293.5,293.5,
63,BLADE LRG TEAR CROSS CUT,631,631,
64,BLOOD OCCULT FECAL IMMUNOASSAY,193.5,110.5,
65,BLOOD TYPING ABO,496,283.5,
66,BLOOD TYPING RH D,271.5,155,
67,BOOT EX TRACKER WALKER,122,122,
68,BOOT PREVALON,391.5,391.5,
69,BOOT WALKER,306.5,306.5,
70,BRACE ANKLE STIRRUP OTS,83.5,83.5,
71,BRAF,1584,905,
72,BUR ROUND,1273.5,1273.5,
73,C DIFFICILE TOXIN A AND B EIA,179.5,102.5,
74,C02 EXPIRED GAS DETERM DAILY,552,552,
75,CA 19-9,252,144,
76,CALCIUM,65.5,37.5,
77,CALCIUM IONIZED,266,152,
78,CANCER SCREEN COLONOSCOPY HI RISK,2205,2205,
79,CANCER SCREEN FLEX SIGMOID,1365,1365,
80,CARBAMAZEPINE TOTAL,176,100.5,
81,CARBON MONOXIDE DIFF (DLCO),389,389,
82,CARBOXYHEMOGLOBIN,355.5,203,
83,CARCINOEMBRYONIC ANTIGEN,230,131.5,
84,CARDIAC REHAB MONITORED OP,417.5,417.5,
85,CARDIOLIPIN ANTIBODY EACH LG C,393,224.5,
86,CARDIOVERSION EXTERNAL,1168.5,1168.5,
87,CASSETTE IRRIGATION ESSX,402,402,
88,CAST LEG 50,96.5,96.5,
89,CATH ACCUCATH INTRAVASC ALL SIZES,179,179,
90,CATH CHOLANGIOGRAM 70,176,176,
91,CATH NEXIVA,36.5,36.5,
92,CATH ON-Q SYSTEM PM012,789.5,789.5,
93,CATH ON-Q SYSTEM PM015,1000,1000,
