"Dept Num","Dept Desc","Charge Code","Description","Rev Code","CPT","Description","Price"
"002"," MEDICAL/SURGICAL NURSING",30007,"OBSERVATION HOURS",762,"G0378","Hospital observation per hr",42.2960586617782
"002"," MEDICAL/SURGICAL NURSING",9999905,"PRIVATE",110,,"Per Day",1246
"002"," MEDICAL/SURGICAL NURSING",9999906,"RESPITE CARE",120,,"Per Day",250
"002"," MEDICAL/SURGICAL NURSING",9999907,"SEMI PRIVATE",120,,"Per Day",1246
"002"," MEDICAL/SURGICAL NURSING",9999908,"SWING BED BC/BS",120,,"Per Day",899
"002"," MEDICAL/SURGICAL NURSING",9999909,"SWING BED",120,,"Per Day",899
"002"," MEDICAL/SURGICAL NURSING",9999910,"I/P W/TELEMETRY",120,,"Per Day",1505
"002"," MEDICAL/SURGICAL NURSING",9999911,"TELEMETRY/SWINGBED",120,,"Per Day",1158
"004"," OPERATING ROOM",400042,"COLONOSCOPY SCREENING MEDICARE HIGH RISK",361,"G0105","Colorectal scrn; hi risk ind",2682
"004"," OPERATING ROOM",400050,"COLONOSCOPY    C BIOPSY",361,"45380","COLONOSCOPY AND BIOPSY",2295.18
"004"," OPERATING ROOM",400051,"COLONOSCOPY",361,"45378","DIAGNOSTIC COLONOSCOPY",2295.18
"004"," OPERATING ROOM",400052,"GASTROSCOPY   COLD BIOPSY POLYPECTOMY",361,"43239","EGD BIOPSY SINGLE/MULTIPLE",2088.45
"004"," OPERATING ROOM",400054,"GASTROSCOPY",361,"43235","EGD DIAGNOSTIC BRUSH WASH",2088.45
"004"," OPERATING ROOM",400063,"PROCEDURE ROOM    MAJOR",361,,,2500
"004"," OPERATING ROOM",400073,"O2 SAT MULTI CHECK",460,"94761","MEASURE BLOOD OXYGEN LEVEL",110.74
"004"," OPERATING ROOM",400074,"PATIENT MONITORING SERVICE",730,"93041","RHYTHM ECG TRACING",207.66
"004"," OPERATING ROOM",400101,"CATARACT REMOVAL AND LENS INSERT",360,"66984","CATARACT SURG W/IOL 1 STAGE",4200
"004"," OPERATING ROOM",400107,"CATARACT REMOVAL AND LENS INSERT RIGHT",360,"66984","CATARACT SURG W/IOL 1 STAGE",4200
"004"," OPERATING ROOM",400108,"CATARACT REMOVAL AND LENS INSERT LEFT",360,"66984","CATARACT SURG W/IOL 1 STAGE",4200
"004"," OPERATING ROOM",445384,"COLONOSCOPY W POLPECTOMY",360,"45384","COLONOSCOPY W/LESION REMOVAL",3104
"006"," ANESTHESIOLOGY",600023,"ANESTHESIA             FIRST HOUR",370,,,228.43
"006"," ANESTHESIOLOGY",600025,"MONITORED ANESTHESIA CARE        MAC",370,,,256.98
"006"," ANESTHESIOLOGY",600026,"MONITORED ANESTH CAR       ADD 15 MIN",370,,,10.5
"006"," ANESTHESIOLOGY",700142,"CRNA  ANESTHESIA LENS PROCEDURE",964,"00142","Per 15 minutes",20
"006"," ANESTHESIOLOGY",700287,"CRNA  COLONOSCOPY SCREEN ONLY MEDICARE",964,"00812","Per 15 minutes",20
"006"," ANESTHESIOLOGY",700289,"CRNA MAC ANES UPPER GI ENDOSCOPIC",964,"00731","Per 15 minutes",20
"006"," ANESTHESIOLOGY",700291,"CRNA FEE MAC ANESTHESIA LOWER GI ENDO",964,"00810","Per 15 minutes",20
"006"," ANESTHESIOLOGY",700813,"CRNA  UPPER AND LOWER ENDO",981,"00813","Per 15 minutes",20
"006"," ANESTHESIOLOGY",710830,"CRNA ANESTHESIA LOWER ABDOMEN",964,"00830","ANESTH REPAIR OF HERNIA",55.48
"007"," EMERGENCY ROOM",700053,"PRO FEE REMV FOREIGN BOD FROM FOOT",981,"28190","REMOVAL OF FOOT FOREIGN BODY",674.35
"007"," EMERGENCY ROOM",700060,"PRO FEE LAC 7.6-12.5 SIMPLE",981,"12004","RPR S/N/AX/GEN/TRK7.6-12.5CM",380.02
"007"," EMERGENCY ROOM",700064,"PRO FEE CLOS TREAT SHOULD DIS",981,"23650","TREAT SHOULDER DISLOCATION",1973.7
"007"," EMERGENCY ROOM",700065,"PRO FEE LAC 2.6-5.0 CM FACE",981,"12013","RPR F/E/E/N/L/M 2.6-5.0 CM",322.85
"007"," EMERGENCY ROOM",700072,"PRO FEE  EXCISION OF NAIL PARTIAL/COMPLE",981,"11750","REMOVAL OF NAIL BED",423.33
"007"," EMERGENCY ROOM",700076,"PRO FEE REMOV IMPACT EAR",981,"69210","REMOVE IMPACTED EAR WAX UNI",166.4
"007"," EMERGENCY ROOM",700084,"PHY FEE AVULSION NAIL PLATE",982,"11730","REMOVAL OF NAIL PLATE",257.3
