"Charge Code","Description","Rev Code","CPT","Description","Price"
25,"NO SHOW CHARGE",521,,,25
26,"LATE CANCEL CHARGE",521,,,25
10000000,"NO CHARGE VISIT",521,"00000",,0
10000008,"ADMINISTRATION OF INFLUENZA VACCINE, NO",771,"G0008","Admin influenza virus vac",30
10000009,"ADMIN OF PNEUMOCOCCAL VACCINE, NO MD SER",771,"G0009","Admin pneumococcal vaccine",45
10000091,"OBTAIN/PREPARE SCREENING PAP SMEAR; CONV",521,"Q0091","Obtaining screen pap smear",58.08
10000101,"SCREENING PELVIC EXAM-MEDICARE",521,"G0101","CA screen;pelvic/breast exam",81.42
10000179,"MD RECERTIFICATION FOR MEDICARE-COVERED",521,"G0179","Md recertification hha pt",60
10000180,"MD CERTIFICATION FOR MEDICARE COVERED SE",521,"G0180","Md certification hha patient",100
10000328,"COLORECTAL CA SCREEN; FECAL-OCCULT; IMMU",770,"82274","ASSAY TEST FOR BLOOD FECAL",151.9
10000402,"INITIAL PREVENTIVE EXAM; FIRST 12 MONTHS",521,"G0402","Initial preventive exam",374.61
10000403,"EKG FOR INITIAL PREVEN EXAM",521,"G0403","EKG for initial prevent exam",49.44
10000436,"TOBACCO USE COUNSEL 3-10 MINS",521,"99406","BEHAV CHNG SMOKING 3-10 MIN",36.12
10000437,"TOBACCO USE COUNSEL >10 MINS",521,"99407","BEHAV CHNG SMOKING > 10 MIN",77.31
10000438,"ANNUAL WELLNESS VISIT, INCLUDES A PPPS,",521,"G0438","PPPS, initial visit",503.1
10000439,"ANNUAL WELLNESS VISIT, INCLUDES A PPS, S",521,"G0439","PPPS, subseq visit",336.42
10010060,"I&D SKIN ABSCESS; SIMPLE OR SINGLE",521,"10060","DRAINAGE OF SKIN ABSCESS",286.71
10010061,"I&D SKIN ABSCESS; COMPLICATED/MULTIPLE",521,"10061","DRAINAGE OF SKIN ABSCESS",532.95
10010120,"INCISION/REMOVAL FB, SKIN; SIMPLE",521,"10120","REMOVE FOREIGN BODY",307.95
10011042,"DEBRIDEMENT; SKIN, SUBCUT. TISSUE",521,"11042","DEB SUBQ TISSUE 20 SQ CM/<",184.92
10011043,"DEBRIDEMENT; SKIN, SUBCUT., MUSCLE",521,"11043","DEB MUSC/FASCIA 20 SQ CM/<",470.4
10011055,"PARING BENIGN HYPERKERATOSIS; SINGLE",521,"11055","TRIM SKIN LESION",48.75
10011100,"BIOPSY, SKIN, SUBCUT; SINGLE LESION",521,"11100","BIOPSY SKIN LESION",145.74
10011101,"BIOPSY, SKIN, SUBQ TISSUE; EA ADD LESION",521,"11101","BIOPSY SKIN ADD-ON",73.53
10011200,"REMOVAL OF SKIN TAGS (INITIAL 1-15)",521,"11200","REMOVAL OF SKIN TAGS <W/15",217.38
10011303,"SHAVE SKIN LESION; TRUNK (>2CM)",521,"11303","SHAVE SKIN LESION >2.0 CM",222.27
10011305,"SHAVE SKIN LESION; SCALP (0.5CM)",521,"11305","SHAVE SKIN LESION 0.5 CM/<",117.33
10011306,"SHAVE SKIN LESION; SCALP (0.6-1CM)",521,"11306","SHAVE SKIN LESION 0.6-1.0 CM",155.55
10011307,"SHAVE SKIN LESION; SCALP (1.1-2CM)",521,"11307","SHAVE SKIN LESION 1.1-2.0 CM",199.65
10011401,"EXCISION, BENIGN LESION; TRUNK (0.6-1CM)",521,"11401","EXC TR-EXT B9+MARG 0.6-1 CM",307.2
10011402,"EXCISION, BENIGN LESION; TRUNK (1.1-2CM)",521,"11402","EXC TR-EXT B9+MARG 1.1-2 CM",338.31
10011403,"EXCISION, BENIGN LESION; TRUNK (2.1-3CM)",521,"11403","EXC TR-EXT B9+MARG 2.1-3CM",435.57
10011404,"EXCISION, BENIGN LESION; TRUNK (3.1-4CM)",521,"11404","EXC TR-EXT B9+MARG 3.1-4 CM",478.26
10011424,"EXCISION, BENIGN LESION; SCALP (3.1-4CM)",521,"11424","EXC H-F-NK-SP B9+MARG 3.1-4",531.87
10011601,"EXCISION, MALIGN LESION; TRUNK (0.6-1CM)",521,"11601","EXC TR-EXT MAL+MARG 0.6-1 CM",442.38
10011603,"EXCISION, MALIGN LESION; TRUNK (2.1-3CM)",521,"11603","EXC TR-EXT MAL+MARG 2.1-3 CM",579.78
10011719,"TRIMMING, NONDYSTROPHIC NAIL, ANY NUMBER",521,"11719","TRIM NAIL(S) ANY NUMBER",23.31
10011730,"AVULSION NAIL PLATE, SINGLE",521,"11730","REMOVAL OF NAIL PLATE",154.38
10011750,"EXCISION NAIL/NAIL MATRIX FOR REMOVAL",521,"11750","REMOVAL OF NAIL BED",521.1
10011976,"REMOVAL, IMPLANTABLE CONTRACEPTIVE CAPS",521,"11976","REMOVE CONTRACEPTIVE CAPSULE",290.31
10011981,"INSERT NON-BIODEGR DRUG DELVRY IMPLAN",521,"11981","INSERT DRUG IMPLANT DEVICE",252.51
10016020,"DRESS/DEBRIDE PARTIAL-THICK BURN, INITIA",521,"16020","DRESS/DEBRID P-THICK BURN S",162.6
10017000,"DESTRUCTION, PREMALIGNANT LESIONS; FIRST",521,"17000","DESTRUCT PREMALG LESION",156.51
10017003,"DESTRUCT BENIGN/PREMALIGANT LESIONS; 2-1",521,"17003","DESTRUCT PREMALG LES 2-14",150
10017004,"DESTRUCTION, PREMALIGNANT LESIONS; 15+ L",521,"17004","DESTROY PREMAL LESIONS 15/>",295.83
10017110,"DESTRUCT BGN LESIONS, NO SKIN TAGS/CVP L",521,"17110","DESTRUCT B9 LESION 1-14",205.14
10020550,"INJECTION(S); SINGLE TENDON SHEATH, OR L",521,"20550","INJ TENDON SHEATH/LIGAMENT",125.19
10020552,"INJECTION(S); SINGLE/MULTIPLE TRIGGER PO",521,"20552","INJ TRIGGER POINT 1/2 MUSCL",114.69
10020600,"ARTHROCENTESIS; SMALL JOINT, BURSA",521,"20600","DRAIN/INJ JOINT/BURSA W/O US",107.31
10020605,"ARTHROCENTESIS, INTERMEDIATE JOINT,BURSA",521,"20605","DRAIN/INJ JOINT/BURSA W/O US",112.41
10020610,"ARTHROCENTESIS, MAJOR JOINT OR BURSA",521,"20610","DRAIN/INJ JOINT/BURSA W/O US",138
10020612,"ASPIRATE AND/OR INJ GANG CYST",521,"20612","ASPIRATE/INJ GANGLION CYST",127
10028190,"REMOVAL FOREIGN BODY, FOOT SUBQ",521,"28190","REMOVAL OF FOOT FOREIGN BODY",285
10029515,"APPLY SHORT LEG SPLINT (CALF TO FOOT)",521,"29515","APPLICATION LOWER LEG SPLINT",150
10029580,"STRAPPING; UNNA BOOT",521,"29580","APPLICATION OF PASTE BOOT",107.1
10054056,"DESTRUCT OF LESION GENITALIA MALE SIMPLE",521,"54056","CRYOSURGERY PENIS LESION(S)",185
10054065,"DESTRUCTION OF LESION GENITALIA MALE",521,"54065","DESTRUCTION PENIS LESION(S)",268.5
10057421,"COLPOSCOPY WITH BIOPSY",521,"57421","EXAM/BIOPSY OF VAG W/SCOPE",376.86
10057454,"COLPOSCOPY CERVIX W/BIOPSY AND ECC",521,"57454","BX/CURETT OF CERVIX W/SCOPE",433.6
10057500,"BIOPSY OF CERVIX, 1+, OR LOCAL EXCISE LE",521,"57500","BIOPSY OF CERVIX",230.16
10057522,"CONIZATION OF CERVIX LOOP ELECTRODE EXCI",521,"57522","CONIZATION OF CERVIX",733.17
10058100,"ENDOMETRIAL BX W/O DILATION",521,"58100","BIOPSY OF UTERUS LINING",267.48
10058300,"INSERT IUD",521,"58300","INSERT INTRAUTERINE DEVICE",200
10058301,"REMOVE IUD",521,"58301","REMOVE INTRAUTERINE DEVICE",200
10065205,"REMOV FB, EXTERNAL EYE; CONJ SUPERFICIAL",521,"65205","REMOVE FOREIGN BODY FROM EYE",137.31
